id,step,max_range,count_tv,closure,min_jaccard,top3_union_size,replay_pass,top3_union,candidates
14,7,0.0008372187424031674,0.00011147789675852206,True,1.0,3,3,"[3, 7, 8]","[[0, 3, 5, 7, 8], [0, 3, 5, 7, 8], [0, 3, 5, 7, 8]]"
17,1,0.0003758261186083134,1.7984190521097565e-06,False,0.6,5,3,"[0, 1, 14, 21, 23]","[[0, 1, 14, 23], [0, 1, 14, 22], [0, 1, 14, 21]]"
19,11,0.0003616910651828009,0.00010779195155972976,True,1.0,4,3,"[6, 7, 8, 10]","[[0, 6, 7, 8, 10], [0, 6, 7, 8, 10], [0, 6, 7, 8, 10]]"
25,20,0.0002977501096022017,0.0001388098205218763,True,1.0,3,3,"[1, 2, 3]","[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4]]"
26,17,0.0005603431637800638,0.0002293502355908833,True,1.0,3,3,"[1, 4, 5]","[[0, 1, 4, 5, 6], [0, 1, 4, 5, 6], [0, 1, 4, 5, 6]]"
32,5,0.00030731512050685694,1.50081224186277e-05,True,0.6666666666666666,3,3,"[7, 9, 18]","[[0, 7, 9, 15, 18], [0, 4, 7, 9, 18], [0, 4, 7, 9, 18]]"
33,0,0.00017789399758472157,0.0,False,0.14285714285714285,6,3,"[0, 1, 2, 10, 11, 24]","[[0, 2, 11, 24], [0, 11, 23, 24], [0, 1, 2, 10]]"
35,3,0.000743669958995441,9.749332102525557e-05,True,0.6666666666666666,3,3,"[1, 2, 20]","[[0, 1, 2, 5, 20], [0, 1, 2, 17, 20], [0, 1, 2, 5, 20]]"
77,17,0.0006670979320184678,0.0006795987106385654,True,1.0,3,3,"[2, 3, 5]","[[0, 1, 2, 3, 5], [0, 1, 2, 3, 5], [0, 1, 2, 3, 5]]"
98,4,0.0010007399865106237,0.00030757978587325416,True,1.0,4,3,"[7, 8, 19, 20]","[[0, 7, 8, 19, 20], [0, 7, 8, 19, 20], [0, 7, 8, 19, 20]]"
126,11,0.0007472122185803176,0.00024622937563745576,True,1.0,3,3,"[4, 7, 12]","[[0, 4, 6, 7, 12], [0, 4, 6, 7, 12], [0, 4, 6, 7, 12]]"
140,18,0.0004939571918622931,8.98263163055385e-05,True,1.0,3,3,"[1, 3, 4]","[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4]]"
180,17,0.00024648555056727695,2.9433782623183857e-05,True,1.0,3,3,"[3, 4, 6]","[[0, 2, 3, 4, 6], [0, 2, 3, 4, 6], [0, 2, 3, 4, 6]]"
183,3,0.0005123265875782712,4.0371262240594674e-05,True,0.6666666666666666,3,3,"[6, 13, 21]","[[0, 6, 13, 14, 21], [0, 6, 13, 14, 21], [0, 6, 10, 13, 21]]"
209,14,0.0005007452733075679,0.00024586263369527975,True,1.0,3,3,"[4, 5, 6]","[[0, 3, 4, 5, 6], [0, 3, 4, 5, 6], [0, 3, 4, 5, 6]]"
211,13,0.00038469903363258506,0.00021193333095111122,True,1.0,3,3,"[4, 5, 6]","[[0, 4, 5, 6, 7], [0, 4, 5, 6, 7], [0, 4, 5, 6, 7]]"
225,13,0.0003874209482921387,0.00014659438637518174,True,1.0,3,3,"[5, 7, 8]","[[0, 5, 6, 7, 8], [0, 5, 6, 7, 8], [0, 5, 6, 7, 8]]"
274,14,0.0005133175829297176,0.0001512991997458385,True,1.0,3,3,"[4, 5, 6]","[[0, 3, 4, 5, 6], [0, 3, 4, 5, 6], [0, 3, 4, 5, 6]]"
285,3,0.0004814452376482592,6.160096068455467e-05,True,0.6666666666666666,3,3,"[8, 12, 15]","[[0, 8, 9, 12, 15], [0, 8, 12, 15, 16], [0, 8, 12, 15, 16]]"
290,8,0.0006208596990381343,8.775133254549684e-05,True,1.0,3,3,"[6, 7, 10]","[[0, 6, 7, 9, 10], [0, 6, 7, 9, 10], [0, 6, 7, 9, 10]]"
310,3,0.0005599372752572718,8.905549476478578e-05,True,0.6666666666666666,3,3,"[15, 16, 20]","[[0, 13, 15, 16, 20], [0, 15, 16, 17, 20], [0, 13, 15, 16, 20]]"
345,12,0.0004759805119335381,0.00014190175840053665,True,1.0,4,3,"[5, 6, 7, 12]","[[0, 5, 6, 7, 12], [0, 5, 6, 7, 12], [0, 5, 6, 7, 12]]"
418,10,0.00046969321671308517,9.476539743838441e-05,True,1.0,3,3,"[4, 7, 9]","[[0, 4, 6, 7, 9], [0, 4, 6, 7, 9], [0, 4, 6, 7, 9]]"
430,21,0.000394476713172498,0.0002760446758464652,True,1.0,3,3,"[0, 1, 2]","[[0, 1, 2, 3], [0, 1, 2, 3], [0, 1, 2, 3]]"
472,4,0.0005004462981871294,0.0002312895922254657,True,1.0,4,3,"[14, 15, 19, 20]","[[0, 14, 15, 19, 20], [0, 14, 15, 19, 20], [0, 14, 15, 19, 20]]"
479,21,0.00020611262280689768,0.00013254594730029157,True,1.0,3,3,"[1, 2, 3]","[[0, 1, 2, 3], [0, 1, 2, 3], [0, 1, 2, 3]]"
484,1,0.0003691230785058952,1.552040848444569e-07,False,0.5,6,3,"[0, 1, 14, 21, 22, 23]","[[0, 14, 21, 23], [0, 1, 14, 21], [0, 1, 14, 21, 22]]"
486,11,0.0003518084772594632,6.179927973731097e-05,True,1.0,3,3,"[4, 7, 9]","[[0, 4, 6, 7, 9], [0, 4, 6, 7, 9], [0, 4, 6, 7, 9]]"
499,14,0.00036750133205276647,9.796329343628174e-05,True,1.0,3,3,"[4, 5, 7]","[[0, 4, 5, 7], [0, 4, 5, 7], [0, 4, 5, 7]]"
500,16,0.0006883895880542834,0.0002430491460684303,True,1.0,3,3,"[2, 4, 8]","[[0, 2, 4, 5, 8], [0, 2, 4, 5, 8], [0, 2, 4, 5, 8]]"
527,17,0.000438227369918609,0.00017875221498134947,True,1.0,3,3,"[0, 4, 5]","[[0, 3, 4, 5], [0, 3, 4, 5], [0, 3, 4, 5]]"
547,0,0.00037975501649467613,0.0,False,0.3333333333333333,5,3,"[0, 1, 2, 10, 24]","[[0, 1, 11, 24], [0, 2, 10, 11], [0, 1, 2, 10]]"
