id,step,bank,channel,raw_attempts,valid_count,acceptance_rate,extended_budget,checkpoints,source_ess,source_proposals,noise_samples,selected_noise_ess,zero_source_weights
19,11,0,7,4096,2649,0.646728515625,False,[],54.46674278359546,128,512,457.0,22
19,11,0,8,4096,2477,0.604736328125,False,[],60.35840670543115,128,512,45.99999999999999,23
19,11,0,9,4096,2745,0.670166015625,False,[],70.92224306091926,128,512,414.00000000000017,15
19,11,0,10,4096,224,0.0546875,False,[],126.67640531357796,128,512,512.0,1
19,11,0,13,4096,1494,0.36474609375,False,[],83.78872031686834,128,512,474.00000000000045,6
19,11,0,14,4096,2232,0.544921875,False,[],63.761021523555925,128,512,217.00000000000045,15
19,11,0,15,4096,2127,0.519287109375,False,[],60.95786809012768,128,512,448.99999999999994,14
19,11,0,17,4096,894,0.21826171875,False,[],94.19418018122026,128,512,166.00000000000009,2
19,11,0,18,4096,255,0.062255859375,False,[],73.44826149534859,128,512,328.0000000000007,12
19,11,2,1,4096,143,0.034912109375,False,[],90.49715993660413,128,512,118.00000000000014,6
19,11,2,2,4096,1089,0.265869140625,False,[],82.59000993477352,128,512,508.0,9
19,11,2,4,4096,1021,0.249267578125,False,[],81.15725460532826,128,512,511.9999999999998,9
19,11,2,5,4096,1451,0.354248046875,False,[],87.52780861010356,128,512,507.0000000000003,8
19,11,2,6,4096,2201,0.537353515625,False,[],63.59694462821449,128,512,151.99999999999997,27
19,11,2,7,4096,2594,0.63330078125,False,[],60.06121615094332,128,512,455.0,18
19,11,2,8,4096,2411,0.588623046875,False,[],49.55199742067009,128,512,151.00000000000026,23
19,11,2,9,4096,2714,0.66259765625,False,[],73.31594433134956,128,512,151.0,11
19,11,2,10,4096,231,0.056396484375,False,[],125.88715275716577,128,512,512.0,2
19,11,2,13,4096,1546,0.37744140625,False,[],73.97862235491527,128,512,487.0000000000004,6
19,11,2,14,4096,2259,0.551513671875,False,[],58.9348587875836,128,512,100.0000000000001,17
19,11,2,15,4096,2114,0.51611328125,False,[],55.776030950172405,128,512,253.00000000000017,16
19,11,2,17,4096,888,0.216796875,False,[],92.73464058454319,128,512,406.00000000000006,0
19,11,2,18,4096,215,0.052490234375,False,[],72.7898773439152,128,512,432.00000000000034,9
25,20,0,2,4096,2392,0.583984375,False,[],55.39772055306248,128,512,468.00000000000034,22
25,20,0,3,8192,249,0.0303955078125,False,[],72.88436077174134,128,512,282.00000000000006,18
25,20,0,4,4096,1463,0.357177734375,False,[],60.899121649639916,128,512,387.99999999999994,19
25,20,0,6,4096,376,0.091796875,False,[],63.56856156801766,128,512,56.00000000000006,7
25,20,0,7,4096,340,0.0830078125,False,[],64.72204199016373,128,512,393.9999999999998,8
25,20,0,8,4096,2294,0.56005859375,False,[],127.61331269349859,128,512,512.0,0
25,20,0,9,4096,235,0.057373046875,False,[],53.74715119971727,128,512,30.000000000000018,22
25,20,0,10,4096,1807,0.441162109375,False,[],46.034405325099186,128,512,128.00000000000023,16
25,20,0,11,4096,2459,0.600341796875,False,[],88.55731850343861,128,512,367.00000000000006,5
25,20,0,12,4096,315,0.076904296875,False,[],89.95839769208374,128,512,511.0,4
25,20,0,13,4096,299,0.072998046875,False,[],78.14327952677523,128,512,338.00000000000045,5
25,20,0,14,4096,1222,0.29833984375,False,[],57.14149697187272,128,512,457.0,10
25,20,0,16,4096,788,0.1923828125,False,[],59.641951734270755,128,512,77.00000000000006,17
25,20,0,18,4096,582,0.14208984375,False,[],100.60456073645443,128,512,289.0000000000003,2
25,20,0,19,4096,359,0.087646484375,False,[],33.14236943318826,128,512,196.9999999999996,36
25,20,1,2,4096,2421,0.591064453125,False,[],54.91874316938365,128,512,492.9999999999998,18
25,20,1,3,8192,257,0.0313720703125,False,[],66.45298539245006,128,512,447.0000000000003,13
25,20,1,4,4096,1441,0.351806640625,False,[],66.71389103492331,128,512,511.9999999999998,12
25,20,1,6,4096,382,0.09326171875,False,[],64.05300600864153,128,512,253.00000000000017,10
25,20,1,7,4096,376,0.091796875,False,[],64.65333382149696,128,512,392.99999999999994,11
25,20,1,8,4096,2224,0.54296875,False,[],127.7017066459675,128,512,512.0,0
25,20,1,9,4096,214,0.05224609375,False,[],51.06244928742171,128,512,144.99999999999997,23
25,20,1,10,4096,1742,0.42529296875,False,[],43.52966032184213,128,512,197.00000000000034,26
25,20,1,11,4096,2455,0.599365234375,False,[],80.98070224719248,128,512,304.0,8
25,20,1,12,4096,314,0.07666015625,False,[],88.97572769610694,128,512,507.0000000000003,4
25,20,1,13,4096,307,0.074951171875,False,[],70.18901151743081,128,512,148.99999999999974,9
25,20,1,14,4096,1276,0.3115234375,False,[],59.906396083558455,128,512,197.00000000000034,11
25,20,1,16,4096,734,0.17919921875,False,[],55.19114613784866,128,512,511.9999999999998,18
25,20,1,18,4096,641,0.156494140625,False,[],99.4108662111993,128,512,433.0000000000002,0
25,20,1,19,4096,368,0.08984375,False,[],29.857771109305542,128,512,181.0000000000004,40
25,20,2,2,4096,2385,0.582275390625,False,[],45.97295410723668,128,512,279.0,25
25,20,2,3,8192,264,0.0322265625,False,[],79.58732710339815,128,512,368.0000000000001,7
25,20,2,4,4096,1416,0.345703125,False,[],70.67720578922156,128,512,72.99999999999997,15
25,20,2,6,4096,381,0.093017578125,False,[],54.78438893025547,128,512,290.9999999999995,14
25,20,2,7,4096,363,0.088623046875,False,[],66.8052628297922,128,512,410.9999999999993,14
25,20,2,8,4096,2206,0.53857421875,False,[],127.79569808077042,128,512,497.0000000000005,0
