seed,seed_hex,stress,problem,variant,run_status,engine_end_reason,total,cleared,clear_rate,error,mean_time_per_source,virtual_time_s,distance,runtime,device,fallback_count,grid_points,clear_attempts,optical_clear_attempts,diagnostic_count,detect_count,switch_count,config_hash,scene_hash,source_hash,directional_count,evidence,grid_version,stage_discovery_s,stage_active_localization_s,stage_diagnostic_s,stage_optical_fallback_s,stage_certified_clear_s,stage_sum_error_s
178,0000000000000000000010000000000000000000000000000000000000000000,one_bit,3,P3_current_grid_v1,FULL_CLEAR,user_exit,11,11,1.0,,390.14256145454544,4291.568176,17952.84087076578,0.655056900001,cpu,0,0,11,0,0,109,101,f646560a9ee6ee2255038d24f08d28bed39916b903e10ada4d73d4781204966c,92004f1c3cccc3fcbe77a870f307272827fa0d751617e5588c4e177f7eafe3b9,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,0,recovered_practice_engine_local,grid_v1,1755.5461360000002,2177.29575,0.0,0.0,358.72628999999966,0.0
179,0000000000000000000020000000000000000000000000000000000000000000,one_bit,3,P3_current_grid_v1,FULL_CLEAR,user_exit,10,10,1.0,,352.5454628,3525.454628,14012.273151399138,0.6739794999994047,cpu,0,0,10,0,0,114,103,f646560a9ee6ee2255038d24f08d28bed39916b903e10ada4d73d4781204966c,9e5e0537b81ae4ad74a737f5534c67448c3a3eded7b86602d98f1dcff175f880,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,0,recovered_practice_engine_local,grid_v1,1584.611774,1666.952283,0.0,0.0,273.89057099999997,0.0
180,0000000000000000000040000000000000000000000000000000000000000000,one_bit,3,P3_current_grid_v1,FULL_CLEAR,user_exit,10,10,1.0,,379.30505750000003,3793.050575,15575.252881361988,0.5650528000005579,cpu,0,0,10,0,0,106,98,f646560a9ee6ee2255038d24f08d28bed39916b903e10ada4d73d4781204966c,710587e3944fa75b059d55218a4bb6e0c51427f0ea9edf203196c42bcc4956a9,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,0,recovered_practice_engine_local,grid_v1,2028.2731250000006,1426.3984710000002,0.0,0.0,338.3789789999993,0.0
181,0000000000000000000080000000000000000000000000000000000000000000,one_bit,3,P3_current_grid_v1,FULL_CLEAR,user_exit,13,13,1.0,,315.81820053846155,4105.636607,17198.18301787918,0.7493288000005123,cpu,0,0,13,0,0,102,91,f646560a9ee6ee2255038d24f08d28bed39916b903e10ada4d73d4781204966c,ab2aa8ce22a35dfdbcf77b4799809e7150c3a9afae04cb10c6be5e9046e6f688,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,0,recovered_practice_engine_local,grid_v1,1959.1925400000002,1830.9927510000005,0.0,0.0,315.4513159999996,0.0
182,0000000000000000000100000000000000000000000000000000000000000000,one_bit,3,P3_current_grid_v1,FULL_CLEAR,user_exit,13,13,1.0,,346.6860056153846,4506.918073,19294.590363932977,0.7585675999998784,cpu,0,0,13,0,0,99,88,f646560a9ee6ee2255038d24f08d28bed39916b903e10ada4d73d4781204966c,22831fcf7dad49b0c8748593f4697a3c7483883b170e8aa6b2190329d9224d0b,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,0,recovered_practice_engine_local,grid_v1,1858.3226359999992,2364.2980510000007,0.0,0.0,284.29738600000036,0.0
183,0000000000000000000200000000000000000000000000000000000000000000,one_bit,3,P3_current_grid_v1,FULL_CLEAR,user_exit,13,13,1.0,,352.00664330769234,4576.086363,18320.431815016684,0.6811674000000494,cpu,1,120,74,62,0,112,104,f646560a9ee6ee2255038d24f08d28bed39916b903e10ada4d73d4781204966c,2d1be96a8a45c3ba6b0b135800ae187c7a7df0582c3d4398195da26a8d9f1b9c,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,0,recovered_practice_engine_local,grid_v1,1877.1313370000007,1708.669918,0.0,750.6514780000002,239.6336299999994,0.0
184,0000000000000000000400000000000000000000000000000000000000000000,one_bit,3,P3_current_grid_v1,FULL_CLEAR,user_exit,10,10,1.0,,372.6530808,3726.530808,14967.654039428935,0.5881969000001845,cpu,0,0,10,0,0,115,108,f646560a9ee6ee2255038d24f08d28bed39916b903e10ada4d73d4781204966c,3f580acd6d214fa3401fdd8da1f36689295a52f3933cfde2691fb2bcfc266931,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,0,recovered_practice_engine_local,grid_v1,1672.3676580000001,1730.6026210000002,0.0,0.0,323.5605289999996,4.547473508864641e-13
185,0000000000000000000800000000000000000000000000000000000000000000,one_bit,3,P3_current_grid_v1,FULL_CLEAR,user_exit,15,15,1.0,,424.9573644,6374.360466,26451.802293406417,0.7302626999990025,cpu,1,114,112,98,0,121,113,f646560a9ee6ee2255038d24f08d28bed39916b903e10ada4d73d4781204966c,17d08671696dd24c530c47b3ddd316e864df313eda82ba4d8ed08d12827f59d5,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,0,recovered_practice_engine_local,grid_v1,1426.6827039999998,2254.771755999999,0.0,2387.3148680000004,305.5911380000007,0.0
186,0000000000000000001000000000000000000000000000000000000000000000,one_bit,3,P3_current_grid_v1,FULL_CLEAR,user_exit,14,14,1.0,,306.1532107142857,4286.14495,17810.724743215804,0.853129799999806,cpu,0,0,14,0,0,111,99,f646560a9ee6ee2255038d24f08d28bed39916b903e10ada4d73d4781204966c,8c3951e0994096a4f21cd01c920e554a5cd540f09cb42b05b4e7be8ec1b2cef2,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,0,recovered_practice_engine_local,grid_v1,1546.4475810000001,2256.1763950000004,0.0,0.0,483.5209739999993,0.0
187,0000000000000000002000000000000000000000000000000000000000000000,one_bit,3,P3_current_grid_v1,FULL_CLEAR,user_exit,14,14,1.0,,305.7642538571428,4280.699554,17793.497752844058,0.7068080000008194,cpu,0,0,14,0,0,110,102,f646560a9ee6ee2255038d24f08d28bed39916b903e10ada4d73d4781204966c,8fb5387eb14a9fea1e8c2da1fd4fbab4e4d4b4e0f7c56ccf9ebb939811b6c866,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,0,recovered_practice_engine_local,grid_v1,1731.3445619999998,1942.742352999999,0.0,0.0,606.6126390000009,0.0
188,0000000000000000004000000000000000000000000000000000000000000000,one_bit,3,P3_current_grid_v1,FULL_CLEAR,user_exit,10,10,1.0,,304.7739493,3047.739493,11238.69747265752,0.5287415000002511,cpu,0,0,10,0,0,126,120,f646560a9ee6ee2255038d24f08d28bed39916b903e10ada4d73d4781204966c,40035bc2edf21b4605fb45f15d910a21fd3177c431acd6d4532b8b49b763f008,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,0,recovered_practice_engine_local,grid_v1,1565.2897679999992,1078.2881579999998,0.0,0.0,404.1615670000009,0.0
189,0000000000000000008000000000000000000000000000000000000000000000,one_bit,3,P3_current_grid_v1,FULL_CLEAR,user_exit,10,10,1.0,,362.34578270000003,3623.457827,14702.289135718287,0.5529661000000488,cpu,0,0,10,0,0,107,98,f646560a9ee6ee2255038d24f08d28bed39916b903e10ada4d73d4781204966c,9d2b6a2eb070be317c34fee048a845caf45917b567b293911ed5441f253b946d,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,0,recovered_practice_engine_local,grid_v1,1940.3692380000005,1342.0418139999997,0.0,0.0,341.046775,0.0
190,0000000000000000010000000000000000000000000000000000000000000000,one_bit,3,P3_current_grid_v1,FULL_CLEAR,user_exit,12,12,1.0,,350.9415986666667,4211.299184,16921.49591936306,0.6814586999989842,cpu,0,0,12,0,0,129,122,f646560a9ee6ee2255038d24f08d28bed39916b903e10ada4d73d4781204966c,8b8e865d9fc108e481d3831fdc0d40de42e71775f5ecf24716c7739e2db69e29,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,0,recovered_practice_engine_local,grid_v1,1700.5758589999996,2256.851338,0.0,0.0,253.8719870000008,0.0
