state_id,world_id,channel,history_index,dog_position,historical_response,replayed_response,mismatched_keys,source_position,source_type,source_heading,source_radius,true_geometric_bearing,angular_error,rounding_result,historical_reported_angle,replayed_reported_angle,interval_low,interval_high,constraint_violation,distance,clamp_changed_report,failure_class,mechanism
0529_21,1427392,10,10,"[0.0, 0.0]","{'accepted': True, 'measure_result': 'direction', 'svd_deg': 107.47}","{'accepted': True, 'virtual_time_s': 59.0, 'measure_result': 'direction', 'svd_deg': 107.46}",['svd_deg'],"[-223.88870553169704, 757.4580009286813]",directional,-142.49231814346288,1433.1342602003535,106.46657470377383,0.9994614353966179,107.47,107.47,107.46,0.9984252972261689,1.0,0.0,789.8536419081279,True,ANGLE_ROUNDING_MISMATCH,physical_clamp_after_rounding
0930_18,1447436,3,228,"[485.0, 840.0446416709054]","{'accepted': True, 'measure_result': 'direction', 'svd_deg': 211.35}","{'accepted': True, 'virtual_time_s': 4038.506823, 'measure_result': 'direction', 'svd_deg': 211.34}",['svd_deg'],"[-289.1240082736959, 386.84135381599305]",omni,-31.739133439285837,1127.2931989034525,210.3464199500719,0.9988583953048619,211.35,211.35,211.34,0.9985800509281038,1.0,0.0,897.0290966898652,True,ANGLE_ROUNDING_MISMATCH,physical_clamp_after_rounding
0470_18,1424436,13,55,"[-970.0, 0.0]","{'accepted': True, 'measure_result': 'direction', 'svd_deg': 282.81}","{'accepted': True, 'virtual_time_s': 759.22155, 'measure_result': 'direction', 'svd_deg': 282.8}",['svd_deg'],"[-781.6195545406985, -901.1843327837906]",omni,18.390114079967127,1050.0332248866712,281.80689771965683,0.9993124532422024,282.81,282.81,282.8,0.998102281343171,1.0,0.0,920.6630186373355,True,ANGLE_ROUNDING_MISMATCH,physical_clamp_after_rounding
0763_23,1439096,20,62,"[1455.0, 840.0446416709054]","{'accepted': True, 'measure_result': 'direction', 'svd_deg': 214.87}","{'accepted': True, 'virtual_time_s': 1120.386554, 'measure_result': 'direction', 'svd_deg': 214.88}",['svd_deg'],"[393.6305001601186, 72.5149885302667]",directional,-22.836810741272323,1379.4416436452095,215.87258349971972,-0.9978676382882321,214.87,214.87,214.88,-1.0,-0.9975835007197194,0.0,1309.8118122999767,True,ANGLE_ROUNDING_MISMATCH,physical_clamp_after_rounding
0070_16,1404433,8,142,"[1581.3128317188246, -360.36890121710104]","{'accepted': True, 'measure_result': 'direction', 'svd_deg': 22.78}","{'accepted': True, 'virtual_time_s': 2773.061773, 'measure_result': 'direction', 'svd_deg': 22.77}",['svd_deg'],"[1645.290394116289, -334.811837218919]",omni,167.24219544884545,1104.854413212855,21.77518563983397,0.9998282741000224,22.78,22.78,22.77,0.9998143611660228,1.0,0.0,68.89333792558342,True,ANGLE_ROUNDING_MISMATCH,physical_clamp_after_rounding
0820_22,1441944,13,333,"[-1455.0, 840.0446416709054]","{'accepted': True, 'measure_result': 'direction', 'svd_deg': 25.2}","{'accepted': True, 'virtual_time_s': 5709.662866, 'measure_result': 'direction', 'svd_deg': 25.19}",['svd_deg'],"[-906.5487435363091, 1086.4754278032615]",directional,155.50110796941064,1423.7942530202604,24.19539499225206,0.9996084365080002,25.2,25.2,25.19,0.9996050087479549,1.0,0.0,601.2710811858593,True,ANGLE_ROUNDING_MISMATCH,physical_clamp_after_rounding
0316_17,1416735,4,118,"[0.0, -1680.0892833418109]","{'accepted': True, 'measure_result': 'direction', 'svd_deg': 51.72}","{'accepted': True, 'virtual_time_s': 1878.908229, 'measure_result': 'direction', 'svd_deg': 51.71}",['svd_deg'],"[674.2373044228892, -855.8480248185363]",omni,-126.70678745208969,1215.269602989294,50.71650253279102,0.9990582351379891,51.72,51.72,51.71,0.9984974682089731,1.0,0.0,1064.8800847642308,True,ANGLE_ROUNDING_MISMATCH,physical_clamp_after_rounding
0272_20,1414541,9,168,"[-152.2457152593803, -105.41342564572801]","{'accepted': True, 'measure_result': 'direction', 'svd_deg': 121.95}","{'accepted': True, 'virtual_time_s': 3597.828455, 'measure_result': 'direction', 'svd_deg': 121.96}",['svd_deg'],"[-566.8588377846472, 534.1716571542053]",directional,-19.15301407976606,1096.5096423978205,122.95345627564838,-0.9994064614738869,121.95,121.95,121.96,-1.0,-0.9984562766483751,0.0,762.2159270904469,True,ANGLE_ROUNDING_MISMATCH,physical_clamp_after_rounding
0906_21,1446242,10,119,"[1323.5637864004993, -1100.128951642388]","{'accepted': True, 'measure_result': 'direction', 'svd_deg': 235.45}","{'accepted': True, 'virtual_time_s': 2480.147778, 'measure_result': 'direction', 'svd_deg': 235.46}",['svd_deg'],"[1319.5520384801289, -1106.1792729765143]",omni,-149.85253098707133,1281.6803107956625,236.45309010129907,-0.9981602623719286,235.45,235.45,235.46,-1.0,-0.9980901022990796,0.0,7.259511665586037,True,ANGLE_ROUNDING_MISMATCH,physical_clamp_after_rounding
0821_21,1441993,11,164,"[1455.0, 840.0446416709054]","{'accepted': True, 'measure_result': 'direction', 'svd_deg': 218.5}","{'accepted': True, 'virtual_time_s': 3248.469085, 'measure_result': 'direction', 'svd_deg': 218.51}",['svd_deg'],"[1031.764450845776, 491.1356052856906]",directional,97.86293873049839,1390.7779601581692,219.5016582472393,-0.9979165427281909,218.5,218.5,218.51,-1.0,-0.9966582482393054,0.0,548.5123934234638,True,ANGLE_ROUNDING_MISMATCH,physical_clamp_after_rounding
