label,nr,nz,dt_s,ends,event_1d_h,event_2d_h,event_difference_s,final_mean_C_2d,final_mean_C_1d,max_cumulative_water_budget_relative,end_fraction_of_integrated_loss
closed,41,9,30.0,False,51.11788736979167,51.11788736979167,0.0,0.11821495152006348,0.11821495152006534,2.1594926282905008e-14,0.0
coarse,41,25,30.0,True,51.11788736979167,51.11788736979167,0.0,0.11593288447779057,0.11821495152006534,2.934471837636688e-14,0.0391781547251133
fine,81,37,15.0,True,51.100830078125,51.100830078125,0.0,0.11607800218271132,0.11834815229582639,5.60553782041133e-14,0.03903160590840709
