model,moving,n,dt,scheme,interpolation,tail,mode,omega,ale,event_s,event_h,max_picard_iterations,max_step_balance_relative,max_cumulative_balance_relative,final_max_C,radius_extrapolated,name,wall_seconds
2,False,41,2.0,be,pchip,last,0,1.0,True,205854.25,57.181736111111114,4,1.124187110142656e-16,8.503546450866703e-15,0.14999999836916314,False,q3_D_1.0,1.525793899999826
2,False,41,2.0,be,pchip,last,0,1.0,True,189367.6875,52.60213541666667,4,9.739321847565532e-17,8.078369128323368e-15,0.1499999922655573,False,q3_D_1.1,1.4106090999998742
2,False,41,2.0,be,pchip,last,0,1.0,True,175693.625,48.803784722222225,4,1.100571914615652e-16,8.184663458959202e-15,0.1499999819543263,False,q3_D_1.2,1.336218700000245
2,False,41,2.0,be,pchip,last,0,1.0,True,211965.25,58.87923611111111,4,1.270030405595143e-16,8.503546450866703e-15,0.14999998707840076,False,q3_hm_0.8,1.5680984000000535
2,False,41,2.0,be,pchip,last,0,1.0,True,208504.8125,57.918003472222225,4,1.3110326132134577e-16,1.3074202668207555e-14,0.14999998563415012,False,q3_hm_0.9,1.5425768999998581
2,False,41,2.0,be,pchip,last,0,1.0,True,205854.25,57.181736111111114,4,1.124187110142656e-16,8.503546450866703e-15,0.14999999836916314,False,q3_hm_1.0,1.5743130999999266
2,False,41,2.0,be,pchip,last,0,1.0,True,203775.0,56.604166666666664,4,1.069690505080339e-16,2.8167997618495954e-14,0.14999999964419283,False,q3_hm_1.1,1.6260981999998876
2,False,41,2.0,be,pchip,last,0,1.0,True,202111.75,56.14215277777778,4,1.2020394030888235e-16,2.9975001239305127e-14,0.14999999122955493,False,q3_hm_1.2,1.5488967999999659
2,False,41,2.0,be,pchip,last,0,1.0,True,205925.5625,57.20154513888889,4,1.0826658872380335e-16,6.590248499421694e-15,0.14999998476655707,False,q3_hT_0.8,1.5722007999997913
2,False,41,2.0,be,pchip,last,0,1.0,True,205885.875,57.19052083333333,4,1.103166991047191e-16,8.397252120230868e-15,0.1499999901021232,False,q3_hT_0.9,1.7068956999996772
2,False,41,2.0,be,pchip,last,0,1.0,True,205854.25,57.181736111111114,4,1.124187110142656e-16,8.503546450866703e-15,0.14999999836916314,False,q3_hT_1.0,2.240968100000373
2,False,41,2.0,be,pchip,last,0,1.0,True,205828.5,57.17458333333333,4,1.0214220834537153e-16,1.1586082039305882e-14,0.14999999963856828,False,q3_hT_1.1,2.1704537999999047
2,False,41,2.0,be,pchip,last,0,1.0,True,205807.1875,57.16866319444444,4,1.0593101993541834e-16,6.590248499421694e-15,0.1499999822574445,False,q3_hT_1.2,2.177944699999898
2,False,41,2.0,be,pchip,last,0,1.0,True,205866.75,57.185208333333335,4,1.0765674576239172e-16,1.1479787708670049e-14,0.14999998452272853,False,q3_k_0.8,2.184868699999697
2,False,41,2.0,be,pchip,last,0,1.0,True,205859.8125,57.18328125,4,1.0681334592214156e-16,7.653191805780032e-15,0.14999998207136192,False,q3_k_0.9,2.2962891000001946
2,False,41,2.0,be,pchip,last,0,1.0,True,205854.25,57.181736111111114,4,1.124187110142656e-16,8.503546450866703e-15,0.14999999836916314,False,q3_k_1.0,2.270807899999909
2,False,41,2.0,be,pchip,last,0,1.0,True,205849.8125,57.18050347222222,4,1.0904511165326503e-16,9.566489757225041e-15,0.14999998832793376,False,q3_k_1.1,2.3148794999997335
2,False,41,2.0,be,pchip,last,0,1.0,True,205846.125,57.17947916666667,4,1.1799812534207426e-16,1.3180496998843389e-14,0.14999998388088615,False,q3_k_1.2,2.281196699999782
4,True,41,2.0,be,pchip,last,0,1.0,True,229546.75,63.76298611111111,4,1.8117526106788905e-16,2.6573582658958444e-14,0.14999997688454253,False,q4_D_0.8,2.4766970999999103
4,True,41,2.0,be,pchip,last,0,1.0,True,206784.3125,57.44008680555555,4,1.8422447587494727e-16,1.6156738256646736e-14,0.14999998781814694,False,q4_D_0.9,2.3445388000000094
4,True,41,2.0,be,pchip,last,0,1.0,True,188609.1875,52.39144097222222,4,1.9598017210981855e-16,1.9132979514450082e-14,0.1499999851918606,False,q4_D_1.0,2.1839137000001756
4,True,41,2.0,be,pchip,last,0,1.0,True,173767.8125,48.26883680555556,4,1.703148662018987e-16,1.2967908337571722e-14,0.14999998970977502,False,q4_D_1.1,2.0903975000001083
4,True,41,2.0,be,pchip,last,0,1.0,True,161423.875,44.83996527777778,4,1.9421552013637208e-16,1.2330142353756719e-14,0.14999999567365002,False,q4_D_1.2,1.9111140999998497
4,True,41,2.0,be,pchip,last,0,1.0,True,191240.5625,53.12237847222222,4,1.9719985803264182e-16,1.8707802191906746e-14,0.14999997717016847,False,q4_hm_0.8,1.69886600000018
4,True,41,2.0,be,pchip,last,0,1.0,True,189733.375,52.703715277777775,4,2.1302982426502918e-16,1.9770745498265082e-14,0.14999999220099935,False,q4_hm_0.9,1.7148526999999376
4,True,41,2.0,be,pchip,last,0,1.0,True,188609.1875,52.39144097222222,4,1.9598017210981855e-16,1.9132979514450082e-14,0.1499999851918606,False,q4_hm_1.0,1.740384599999743
4,True,41,2.0,be,pchip,last,0,1.0,True,187747.3125,52.15203125,4,1.7921597836207717e-16,1.9770745498265082e-14,0.14999999497634334,False,q4_hm_1.1,1.781974199999695
4,True,41,2.0,be,pchip,last,0,1.0,True,187071.5,51.964305555555555,4,1.7241687811144522e-16,1.9983334159536752e-14,0.14999997269830015,False,q4_hm_1.2,1.7667720999997982
4,True,41,2.0,be,pchip,last,0,1.0,True,188665.375,52.40704861111111,4,1.9927591917787295e-16,2.0833688804623422e-14,0.14999998278862878,False,q4_hT_0.8,1.7441451999998208
4,True,41,2.0,be,pchip,last,0,1.0,True,188633.9375,52.39831597222222,4,1.9901641153471906e-16,1.849521353063508e-14,0.14999998449653412,False,q4_hT_0.9,1.7069464999999582
4,True,41,2.0,be,pchip,last,0,1.0,True,188609.1875,52.39144097222222,4,1.9598017210981855e-16,1.9132979514450082e-14,0.1499999851918606,False,q4_hT_1.0,1.8042253999997229
4,True,41,2.0,be,pchip,last,0,1.0,True,188589.25,52.38590277777778,4,2.1341908572976e-16,9.24760676531754e-15,0.14999996997172707,False,q4_hT_1.1,2.2848753999996916
4,True,41,2.0,be,pchip,last,0,1.0,True,188572.8125,52.381336805555556,4,1.9286608039197185e-16,1.5518972272831733e-14,0.14999997188526176,False,q4_hT_1.2,2.122663200000261
4,True,41,2.0,be,pchip,last,0,1.0,True,188624.125,52.39559027777778,4,1.8195378399735073e-16,1.5093794950288397e-14,0.14999999032014458,False,q4_k_0.8,2.188043600000128
4,True,41,2.0,be,pchip,last,0,1.0,True,188615.75,52.39326388888889,4,2.0545220108493555e-16,2.2109220772253428e-14,0.1499999923519355,False,q4_k_0.9,2.199315999999726
4,True,41,2.0,be,pchip,last,0,1.0,True,188609.1875,52.39144097222222,4,1.9598017210981855e-16,1.9132979514450082e-14,0.1499999851918606,False,q4_k_1.0,2.30762199999981
4,True,41,2.0,be,pchip,last,0,1.0,True,188603.875,52.389965277777776,4,1.7947548600523106e-16,1.5306383611560063e-14,0.14999999148849594,False,q4_k_1.1,2.359274699999787
4,True,41,2.0,be,pchip,last,0,1.0,True,188599.5,52.38875,4,1.9766697179031883e-16,1.9132979514450082e-14,0.1499999985427184,False,q4_k_1.2,2.4914565000003677
2,False,41,2.0,be,pchip,last,0,1.0,True,205518.8125,57.08855902777778,4,1.2396680113461376e-16,1.7857447546820076e-14,0.14999999310979087,False,lhs_00,2.372855399999935
2,False,41,2.0,be,pchip,last,0,1.0,True,206543.0,57.37305555555555,4,8.57543006802033e-17,2.614840533641511e-14,0.14999998638387857,False,lhs_01,2.2423438000000715
2,False,41,2.0,be,pchip,last,0,1.0,True,218442.625,60.67850694444444,4,1.169341440051433e-16,1.5093794950288397e-14,0.14999998895664232,False,lhs_02,2.2706895999999688
2,False,41,2.0,be,pchip,last,0,1.0,True,198416.375,55.11565972222222,4,9.104825660054268e-17,2.6573582658958444e-14,0.1499999949960809,False,lhs_03,2.049500900000112
2,False,41,2.0,be,pchip,last,0,1.0,True,189648.0,52.68,4,1.3852517991554705e-16,2.1258866127166755e-14,0.1499999881652302,False,lhs_04,2.0005537999995795
2,False,41,2.0,be,pchip,last,0,1.0,True,196383.5625,54.55098958333333,4,9.269613013456989e-17,1.349937999075089e-14,0.14999998489541216,False,lhs_05,2.094444199999998
2,False,41,2.0,be,pchip,last,0,1.0,True,254151.125,70.59753472222222,4,1.0785137649475713e-16,1.179867070057755e-14,0.14999999476089895,False,lhs_06,2.6043151999997463
2,False,41,2.0,be,pchip,last,0,1.0,True,197079.625,54.74434027777778,4,1.1849118986406666e-16,3.0719061553755963e-14,0.14999999120747545,False,lhs_07,1.775844099999631
2,False,41,2.0,be,pchip,last,0,1.0,True,225967.625,62.76878472222222,4,1.410424040541398e-16,1.264902534566422e-14,0.1499999860801039,False,lhs_08,2.007821299999705
2,False,41,2.0,be,pchip,last,0,1.0,True,241065.5,66.96263888888889,4,9.841827366611319e-17,1.6475621248554236e-14,0.14999998775121676,False,lhs_09,2.034083400000327
2,False,41,2.0,be,pchip,last,0,1.0,True,182807.875,50.77996527777778,4,1.3351668240267695e-16,2.2321809433525095e-14,0.14999998500667278,False,lhs_10,1.7092149000000063
2,False,41,2.0,be,pchip,last,0,1.0,True,216859.625,60.23878472222222,4,1.1164018808480393e-16,1.7007092901733406e-14,0.149999988721448,False,lhs_11,1.8261969999998655
2,False,41,2.0,be,pchip,last,0,1.0,True,179989.3125,49.99703125,4,9.642006481382823e-17,1.7538564554912573e-14,0.14999998243120813,False,lhs_12,1.649605000000065
2,False,41,2.0,be,pchip,last,0,1.0,True,237505.875,65.97385416666667,4,9.747107076860149e-17,2.2534398094796762e-14,0.1499999867473684,False,lhs_13,2.0567849999997634
2,False,41,2.0,be,pchip,last,0,1.0,True,184478.625,51.2440625,4,1.0856502251343034e-16,3.199459352138597e-14,0.14999998204006687,False,lhs_14,1.7648847000000387
2,False,41,2.0,be,pchip,last,0,1.0,True,210769.25,58.54701388888889,4,9.303349007066995e-17,5.952482515606692e-15,0.14999999885895138,False,lhs_15,1.8065034000001106
2,False,41,2.0,be,pchip,last,0,1.0,True,180922.4375,50.25623263888889,4,1.1950326967236683e-16,1.881409652254258e-14,0.14999998407377893,False,lhs_16,1.6587727000000996
2,False,41,2.0,be,pchip,last,0,1.0,True,232914.6875,64.69852430555555,4,1.4062719182509357e-16,7.015425821965029e-15,0.14999999551612042,False,lhs_17,1.9907899999998335
2,False,41,2.0,be,pchip,last,0,1.0,True,186280.0,51.74444444444445,4,1.0284287898188703e-16,2.306586974797593e-14,0.1499999966460865,False,lhs_18,1.7317142000001695
2,False,41,2.0,be,pchip,last,0,1.0,True,221921.875,61.64496527777778,4,1.3201153807238438e-16,2.8805763602310957e-14,0.14999999045165913,False,lhs_19,1.9758852999998453
2,False,41,2.0,be,pchip,last,0,1.0,True,191171.1875,53.103107638888886,4,9.827554446237855e-17,1.9451862506357582e-14,0.14999999073364081,False,lhs_20,1.7979443999997784
2,False,41,2.0,be,pchip,last,0,1.0,True,240631.375,66.84204861111111,4,1.1057620674787299e-16,2.784911462658845e-14,0.14999999447070722,False,lhs_21,2.253203599999779
2,False,41,2.0,be,pchip,last,0,1.0,True,201574.5,55.992916666666666,4,1.2183883846075186e-16,2.0939983135259255e-14,0.1499999980491836,False,lhs_22,1.7536668000002464
2,False,41,2.0,be,pchip,last,0,1.0,True,211450.5625,58.73626736111111,4,1.4003032424583963e-16,2.2321809433525095e-14,0.149999989362318,False,lhs_23,1.882683199999974
