时间 / h,0 cm,0.5 cm,1 cm,1.5 cm,2 cm
0.5000,32.1904,32.3832,32.9667,33.9614,35.4137
1.0000,40.3822,40.5542,41.0609,41.8784,43.0001
1.5000,45.8468,45.9348,46.1930,46.6052,47.1396
2.0000,48.4501,48.4879,48.5983,48.7734,49.0032
2.5000,49.4669,49.4791,49.5135,49.5645,49.6617
3.0000,49.8494,49.8553,49.8746,49.9101,49.9666
