index,x,y,D_old_m,J_old_m,T_s,continuous_LB_m,continuous_UB_m,gap_m,J_LB_m,J_UB_m,converged,splits,coarse_max_outer_D_m,fine_max_outer_D_m,fine_minus_coarse_m,coarse_scenarios,fine_scenarios,coarse_near_scenarios,fine_near_scenarios,near_boundary_scenarios,near_boundary_near_scenarios,near_boundary_max_outer_D_m,near_outer_upper_m,all_branch_outer_upper_m,R_at_sampled_D_argmax_m,sampled_D_argmax_report_deg,clip_max_residual_m,calipers_max_difference_m,nesting_residual_m,cached_wedge_evaluations,wedge_evaluations,near_disk_intersections,posterior_evaluations,runtime_s
0,616.3139720814413,32.512886940357106,242.45488318197008,268.1417217807052,128.4341929936758,242.45426480352594,242.46346728600582,0.009202482479878427,268.1411034022611,268.150305884741,True,32,242.25671010092339,242.4063865591019,0.1496764581785044,765,5049,0,0,0,0,0.0,0.0,242.46346728600582,121.22713241176305,48.851318359375,2.8421709430404007e-13,0.23957910781709302,2.2737367544323206e-13,4222,4238,1,4239,0.39711170000373386
1,596.3139720814413,67.15390309173466,269.58279259579865,294.58612569768263,125.01666550941998,269.5820066130679,269.58972361628986,0.007717003221955565,294.5853397149519,294.59305671817384,True,29,269.3778028204518,269.47153159202975,0.09372877157795756,765,5049,0,0,0,0,0.0,0.0,269.58972361628986,134.791003316534,46.642913818359375,7.623518509453928e-13,0.20019598720216436,4.547473508864641e-13,4211,4227,1,4228,0.41286010001203977
2,576.3139720814413,101.79491924311219,305.11941982288585,329.5288196443251,122.04699910719626,305.1193813367124,305.1232564709236,0.0038751342111709164,329.5287811581517,329.53265629236284,True,29,304.9589954999899,304.9589954999899,0.0,765,5049,0,0,0,0,0.0,0.0,305.1232564709236,152.55969067835625,44.38575744628906,3.0770888797050105e-13,0.1592638733890226,5.115907697472721e-13,3849,3865,1,3866,0.34179730000323616
3,556.3139720814413,136.43593539448975,353.3447215610316,377.25672714762305,119.5600279329575,353.3429771531936,353.34965158293494,0.006674429741337917,377.2549827397851,377.2616571695264,True,27,353.11125534781837,353.11125534781837,0.0,765,5049,0,0,0,0,0.0,0.0,353.34965158293494,176.67148858659687,42.0855712890625,2.8421709430404007e-13,0.11695548343743667,2.2737367544323206e-13,3901,3917,1,3918,0.3817008000041824
4,536.3139720814413,171.0769515458673,422.02281019144,445.5403589035001,117.58774356030058,422.02130915931014,422.02720252684384,0.005893367533701621,445.5388578713703,445.5447512389039,True,22,421.62722624663763,421.9126560990537,0.28542985241608676,765,5049,0,0,0,0,0.0,0.0,422.02720252684384,211.01065458965508,39.74861145019531,3.410605131648481e-13,0.07347322215770191,4.547473508864641e-13,3629,3645,1,3646,0.3501840999961132
5,516.3139720814413,205.71796769724483,526.8554029407134,550.0869121112578,116.15754585272202,526.8551151126968,526.8590023570293,0.0038872443325317363,550.0866242832412,550.0905115275738,True,22,526.3055970451526,526.764970248066,0.45937320291341166,765,5049,0,0,0,0,0.0,0.0,526.8590023570293,263.42755756634847,37.38197326660156,2.8421709430404007e-13,0.02904629169825057,6.821210263296962e-13,3359,3375,1,3376,0.30563130001246464
6,496.3139720814413,240.3589838486224,705.1133555402869,728.1714606266264,115.29052543169789,705.1125504422021,705.1179716325432,0.005421190341166948,728.1706555285416,728.1760767188828,True,22,704.6414565714938,704.996193903524,0.35473733203025404,765,5049,0,0,0,0,0.0,0.0,705.1179716325432,352.55627523110104,34.9932861328125,4.427177030667966e-12,0.0,2.2737367544323206e-13,2978,2994,1,2995,0.2719100999966031
7,476.3139720814413,274.99999999999994,951.9251552633132,974.9251552633132,115.0,951.9251552633118,951.9251552633111,-6.821210263296962e-13,974.9251552633118,974.9251552633111,True,1,951.9251552633144,951.9251552633145,1.1368683772161603e-13,765,5049,0,0,25,17,42.91649754136379,10.0,951.9251552633111,475.9625776416559,31.25,8.54664517336543e-12,0.0,0.0,1811,1827,1,1828,0.21412359998794273
8,456.3139720814413,309.64101615137747,703.7367463960952,726.7948514824348,115.29052543169789,703.7351316926397,703.7405453408795,0.0054136482398234875,726.7932367789792,726.7986504272191,True,24,703.090655357339,703.4467812156792,0.3561258583401923,765,5049,0,0,0,0,0.0,0.0,703.7405453408795,351.8675658563199,25.0018310546875,2.340647157158215e-12,0.0,0.0,2986,3002,1,3003,0.23365019999619108
9,436.3139720814413,344.28203230275506,525.707170779967,548.9386799505114,116.15754585272202,525.7036992457669,525.71068554367,0.006986297903154082,548.9352084163113,548.9421947142145,True,20,525.6764784943273,525.6764784943273,0.0,765,5049,0,0,0,0,0.0,0.0,525.71068554367,262.85184963288356,22.609405517578125,2.3256348668866054e-13,0.0,0.0,3351,3367,1,3368,0.3445131000044057
