comparison,delta_J_upper_m,numerical_improvement_separation_m,relative_gain,delta_D_upper_m,delta_T_s
M0->M1,-0.5951688575508172,0.5942329146595284,0.0038703030507338623,-0.7374213161560874,0.7112622930263228
M1->M2,-3.866261127427606e-05,-0.0009348666172286357,2.523946059269074e-07,-3.866260610152494e-05,-2.5835333872237243e-11
M1->M3,-0.5082610068336351,0.5072874776051322,0.003317994628395429,-0.6739341459373946,0.8283656955186984
M0->M3,-1.1034298643844522,1.1024939214931635,0.007175456034396694,-1.411355462093482,1.5396279885450213
