mode,level,x,y,parent,reason
M1,0,499.99999999999994,-866.0254037844387,coarse_grid,float_prefilter
M1,0,479.99999999999994,-831.3843876330611,coarse_grid,float_prefilter
M1,0,459.99999999999994,-796.7433714816837,coarse_grid,float_prefilter
M1,0,439.99999999999994,-762.1023553303061,coarse_grid,float_prefilter
M1,0,419.99999999999994,-727.4613391789285,coarse_grid,float_prefilter
M1,0,399.99999999999994,-692.820323027551,coarse_grid,float_prefilter
M1,0,379.99999999999994,-658.1793068761734,coarse_grid,float_prefilter
M1,0,359.99999999999994,-623.5382907247958,coarse_grid,float_prefilter
M1,0,339.99999999999994,-588.8972745734184,coarse_grid,float_prefilter
M1,0,319.99999999999994,-554.2562584220408,coarse_grid,float_prefilter
M1,0,299.99999999999994,-519.6152422706632,coarse_grid,float_prefilter
M1,0,279.99999999999994,-484.9742261192857,coarse_grid,float_prefilter
M1,0,259.99999999999994,-450.33320996790815,coarse_grid,float_prefilter
M1,0,239.99999999999997,-415.69219381653056,coarse_grid,float_prefilter
M1,0,219.99999999999997,-381.05117766515303,coarse_grid,float_prefilter
M1,0,199.99999999999997,-346.4101615137755,coarse_grid,float_prefilter
M1,0,179.99999999999997,-311.7691453623979,coarse_grid,float_prefilter
M1,0,159.99999999999997,-277.1281292110204,coarse_grid,float_prefilter
M1,0,139.99999999999997,-242.48711305964284,coarse_grid,float_prefilter
M1,0,119.99999999999999,-207.84609690826528,coarse_grid,float_prefilter
M1,0,99.99999999999999,-173.20508075688775,coarse_grid,float_prefilter
M1,0,79.99999999999999,-138.5640646055102,coarse_grid,float_prefilter
M1,0,59.99999999999999,-103.92304845413264,coarse_grid,float_prefilter
M1,0,39.99999999999999,-69.2820323027551,coarse_grid,float_prefilter
M1,0,19.999999999999996,-34.64101615137755,coarse_grid,float_prefilter
M1,0,0.0,0.0,coarse_grid,float_prefilter
M1,0,-19.999999999999996,34.64101615137755,coarse_grid,float_prefilter
M1,0,-39.99999999999999,69.2820323027551,coarse_grid,float_prefilter
M1,0,-59.99999999999999,103.92304845413264,coarse_grid,float_prefilter
M1,0,-79.99999999999999,138.5640646055102,coarse_grid,float_prefilter
M1,0,-99.99999999999999,173.20508075688775,coarse_grid,float_prefilter
M1,0,-119.99999999999999,207.84609690826528,coarse_grid,float_prefilter
M1,0,-139.99999999999997,242.48711305964284,coarse_grid,float_prefilter
M1,0,-159.99999999999997,277.1281292110204,coarse_grid,float_prefilter
M1,0,-179.99999999999997,311.7691453623979,coarse_grid,float_prefilter
M1,0,-199.99999999999997,346.4101615137755,coarse_grid,float_prefilter
M1,0,-219.99999999999997,381.05117766515303,coarse_grid,float_prefilter
M1,0,-239.99999999999997,415.69219381653056,coarse_grid,float_prefilter
M1,0,-259.99999999999994,450.33320996790815,coarse_grid,float_prefilter
M1,0,-279.99999999999994,484.9742261192857,coarse_grid,float_prefilter
M1,0,-299.99999999999994,519.6152422706632,coarse_grid,float_prefilter
