mode,region,level,step_m,key,x,y,parent,rank_cumulative,in_Csafe,in_Q0,in_Qvis_Q5,squared_slack_lower_m2,boundary_distance_m,D_lower_m,D_upper_m,inner_gap_m,T_s,J_lower_m,J_upper_m,near_possible,near_upper_m,score_elapsed_s,safety_status
M2,Q0,2,10,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.f0b1167e3714bp+9,-0x1.816709df8bd04p+5",993.3834989327382,-48.175311800436276,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.f331167e3714bp+9,-0x1.c6af3d24688ffp+5",333,True,True,True,13454382190943449259250411786735/1237940039285380274899124224,5.44902764166045,113.3796961917008,113.3895070736258,0.009810881924991577,203.91019447166792,154.16173508603438,154.1715459679594,False,0.0,0.041495500001474284,SAFE
M2,Q0,2,10,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.ef8810159b7ccp+9,-0x1.509fd1d71107ap+6",991.0629908570495,-84.15607391396944,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.f331167e3714bp+9,-0x1.c6af3d24688ffp+5",338,True,True,True,13260694087179107222645982787703/1237940039285380274899124224,5.3703721368774495,113.41319928916123,113.42267963091925,0.009480341758020927,203.92592557262452,154.19838440368613,154.20786474544417,False,0.0,0.035223500002757646,SAFE
M2,Q0,2,10,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.ef473ae0db99bp+9,-0x1.e43525091d35cp+6",990.5564843246715,-121.05189909210952,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.f11bbe152965bp+9,-0x1.ad910b66aed5fp+6",340,True,True,True,1282595349269475841778717746187/309485009821345068724781056,2.0742958960023543,113.28559399873599,113.29407038079721,0.008476382061218146,204.58514082079952,154.2026221628959,154.2110985449571,False,0.0,0.032112899993080646,SAFE
M2,Q0,2,10,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.b78617f9b0f06p+8,0x1.bc787c1f30ffap+9",439.5238033349018,888.9412878979922,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.c02f1e624c885p+8,0x1.bef87c1f30ffap+9",347,True,True,True,1284534011195651961584659157715/77371252455336267181195264,8.335849681093691,113.54679522641162,113.55529202300293,0.008496796591316524,203.33283006378127,154.21336123916788,154.2218580357592,False,0.0,0.024881000004825182,SAFE
M2,Q0,2,10,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.f2cf23f733583p+8,0x1.ae747c1604837p+9",498.809142541919,860.9100368043936,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.edcf23f733583p+8,0x1.b2c8ff4a524f7p+9",362,True,True,True,3102075906578525217121879887795/309485009821345068724781056,5.024295696650256,113.55790227860176,113.5676798670138,0.009777588412035243,203.99514086066995,154.35693045073575,154.3667080391478,False,0.0,0.047032700007548556,SAFE
M2,Q0,2,10,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.ee9bbe152965bp+9,-0x1.8aecf1c440762p+6",989.2167383625159,-98.73139101642076,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.f11bbe152965bp+9,-0x1.ad910b66aed5fp+6",364,True,True,True,14486816248892063328839993006607/1237940039285380274899124224,5.868397530482071,113.60320723549832,113.61156583353078,0.00835859803245853,203.82632049390358,154.36847133427904,154.3768299323115,False,0.0,0.03712009999435395,SAFE
M2,Q0,2,10,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.76f43558a1e7bp+8,0x1.cd6b78d010e66p+9",374.9539389987255,922.8396244127769,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.92464229d917ap+8,0x1.c9c27267754e7p+9",369,True,True,True,2406732227523974946535410871895/309485009821345068724781056,3.895874540731029,113.54826576463991,113.55740877844872,0.009143013808809997,204.22082509185378,154.39243078301067,154.4015737968195,False,0.0,0.028278199999476783,SAFE
M2,Q0,2,10,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.eedc9349e948bp+9,-0x1.eeaf3d24688ffp+5",989.7232448948938,-61.835565838280665,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.f331167e3714bp+9,-0x1.c6af3d24688ffp+5",385,True,True,True,329277419230282479012121067165951/19807040628566084398385987584,8.346966581648417,113.83547648762952,113.84470283882212,0.009226351192594962,203.3306066836703,154.50159782436359,154.5108241755562,False,0.0,0.02911419999145437,SAFE
M2,Q0,2,10,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.899d3bc13d7fbp+8,0x1.c7427267754e7p+9",393.61419303656993,910.5191163370881,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.92464229d917ap+8,0x1.c9c27267754e7p+9",387,True,True,True,4958818218084078538446079839779/309485009821345068724781056,8.043753900857837,113.8383209505188,113.84813677088617,0.009815820367364836,203.39124921982844,154.5165707944845,154.52638661485184,False,0.0,0.02200329999323003,SAFE
M2,Q0,2,10,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.a9dd119115586p+8,0x1.be4cff537ecbap+9",425.8635492970574,892.6015419358366,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.c02f1e624c885p+8,0x1.bef87c1f30ffap+9",390,True,True,True,1694641243297317520740632033363/77371252455336267181195264,11.011994366908198,114.0104518816149,114.01922843168748,0.008776550072582268,202.79760112661836,154.56997210693856,154.57874865701115,False,0.0,0.03655409999191761,SAFE
M2,Q0,2,10,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.ca2f1e624c885p+8,0x1.b64f75b69567bp+9",458.18405737274617,876.6207798223035,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.c02f1e624c885p+8,0x1.bef87c1f30ffap+9",392,True,True,True,6685921638015566928269395914371/309485009821345068724781056,10.860666009679221,114.039706773122,114.04937297378392,0.009666200661911262,202.82786679806415,154.60528013273483,154.61494633339674,False,0.0,0.05244240000320133,SAFE
M2,Q0,2,10,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.e5261d8e97c04p+8,0x1.b048ff4a524f7p+9",485.14888850407465,864.570290842238,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.edcf23f733583p+8,0x1.b2c8ff4a524f7p+9",396,True,True,True,1326821671861042790048482501035/77371252455336267181195264,8.611462733318149,113.96702294777604,113.97582035047573,0.008797402699684653,203.27770745333638,154.6225644384433,154.63136184114302,False,0.0,0.033587900004931726,SAFE
M2,Q0,2,10,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.ed72b7ac8dcdcp+9,-0x1.0d6c9f55c5cadp+7",986.8962302868272,-134.71215312995392,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.f11bbe152965bp+9,-0x1.ad910b66aed5fp+6",397,True,True,True,9765448460504855839041391518231/1237940039285380274899124224,3.9520425424997256,113.79121871565123,113.80032349665281,0.009104781001582296,204.20959149150005,154.63313701395123,154.64224179495284,False,0.0,0.02304580000054557,SAFE
M2,Q0,2,10,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.9c464229d917ap+8,0x1.c1196bfed9b68p+9",412.2744470744143,898.1986082613994,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.92464229d917ap+8,0x1.c9c27267754e7p+9",410,True,True,True,1800354799705712814264305388087/77371252455336267181195264,11.703000311531468,114.19682714487209,114.20645553700481,0.009628392132725594,202.6593999376937,154.72870713241082,154.73833552454357,False,0.0,0.026821199993719347,SAFE
M2,Q0,2,10,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.ecc73ae0db99bp+9,-0x1.c1910b66aed5fp+6",985.5564843246715,-112.39164505426514,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.f11bbe152965bp+9,-0x1.ad910b66aed5fp+6",415,True,True,True,79458589343562104633028683890815/4951760157141521099596496896,8.055714431294064,114.09150080269633,114.10131836346783,0.009817560771494982,203.38885711374118,154.76927222544458,154.77908978621605,False,0.0,0.034092599991708994,SAFE
