metric,difference1800_minus2000,ci95_low,ci95_high
top1,-0.001889430014430015,-0.007914206236471863,0.003870738636363633
top3,0.0030460858585858596,-0.0023090277777777775,0.010710898042929287
mrr,-0.0011092582186332165,-0.004921459761303511,0.002627236666689793
brier,-0.002329069415991698,-0.004006887529957585,-0.0006187837541561073
