case,cohort,variant,sources,cleared,seconds,seconds_per_source,fallbacks,optical_seconds,measures,clear_attempts,wall_seconds,passed,error
scene_027,old32,D,13,13,3252.770356,250.2131043076923,0,0.0,108,13,0.7302596999943489,True,
scene_028,old32,A,15,15,3900.048131,260.00320873333334,0,0.0,103,15,0.8084248000086518,True,
scene_028,old32,D,15,15,3709.055462,247.27036413333332,0,0.0,102,15,0.7170100000075763,True,
scene_029,old32,A,14,14,3956.240543,282.5886102142857,0,0.0,107,14,0.8801595999975689,True,
scene_029,old32,D,14,14,3967.611216,283.4008011428571,0,0.0,114,14,0.808952200008207,True,
scene_030,old32,A,14,14,4450.410654,317.8864752857143,0,0.0,94,14,0.7845322000066517,True,
scene_030,old32,D,14,14,3518.074952,251.291068,0,0.0,101,14,1.0152591999940341,True,
scene_031,old32,A,14,14,4485.330654,320.380761,0,0.0,108,14,1.1291610000043875,True,
scene_031,old32,D,14,14,4124.786772,294.6276265714286,0,0.0,112,14,1.0314374000008684,True,
scene_032,new32,A,11,11,3337.722711,303.42933736363636,0,0.0,103,11,0.8782162999996217,True,
scene_032,new32,D,11,11,2993.705607,272.15505518181817,0,0.0,115,11,0.8792069000046467,True,
scene_033,new32,A,10,10,3196.251533,319.6251533,0,0.0,119,10,0.7300997999991523,True,
scene_033,new32,D,10,10,3196.251533,319.6251533,0,0.0,119,10,0.6457251999963773,True,
scene_034,new32,A,11,11,4040.096005,367.281455,0,0.0,115,11,0.8570954000024358,True,
scene_034,new32,D,11,11,3476.905057,316.0822779090909,0,0.0,122,11,0.8040436000010232,True,
scene_035,new32,A,13,13,3719.463549,286.1125806923077,0,0.0,104,13,0.7379176000104053,True,
scene_035,new32,D,13,13,3090.760616,237.75081661538462,0,0.0,114,13,0.5994211999932304,True,
scene_036,new32,A,13,13,4302.061734,330.9278256923077,0,0.0,123,13,0.6522742999950424,True,
scene_036,new32,D,13,13,3464.237343,266.4797956153846,0,0.0,108,13,0.5187886000057915,True,
scene_037,new32,A,12,12,3730.302329,310.8585274166667,0,0.0,113,12,0.6512338000029558,True,
scene_037,new32,D,12,12,3638.623494,303.2186245,0,0.0,116,12,0.6263743000017712,True,
scene_038,new32,A,14,14,4180.067003,298.5762145,0,0.0,100,14,0.7306837000069208,True,
scene_038,new32,D,14,14,3920.675597,280.04825692857145,0,0.0,108,14,0.7149867999978596,True,
scene_039,new32,A,14,14,4268.914934,304.9224952857143,0,0.0,126,14,0.7731988000014098,True,
scene_039,new32,D,14,14,3677.598469,262.6856049285714,0,0.0,117,14,0.687494500001776,True,
scene_040,new32,A,10,10,3731.526011,373.15260109999997,0,0.0,112,10,0.39939840001170523,True,
scene_040,new32,D,10,10,2925.078174,292.5078174,0,0.0,121,10,0.39445760000671726,True,
scene_041,new32,A,13,13,4050.933678,311.6102829230769,0,0.0,106,13,0.6880793999880552,True,
scene_041,new32,D,13,13,3494.184611,268.78343161538464,0,0.0,111,13,0.5606692000001203,True,
scene_042,new32,A,12,12,3543.663131,295.30526091666667,0,0.0,112,12,0.5978420000028564,True,
scene_042,new32,D,12,12,3558.83031,296.5691925,0,0.0,116,12,0.6021053000004031,True,
scene_043,new32,A,16,16,4143.335452,258.95846575,0,0.0,99,16,0.8596273000002839,True,
scene_043,new32,D,16,16,3915.709364,244.73183525,0,0.0,126,16,0.7213107999996282,True,
scene_044,new32,A,13,13,4371.069763,336.2361356153846,0,0.0,115,13,0.619958499999484,True,
scene_044,new32,D,13,13,3767.613192,289.81639938461535,0,0.0,121,13,0.6772034000023268,True,
scene_045,new32,A,10,10,3688.389181,368.8389181,0,0.0,117,10,0.5293219000013778,True,
scene_045,new32,D,10,10,3459.884967,345.9884967,0,0.0,118,10,0.4631857000058517,True,
scene_046,new32,A,14,14,3961.417243,282.9583745,1,111.07125700000006,112,16,0.6031955999933416,True,
scene_046,new32,D,14,14,3499.369835,249.95498821428572,0,0.0,113,14,0.5764876000030199,True,
scene_047,new32,A,10,10,3615.413495,361.54134949999997,0,0.0,112,10,0.4619051999907242,True,
scene_047,new32,D,10,10,3387.80881,338.780881,0,0.0,119,10,0.4549159000016516,True,
scene_048,new32,A,14,14,3822.391445,273.0279603571429,0,0.0,93,14,0.6164316999929724,True,
scene_048,new32,D,14,14,3445.374905,246.0982075,0,0.0,117,14,0.6177700999978697,True,
scene_049,new32,A,11,11,4110.723382,373.70212563636363,0,0.0,115,11,0.5351895999920089,True,
scene_049,new32,D,11,11,3765.172547,342.2884133636364,0,0.0,120,11,0.49211570000625215,True,
scene_050,new32,A,11,11,11109.611138,1009.9646489090909,1,7312.968683,112,363,0.6888285000022734,True,
scene_050,new32,D,11,11,3421.654395,311.0594904545455,0,0.0,126,11,0.7161124999984168,True,
scene_051,new32,A,13,13,4001.086697,307.77589976923076,0,0.0,99,13,0.6609968999982812,True,
scene_051,new32,D,13,13,3849.907803,296.14675407692306,0,0.0,113,13,0.682520200003637,True,
scene_052,new32,A,14,14,3932.159822,280.8685587142857,0,0.0,92,14,0.6587778999964939,True,
scene_052,new32,D,14,14,3498.272583,249.87661307142858,0,0.0,101,14,0.6481599999970058,True,
scene_053,new32,A,11,11,3756.666493,341.51513572727276,0,0.0,110,11,0.6177778999990551,True,
scene_053,new32,D,11,11,3225.544826,293.2313478181818,0,0.0,128,11,0.7265465999953449,True,
scene_054,new32,A,12,12,3890.090421,324.17420175,0,0.0,108,12,0.5222703000035835,True,
scene_054,new32,D,12,12,3478.788369,289.89903075,0,0.0,106,12,0.4394801999878837,True,
scene_055,new32,A,10,10,3465.922641,346.5922641,0,0.0,104,10,0.5480688999959966,True,
scene_055,new32,D,10,10,3030.9707,303.09707,0,0.0,119,10,0.5411822000023676,True,
scene_056,new32,A,13,13,3666.848814,282.06529338461536,0,0.0,104,13,0.639951100005419,True,
scene_056,new32,D,13,13,3435.549709,264.2730545384615,0,0.0,123,13,0.684238900008495,True,
scene_057,new32,A,15,15,4105.405352,273.6936901333333,0,0.0,109,15,0.7331086000049254,True,
scene_057,new32,D,15,15,4093.359459,272.8906306,0,0.0,124,15,0.7478392999910284,True,
scene_058,new32,A,16,16,4636.395164,289.77469775,0,0.0,111,16,0.8348781999957282,True,
scene_058,new32,D,16,16,3856.346265,241.0216415625,0,0.0,126,16,0.7178840999986278,True,
scene_059,new32,A,10,10,3828.505525,382.8505525,0,0.0,112,10,0.6434357999969507,True,
scene_059,new32,D,10,10,2964.286615,296.4286615,0,0.0,120,10,0.5555671999900369,True,
scene_060,new32,A,12,12,4474.765429,372.89711908333334,0,0.0,104,12,0.7026634000067133,True,
scene_060,new32,D,12,12,3648.221357,304.0184464166667,0,0.0,125,12,0.7215026000048965,True,
scene_061,new32,A,15,15,4623.91249,308.26083266666666,0,0.0,94,15,0.8946355000080075,True,
scene_061,new32,D,15,15,4075.314572,271.68763813333334,0,0.0,113,15,0.7372773999959463,True,
scene_062,new32,A,10,10,3366.494284,336.6494284,0,0.0,121,10,0.5165979000012157,True,
scene_062,new32,D,10,10,3305.205436,330.5205436,0,0.0,121,10,0.48537819999910425,True,
scene_063,new32,A,14,14,4367.712883,311.97949164285717,1,1157.8199990000003,99,93,0.5901768999901833,True,
scene_063,new32,D,14,14,3562.007998,254.42914271428572,0,0.0,115,14,0.7915474000037648,True,
