id,delta_s_per_source,total,runtime,discovery__travel_s,discovery__measure_s,discovery__switch_s,discovery__clear_s,discovery__total_s,active_localization__travel_s,active_localization__measure_s,active_localization__switch_s,active_localization__clear_s,active_localization__total_s,diagnostic__travel_s,diagnostic__measure_s,diagnostic__switch_s,diagnostic__clear_s,diagnostic__total_s,optical_fallback__travel_s,optical_fallback__measure_s,optical_fallback__switch_s,optical_fallback__clear_s,optical_fallback__total_s,certified_clear__travel_s,certified_clear__measure_s,certified_clear__switch_s,certified_clear__clear_s,certified_clear__total_s,all__travel_s,all__measure_s,all__switch_s,all__clear_s,last_source_first_seen_s,post_last_seen_discovery_s,post_all_cleared_discovery_s,discovery_nodes,detect_count,clear_attempts,fallback_count,diagnostic_count,distance
13,100.49835890909088,1105.4819479999996,2.367157299988321,1105.0256779999995,110.0,22.0,0.0,1237.025677999999,348.2341860000006,25.0,2.0,0.0,375.2341860000006,40.23621400000002,5.0,0.0,0.0,45.23621400000002,0.0,0.0,0.0,0.0,0.0,-552.0141300000004,0.0,0.0,0.0,-552.0141300000004,941.4819479999996,140.0,24.0,0.0,806.47003,501.19947099999945,-31.793314000000464,0,28,0,0,1,4707.409735357825
66,94.49422169999998,944.9422169999998,2.2995967000024393,-106.08417599999939,250.0,50.0,0.0,193.9158240000006,363.8535349999995,0.0,1.0,0.0,364.8535349999995,418.5479999999998,15.0,1.0,0.0,434.5479999999998,0.0,0.0,0.0,0.0,0.0,-48.375142000000324,0.0,0.0,0.0,-48.375142000000324,627.9422169999998,265.0,52.0,0.0,1067.0306229999997,-309.50779800000055,-188.52565500000037,0,53,0,0,3,3139.7110994903414
103,84.04524943749999,1344.7239909999998,2.753546899999492,328.0519670000017,175.0,34.0,0.0,537.0519670000022,384.81302200000073,35.0,4.0,0.0,423.81302200000073,480.56492600000024,10.0,1.0,0.0,491.56492600000024,6.821210263296962e-13,0.0,0.0,0.0,6.821210263296962e-13,-107.7059240000035,0.0,0.0,0.0,-107.7059240000035,1085.7239909999998,220.0,39.0,0.0,453.00694100000055,0.0,0.0,-1,44,0,0,2,5428.619954797552
28,81.13295293333334,1216.994294,1.965082299997448,1101.0637559999986,265.0,53.0,0.0,1419.0637559999986,-838.2264359999997,-20.0,-5.0,0.0,-863.2264359999997,559.5351360000004,10.0,3.0,0.0,572.5351360000004,0.0,0.0,0.0,0.0,0.0,88.62183800000071,0.0,0.0,0.0,88.62183800000071,910.9942939999992,255.0,51.0,0.0,752.1507899999997,677.2148299999999,631.4816990000008,0,51,0,0,2,4554.971463281174
30,77.06116900000006,924.7340280000008,2.3986319999967236,611.9601519999997,40.0,9.0,0.0,660.9601519999997,-158.96255099999962,-5.0,0.0,0.0,-163.96255099999962,456.12042399999973,15.0,1.0,0.0,472.12042399999973,132.5346580000005,0.0,0.0,23.0,155.5346580000005,-194.91865499999903,0.0,0.0,-5.0,-199.91865499999903,846.7340280000008,50.0,10.0,18.0,-200.49609300000066,464.471050000001,360.6217740000002,0,10,6,1,3,4233.670126879464
