id,arm,N,total,runtime,discovery__travel_s,discovery__measure_s,discovery__switch_s,discovery__clear_s,discovery__total_s,active_localization__travel_s,active_localization__measure_s,active_localization__switch_s,active_localization__clear_s,active_localization__total_s,diagnostic__travel_s,diagnostic__measure_s,diagnostic__switch_s,diagnostic__clear_s,diagnostic__total_s,optical_fallback__travel_s,optical_fallback__measure_s,optical_fallback__switch_s,optical_fallback__clear_s,optical_fallback__total_s,certified_clear__travel_s,certified_clear__measure_s,certified_clear__switch_s,certified_clear__clear_s,certified_clear__total_s,all__travel_s,all__measure_s,all__switch_s,all__clear_s,last_source_first_seen_s,post_last_seen_discovery_s,post_all_cleared_discovery_s,discovery_nodes,detect_count,clear_attempts,fallback_count,diagnostic_count,distance
11,B0,13,6745.284545,2.7335213999904227,3002.5658730000005,1395.0,261.0,0.0,4658.5658730000005,1369.6767540000003,75.0,10.0,0.0,1454.6767540000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,567.0419179999996,0.0,0.0,65.0,632.0419179999996,4939.284545,1470.0,271.0,65.0,5856.471611,695.7883060000004,327.8061630000002,25,294,13,0,0,24696.42273874951
12,B0,15,7752.589641,2.907752699989942,3165.9531149999993,1295.0,241.0,0.0,4701.953114999999,845.347996999999,50.0,8.0,0.0,903.347996999999,866.2535579999999,35.0,3.0,0.0,904.2535579999999,0.0,0.0,0.0,0.0,0.0,1168.0349710000014,0.0,0.0,75.0,1243.0349710000014,6045.589640999999,1380.0,252.0,75.0,5274.906186,1955.2243529999996,414.58699199999955,25,276,15,0,7,30227.948202066997
13,B0,11,7660.562693,3.4578879000036977,3785.3160850000004,1705.0,322.0,0.0,5812.316085,1447.591996,90.0,9.0,0.0,1546.591996,40.23621400000002,5.0,0.0,0.0,45.23621400000002,0.0,0.0,0.0,0.0,0.0,201.41839799999934,0.0,0.0,55.0,256.41839799999934,5474.562693,1800.0,331.0,55.0,4697.455715,2578.773948,792.155659,25,360,11,0,1,27372.813477754204
14,B0,16,4409.925706,3.540641699990374,1067.2953320000001,865.0,167.0,0.0,2099.295332,918.4073890000009,80.0,10.0,0.0,1008.4073890000009,445.53332999999975,20.0,3.0,0.0,468.53332999999975,0.0,0.0,0.0,0.0,0.0,753.689654999999,0.0,0.0,80.0,833.689654999999,3184.925706,965.0,180.0,80.0,3962.460136,0.0,0.0,12,193,16,0,4,15924.628538689327
15,B0,10,7671.988483,2.9416533000039635,3957.1614439999994,1865.0,354.0,0.0,6176.161443999999,813.0026749999998,45.0,8.0,0.0,866.0026749999998,382.9857430000002,10.0,1.0,0.0,393.9857430000002,0.0,0.0,0.0,0.0,0.0,185.83862100000078,0.0,0.0,50.0,235.83862100000078,5338.988483,1920.0,363.0,50.0,1558.72196,5165.078264999999,0.0,25,384,10,0,2,26694.942415348014
16,B0,12,8281.856724,2.9408483000006527,3464.070316,1580.0,297.0,0.0,5341.070316,1221.925118,55.0,8.0,0.0,1284.925118,369.00512800000024,20.0,1.0,0.0,390.00512800000024,0.0,0.0,0.0,0.0,0.0,1205.8561619999991,0.0,0.0,60.0,1265.8561619999991,6260.856724,1655.0,306.0,60.0,7331.162984,262.6831890000003,0.0,25,331,12,0,4,31304.28364368225
17,B0,10,7234.764148,2.508277500004624,3471.653113000001,1745.0,329.0,0.0,5545.653113000001,1035.796735,40.0,6.0,0.0,1081.796735,143.22461900000008,10.0,1.0,0.0,154.22461900000008,0.0,0.0,0.0,0.0,0.0,403.089680999999,0.0,0.0,50.0,453.089680999999,5053.764148,1795.0,336.0,50.0,4163.315216,2226.332983000001,788.9037740000003,25,359,10,0,2,25268.820744079658
18,B0,10,8157.61044,3.001441500004148,3830.689577,1625.0,304.0,0.0,5759.689577,1276.1973589999998,85.0,7.0,0.0,1368.1973589999998,673.2677059999995,25.0,1.0,0.0,699.2677059999995,0.0,0.0,0.0,0.0,0.0,280.455798000001,0.0,0.0,50.0,330.455798000001,6060.61044,1735.0,312.0,50.0,5517.108758,1839.4151839999995,0.0,25,347,10,0,5,30303.052217137963
19,B0,14,7819.001839,3.197335100005148,4008.214757999999,1535.0,291.0,0.0,5834.214757999999,1038.822083,50.0,6.0,0.0,1094.822083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,819.9649980000005,0.0,0.0,70.0,889.9649980000005,5867.001839,1585.0,297.0,70.0,6544.975635,900.7877329999992,653.7877329999992,25,317,14,0,0,29335.00921483597
20,B0,15,6558.018346,3.3604389000101946,3344.5791639999998,1220.0,224.0,0.0,4788.579164,729.312085999999,60.0,9.0,0.0,798.312085999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896.1270960000011,0.0,0.0,75.0,971.1270960000011,4970.018346,1280.0,233.0,75.0,5463.011889,812.6280299999999,252.02940099999978,25,256,15,0,0,24850.091730731747
