seed,baseline,delta_diameter_m,delta_time_s
0,random_safe,-13.434577211306966,18.11657739416995
1,random_safe,59.3788763769185,68.35798339871496
2,random_safe,-49.43885595439676,34.733891642392564
3,random_safe,46.94359348716314,64.86504755615587
4,random_safe,-93.39860728542266,13.258648158052438
5,random_safe,-4.35843733511301,68.12128805912423
6,random_safe,-6.122367781305101,-6.142719429173411
7,random_safe,25.940696500744565,27.95384637272224
8,random_safe,18.799368545244207,28.87993373573852
9,random_safe,18.58094570338532,65.10929864474926
10,random_safe,60.2396003449931,65.1092986447492
11,random_safe,0.0,0.0
12,random_safe,-79.95729844221636,49.38246335831465
13,random_safe,-959.8368784450928,-35.297719307077614
14,random_safe,-13.796197702226277,31.76096368811838
15,random_safe,-40.51498069803203,-8.265156033472891
16,random_safe,37.98644512057663,57.8855915963768
17,random_safe,2.0293324105861643,16.76225302423569
18,random_safe,-2.088903658406963,26.859817459494565
19,random_safe,-28.148176710507027,45.572326746510356
20,random_safe,33.58339510805512,34.66498556568311
21,random_safe,26.41449135788474,34.49134876279604
22,random_safe,0.0,0.0
23,random_safe,-37.380393921849006,34.23964435656623
24,random_safe,-521.3415176849417,-35.882813418479714
25,random_safe,-175.73786776791806,-31.539794121940986
26,random_safe,76.51259372065489,67.46073051605114
27,random_safe,0.439381981195865,9.683164013900125
28,random_safe,14.974621483593285,57.10608143381012
29,random_safe,-120.06370382858589,49.38246335831448
30,random_safe,95.37793079915625,70.68821405148427
31,random_safe,0.0,0.0
32,random_safe,-314.61801349345507,33.340557794515775
33,random_safe,-174.58956628528063,-16.226181872362133
34,random_safe,-10.522498775172487,38.20278996305575
35,random_safe,-140.00261728159924,40.4357848200861
36,random_safe,13.609362364900434,25.427872786650937
37,random_safe,8.723781338517448,-25.35023402358121
38,random_safe,-138.1234423679804,-29.632778367744862
39,random_safe,-749.1420402922843,86.13686992515453
40,random_safe,-2.6764634745128575,0.027592026420023785
41,random_safe,-28.225523230080256,-15.475172873295179
42,random_safe,0.0,0.0
