certified_clears,clear_attempts,clear_rate,cleared,distance_m,error,evidence,localization_observations,mean_time_per_source_s,measure_count,mixed,optical_fallbacks,policy,runtime_s,seed,stress,switch_count,total,use_negative,virtual_time_s
8,40,1.0,13,42283.88865212243,,synthetic_local,42,910.7521331095763,549,True,5,P4,2.5218584000000135,92,random,492,13,False,11839.777730424492
16,16,1.0,16,30153.23115224869,,synthetic_local,46,424.79038940310846,120,False,0,P1,0.08076299999999037,93,edge,86,16,True,6796.646230449735
16,16,1.0,16,31020.283629922153,,synthetic_local,42,434.37854537402706,116,False,0,P2,1.316769800000003,93,edge,86,16,True,6950.056725984433
16,16,1.0,16,18591.44421775191,,synthetic_local,42,280.14305272189887,116,False,0,P3,1.312939,93,edge,104,16,True,4482.288843550382
5,1718,1.0,16,524782.4217272849,,synthetic_local,26,7092.530271591076,571,True,11,P1,0.1518130000000042,93,edge,483,16,True,113480.48434545721
12,554,1.0,16,247936.94830489802,,synthetic_local,39,3426.274353811227,598,True,4,P4,4.097321899999997,93,edge,549,16,True,54820.38966097963
7,785,1.0,16,251031.27361150418,,synthetic_local,31,3507.0159201438055,594,True,9,P4,1.9136447000000203,93,edge,549,16,False,56112.25472230089
10,10,1.0,10,24760.93717638915,,synthetic_local,28,566.9187435277832,115,False,0,P1,0.057989800000001424,94,bias,92,10,True,5669.187435277832
10,10,1.0,10,25971.909021949952,,synthetic_local,28,591.1381804389991,115,False,0,P2,0.8542922999999973,94,bias,92,10,True,5911.381804389992
10,10,1.0,10,11646.57684945055,,synthetic_local,30,309.331536989011,120,False,0,P3,0.7737644999999986,94,bias,114,10,True,3093.31536989011
9,11,1.0,10,50402.53307736414,,synthetic_local,26,1328.6506615472829,536,True,1,P1,0.10074859999997443,94,bias,473,10,True,13286.506615472828
10,10,1.0,10,38501.83562172828,,synthetic_local,32,1096.9367124345656,544,True,0,P4,1.4427445999999975,94,bias,499,10,True,10969.367124345656
8,17,1.0,10,38429.37122420349,,synthetic_local,31,1100.08742448407,549,True,2,P4,1.643022099999996,94,bias,499,10,False,11000.8742448407
13,13,1.0,13,26390.358470692885,,synthetic_local,39,449.1593610875828,88,False,0,P1,0.06748329999999214,95,cluster,56,13,True,5839.071694138576
13,13,1.0,13,29119.83776396614,,synthetic_local,39,491.1513502148638,88,False,0,P2,1.2276785999999902,95,cluster,56,13,True,6384.9675527932295
13,13,1.0,13,12412.906164146441,,synthetic_local,39,235.73701790994528,88,False,0,P3,0.9464210999999807,95,cluster,77,13,True,3064.5812328292886
8,646,1.0,13,225369.57373697916,,synthetic_local,27,3807.993442107375,423,True,5,P1,0.108436399999988,95,cluster,351,13,True,49503.91474739587
10,19,1.0,13,34996.100934708855,,synthetic_local,38,826.8630913032133,619,True,3,P4,1.9488646000000074,95,cluster,572,13,True,10749.220186941773
9,16,1.0,13,34888.155084810336,,synthetic_local,37,825.2793089970821,621,True,4,P4,1.5067188999999814,95,cluster,572,13,False,10728.631016962068
15,15,1.0,15,32913.3956422158,,synthetic_local,42,478.51194189621066,92,False,0,P1,0.0453431999999907,96,random,60,15,True,7177.67912844316
15,15,1.0,15,34905.19149236138,,synthetic_local,41,504.73588656481826,91,False,0,P2,1.1760382999999877,96,random,60,15,True,7571.038298472274
14,99,1.0,15,20700.356466465117,,synthetic_local,40,338.2714195528669,103,False,1,P3,0.9121135000000038,96,random,92,15,True,5074.071293293004
10,261,1.0,15,95132.3318097094,,synthetic_local,34,1472.2977574627923,387,True,5,P1,0.10737749999998414,96,random,310,15,True,22084.466361941886
14,19,1.0,15,45219.9545249343,,synthetic_local,47,779.3993936657909,434,True,1,P4,1.6060324000000037,96,random,390,15,True,11690.990904986862
12,22,1.0,15,45390.78018178485,,synthetic_local,46,783.9437357571313,439,True,3,P4,1.636603100000002,96,random,390,15,False,11759.15603635697
10,10,1.0,10,22444.56259051757,,synthetic_local,29,526.3912518103513,125,False,0,P1,0.04403419999999869,97,edge,100,10,True,5263.912518103512
10,10,1.0,10,22945.39324479687,,synthetic_local,25,534.4078648959375,121,False,0,P2,0.7534744999999816,97,edge,100,10,True,5344.078648959375
10,10,1.0,10,14591.425286106587,,synthetic_local,26,369.1285057221318,122,False,0,P3,0.81170130000001,97,edge,113,10,True,3691.2850572213183
2,685,1.0,10,194631.9097840051,,synthetic_local,14,4505.738195680103,688,True,8,P1,0.1021686999999929,97,edge,616,10,True,45057.38195680103
9,12,1.0,10,38926.67038637738,,synthetic_local,27,1202.133407727548,704,True,1,P4,2.404033699999985,97,edge,660,10,True,12021.33407727548
5,149,1.0,10,55475.801397050316,,synthetic_local,22,1575.216027941006,706,True,5,P4,1.5177493999999854,97,edge,660,10,False,15752.16027941006
12,12,1.0,12,27436.122244469316,,synthetic_local,36,512.2687040744886,105,False,0,P1,0.047758600000008755,98,bias,75,12,True,6147.224448893863
12,12,1.0,12,29038.906108893785,,synthetic_local,33,537.731768481563,102,False,0,P2,1.0413959999999918,98,bias,75,12,True,6452.781221778756
12,12,1.0,12,15443.043874685294,,synthetic_local,34,317.800731244755,112,False,0,P3,0.888075299999997,98,bias,105,12,True,3813.6087749370604
4,745,1.0,12,265334.2964803345,,synthetic_local,22,4902.488274672262,597,True,8,P1,0.11021030000000565,98,bias,519,12,True,58829.859296067145
12,12,1.0,12,42085.242143751755,,synthetic_local,39,1021.9207023958626,638,True,0,P4,2.36085300000002,98,bias,596,12,True,12263.048428750351
8,161,1.0,12,62169.152765392864,,synthetic_local,34,1395.9858794232143,643,True,4,P4,1.5282300000000077,98,bias,596,12,False,16751.830553078573
16,16,1.0,16,31162.59088944057,,synthetic_local,48,420.65738611800714,76,False,0,P1,0.06428749999997763,99,cluster,38,16,True,6730.518177888114
16,16,1.0,16,34297.54675990818,,synthetic_local,48,459.8443344988524,76,False,0,P2,1.5459133999999892,99,cluster,38,16,True,7357.509351981638
16,16,1.0,16,12733.557760097488,,synthetic_local,48,191.98197200121862,76,False,0,P3,1.1318080000000066,99,cluster,65,16,True,3071.711552019498
7,845,1.0,16,265851.6082939555,,synthetic_local,30,3609.8951036744465,351,True,9,P1,0.10310519999998746,99,cluster,266,16,True,57758.321658791145
13,16,1.0,16,35362.04641707015,,synthetic_local,55,654.963080213377,562,True,3,P4,1.6291177999999888,99,cluster,517,16,True,10479.409283414032
12,16,1.0,16,35381.74206532485,,synthetic_local,54,655.8342758165608,564,True,4,P4,1.3996687000000065,99,cluster,517,16,False,10493.348413064972
