case_id,family,total_sources,stage,travel_m,travel_s,switch_s,measure_s,clear_s,total_s,actions
11,mixed,11,diagnostic,1115.5058438090741,223.10116900000048,1.0,5.0,0.0,229.10116900000048,1
11,mixed,11,optical_fallback,0.0,0.0,0.0,0.0,0.0,0.0,0
11,mixed,11,certified_clear,3239.615417608997,647.9230850000001,0.0,0.0,55.0,702.9230850000001,11
12,mixed,14,discovery,15696.674680604323,3139.33494,247.0,1295.0,0.0,4681.334940000001,259
12,mixed,14,active_localization,5960.548494953586,1192.1096979999988,11.0,70.0,0.0,1273.1096979999988,14
12,mixed,14,diagnostic,0.0,0.0,0.0,0.0,0.0,0.0,0
12,mixed,14,optical_fallback,0.0,0.0,0.0,0.0,0.0,0.0,0
12,mixed,14,certified_clear,3930.1123392084187,786.0224670000006,0.0,0.0,70.0,856.0224670000006,14
13,mixed,16,discovery,5001.128917637241,1000.2257849999996,168.0,875.0,0.0,2043.2257849999996,175
13,mixed,16,active_localization,10778.601601224833,2155.720321999999,12.0,95.0,0.0,2262.720321999999,19
13,mixed,16,diagnostic,0.0,0.0,0.0,0.0,0.0,0.0,0
13,mixed,16,optical_fallback,0.0,0.0,0.0,0.0,0.0,0.0,0
13,mixed,16,certified_clear,3412.622259025206,682.5244520000014,0.0,0.0,80.0,762.5244520000014,16
14,mixed,11,discovery,16439.283945572144,3287.8567940000007,251.0,1330.0,0.0,4868.856794000001,266
14,mixed,11,active_localization,5981.174398176796,1196.2348800000004,9.0,80.0,0.0,1285.2348800000004,16
14,mixed,11,diagnostic,0.0,0.0,0.0,0.0,0.0,0.0,0
14,mixed,11,optical_fallback,0.0,0.0,0.0,0.0,0.0,0.0,0
14,mixed,11,certified_clear,1735.6102374759794,347.12204799999915,0.0,0.0,55.0,402.12204799999915,11
15,mixed,15,discovery,17332.757357029608,3466.5514749999993,201.0,1085.0,0.0,4752.551474999999,217
15,mixed,15,active_localization,4208.20521459448,841.6410420000002,10.0,85.0,0.0,936.6410420000002,17
15,mixed,15,diagnostic,0.0,0.0,0.0,0.0,0.0,0.0,0
15,mixed,15,optical_fallback,0.0,0.0,0.0,0.0,0.0,0.0,0
15,mixed,15,certified_clear,2819.3448067079003,563.8689620000002,0.0,0.0,75.0,638.8689620000002,15
16,all_directional,13,discovery,16854.903099063453,3370.9806219999996,256.0,1345.0,0.0,4971.980621999999,269
16,all_directional,13,active_localization,5102.872141077759,1020.5744280000004,9.0,55.0,0.0,1084.5744280000004,11
16,all_directional,13,diagnostic,0.0,0.0,0.0,0.0,0.0,0.0,0
16,all_directional,13,optical_fallback,0.0,0.0,0.0,0.0,0.0,0.0,0
16,all_directional,13,certified_clear,3282.140969971134,656.4281940000002,0.0,0.0,65.0,721.4281940000002,13
17,mixed,12,discovery,17804.84861696406,3560.9697270000006,287.0,1510.0,0.0,5357.969727000001,302
17,mixed,12,active_localization,6524.784376207065,1304.956877,9.0,75.0,0.0,1388.956877,15
17,mixed,12,diagnostic,776.2689286273896,155.25378499999988,0.0,10.0,0.0,165.25378499999988,2
17,mixed,12,optical_fallback,0.0,0.0,0.0,0.0,0.0,0.0,0
17,mixed,12,certified_clear,5193.52886421752,1038.7057719999996,0.0,0.0,60.0,1098.7057719999996,12
18,mixed,14,discovery,17412.268127041418,3482.4536289999996,206.0,1095.0,0.0,4783.453629,219
18,mixed,14,active_localization,6061.672715850765,1212.3345410000009,10.0,75.0,0.0,1297.3345410000009,15
18,mixed,14,diagnostic,0.0,0.0,0.0,0.0,0.0,0.0,0
18,mixed,14,optical_fallback,0.0,0.0,0.0,0.0,0.0,0.0,0
18,mixed,14,certified_clear,2929.235374479279,585.8470749999997,0.0,0.0,70.0,655.8470749999997,14
19,mixed,15,discovery,14120.960297106827,2824.192060000001,218.0,1155.0,0.0,4197.192060000001,231
19,mixed,15,active_localization,4805.848833595667,961.1697679999993,9.0,65.0,0.0,1035.1697679999993,13
19,mixed,15,diagnostic,0.0,0.0,0.0,0.0,0.0,0.0,0
19,mixed,15,optical_fallback,0.0,0.0,0.0,0.0,0.0,0.0,0
19,mixed,15,certified_clear,5283.410163298306,1056.6820340000004,0.0,0.0,75.0,1131.6820340000004,15
20,mixed,16,discovery,4146.355906667537,829.2711820000002,122.0,640.0,0.0,1591.2711820000002,128
20,mixed,16,active_localization,7465.072961201284,1493.0145910000006,10.0,105.0,0.0,1608.0145910000006,21
20,mixed,16,diagnostic,0.0,0.0,0.0,0.0,0.0,0.0,0
20,mixed,16,optical_fallback,0.0,0.0,0.0,0.0,0.0,0.0,0
20,mixed,16,certified_clear,4080.614411380917,816.1228839999992,0.0,0.0,80.0,896.1228839999992,16
21,mixed,13,discovery,16225.484470550033,3245.096898,254.0,1340.0,0.0,4839.096898,268
21,mixed,13,active_localization,7674.254741190065,1534.8509489999997,11.0,75.0,0.0,1620.8509489999997,15
21,mixed,13,diagnostic,0.0,0.0,0.0,0.0,0.0,0.0,0
21,mixed,13,optical_fallback,0.0,0.0,0.0,0.0,0.0,0.0,0
21,mixed,13,certified_clear,1771.4376833284412,354.2875360000008,0.0,0.0,65.0,419.2875360000008,13
22,mixed,12,discovery,18947.018267887077,3789.4036569999994,280.0,1470.0,0.0,5539.403657,294
22,mixed,12,active_localization,8337.488493603802,1667.4976960000001,10.0,85.0,0.0,1762.4976960000001,17
22,mixed,12,diagnostic,897.2286556848535,179.4457319999999,0.0,10.0,0.0,189.4457319999999,2
22,mixed,12,optical_fallback,0.0,0.0,0.0,0.0,0.0,0.0,0
22,mixed,12,certified_clear,2898.296676972562,579.6593340000007,0.0,0.0,60.0,639.6593340000007,12
23,mixed,16,discovery,13850.2890071223,2770.057803999999,257.0,1335.0,0.0,4362.057803999999,267
23,mixed,16,active_localization,12330.390252219102,2466.0780490000006,14.0,130.0,0.0,2610.0780490000006,26
23,mixed,16,diagnostic,1346.3175809830636,269.263516,0.0,15.0,0.0,284.263516,3
23,mixed,16,optical_fallback,0.0,0.0,0.0,0.0,0.0,0.0,0
23,mixed,16,certified_clear,2065.2495478878263,413.0499090000003,0.0,0.0,80.0,493.0499090000003,16
24,mixed,13,discovery,15920.013905251724,3184.0027850000015,244.0,1285.0,0.0,4713.0027850000015,257
24,mixed,13,active_localization,4829.604067517727,965.920812999999,8.0,55.0,0.0,1028.920812999999,11
24,mixed,13,diagnostic,0.0,0.0,0.0,0.0,0.0,0.0,0
24,mixed,13,optical_fallback,0.0,0.0,0.0,0.0,0.0,0.0,0
24,mixed,13,certified_clear,3309.681287640961,661.9362559999998,0.0,0.0,65.0,726.9362559999998,13
25,all_directional,14,discovery,16287.965668369337,3257.5931340000006,234.0,1230.0,0.0,4721.593134000001,246
25,all_directional,14,active_localization,7337.60635124708,1467.521270999998,11.0,95.0,0.0,1573.521270999998,19
25,all_directional,14,diagnostic,0.0,0.0,0.0,0.0,0.0,0.0,0
25,all_directional,14,optical_fallback,0.0,0.0,0.0,0.0,0.0,0.0,0
25,all_directional,14,certified_clear,3894.4149752276494,778.8829950000013,0.0,0.0,70.0,848.8829950000013,14
26,mixed,12,discovery,19810.24677152214,3962.049356,246.0,1305.0,0.0,5513.049356,261
26,mixed,12,active_localization,3085.678236307737,617.1356470000004,7.0,60.0,0.0,684.1356470000004,12
26,mixed,12,diagnostic,498.8486197324013,99.769724,0.0,15.0,0.0,114.769724,3
26,mixed,12,optical_fallback,0.0,0.0,0.0,0.0,0.0,0.0,0
26,mixed,12,certified_clear,3429.6200567093347,685.9240109999998,0.0,0.0,60.0,745.9240109999998,12
27,mixed,14,discovery,14593.366430237755,2918.6732889999994,228.0,1210.0,0.0,4356.673288999999,242
27,mixed,14,active_localization,4515.185117103525,903.0370230000001,8.0,40.0,0.0,951.0370230000001,8
27,mixed,14,diagnostic,0.0,0.0,0.0,0.0,0.0,0.0,0
27,mixed,14,optical_fallback,0.0,0.0,0.0,0.0,0.0,0.0,0
27,mixed,14,certified_clear,6023.760120661213,1204.7520240000001,0.0,0.0,70.0,1274.7520240000001,14
28,mixed,14,discovery,16469.923663082187,3293.984735000001,242.0,1285.0,0.0,4820.984735000001,257
28,mixed,14,active_localization,8413.61395075411,1682.7227899999998,10.0,90.0,0.0,1782.7227899999998,18
28,mixed,14,diagnostic,0.0,0.0,0.0,0.0,0.0,0.0,0
28,mixed,14,optical_fallback,0.0,0.0,0.0,0.0,0.0,0.0,0
28,mixed,14,certified_clear,2895.931419147036,579.1862839999994,0.0,0.0,70.0,649.1862839999994,14
29,mixed,16,discovery,12542.626520064985,2508.525307000001,185.0,970.0,0.0,3663.5253070000003,194
29,mixed,16,active_localization,6834.763841217759,1366.9527689999995,9.0,80.0,0.0,1455.9527689999995,16
29,mixed,16,diagnostic,0.0,0.0,0.0,0.0,0.0,0.0,0
29,mixed,16,optical_fallback,0.0,0.0,0.0,0.0,0.0,0.0,0
29,mixed,16,certified_clear,3852.727391084379,770.5454769999999,0.0,0.0,80.0,850.5454769999999,16
30,all_directional,13,discovery,15795.852539836524,3159.1705120000015,253.0,1330.0,0.0,4742.1705120000015,266
30,all_directional,13,active_localization,7369.586692201845,1473.917337,11.0,100.0,0.0,1584.917337,20
30,all_directional,13,diagnostic,684.3146886009172,136.86293799999999,0.0,10.0,0.0,146.86293799999999,2
