case_id,event_index,vertex_index,x_m,y_m
0,0,0,846.7710024923838,576.3672828150316
0,0,1,846.9763815713266,575.5896794436936
0,0,2,869.6168418403208,570.1729889700739
0,0,3,869.2436404945223,571.8176336815516
0,1,0,634.8122156798862,1281.170540208366
0,1,1,635.0571202214946,1282.03861623568
0,1,2,634.9928313645021,1282.5573412803333
0,1,3,619.9150304363196,1281.1758665935179
0,1,4,619.7055170559087,1280.3193323284809
0,2,0,203.8801909482612,1404.0579999433749
0,2,1,204.5600556963776,1403.1141294719584
0,2,2,225.56835927790976,1398.6927294215905
0,3,0,592.3857950503254,-1054.0907080107534
0,3,1,594.2854796094039,-1053.9313539875052
0,3,2,609.6646497096243,-1033.8344142430021
0,3,3,608.9892537960914,-1033.9024825728256
0,4,0,-166.11809121899773,-721.690940344809
0,4,1,-164.02228729840053,-722.8519462647979
0,4,2,-160.9168444022963,-722.8560112818229
0,4,3,-162.645803659733,-721.8173530938964
0,5,0,-229.63256591457545,-931.8988110027989
0,5,1,-224.1704517366602,-930.5829353545133
0,5,2,-220.7012985496349,-895.6103482939528
0,5,3,-224.8565790024046,-896.4583933694612
0,6,0,-297.98260671070665,-502.1593307236855
0,6,1,-304.9535703714965,-513.9067762710689
0,6,2,-301.7802604895115,-525.998414994143
0,6,3,-292.2273558083958,-527.7077884660208
0,7,0,-684.6314933539929,-487.71217195037946
0,7,1,-683.477734667137,-486.89026679331977
0,7,2,-687.2035250369494,-480.27130293167835
0,7,3,-688.6325869302601,-479.98172565789264
0,8,0,-941.2187332160491,-373.5102378817237
0,8,1,-939.6564334788915,-372.8902598406211
0,8,2,-937.3695588169523,-364.4235392639088
0,8,3,-938.090200697927,-363.3565502669542
0,9,0,-982.5416724408523,-951.4407624596441
0,9,1,-1005.8960525388808,-972.1648201934909
0,9,2,-986.8328676592013,-973.4059339677731
0,9,3,-975.3926323357416,-962.513448642542
0,9,4,-975.6591555329273,-951.646834231529
0,10,0,-152.39479481391248,-1611.9884391052028
0,10,1,-131.57530788003078,-1610.607435160064
0,10,2,-132.0145547507803,-1609.9164929305127
0,11,0,27.88667628272721,-1357.0701938452291
0,11,1,31.722154004376534,-1360.4689119053332
0,11,2,34.5243822621271,-1359.7287928691203
0,11,3,52.34338879140061,-1332.6380261492657
0,11,4,45.96185601894576,-1327.3709459494612
0,12,0,-1033.8302061258598,1083.6938749219244
0,12,1,-1033.9650463586345,1082.9866823841191
0,12,2,-1014.534179916853,1084.309642427538
0,12,3,-1014.317452794558,1085.7120428370383
1,0,0,545.9588090579678,-613.3093090068783
1,0,1,546.302845075744,-613.6957859513567
1,0,2,558.6151678104941,-606.2112479606221
1,1,0,1407.1494105056195,-800.4598765582856
1,1,1,1407.6219658652353,-800.5233066965502
1,1,2,1423.8999335844146,-777.1937260933923
1,1,3,1422.3001730219178,-777.0358815065978
1,2,0,1387.9447566721788,-219.47224354538605
1,2,1,1400.5247218072002,-226.57081763474685
1,2,2,1400.7811233374182,-226.39357456653647
1,2,3,1400.63201922162,-208.40864613867706
1,2,4,1387.1612531992062,-201.41860556715324
1,3,0,1607.117618590056,37.034269190084316
1,3,1,1591.898548587845,36.10743017398836
1,3,2,1577.3475817607991,14.89204240765811
1,3,3,1591.0202129960921,15.244103020690062
1,4,0,1489.8626775387743,704.3525907443053
1,4,1,1504.5300178616721,705.4824686256452
1,4,2,1504.2791343966367,705.9734772949406
1,5,0,996.9736476785861,1318.322569799393
1,5,1,998.1108463915184,1316.9680294832535
1,5,2,1028.1665767752777,1322.5629499974896
1,5,3,1027.8581977362314,1322.9575861777803
1,6,0,-77.93111580402986,301.66304252763155
1,6,1,-70.44843439441601,272.6983803769539
1,6,2,-67.58828347584102,271.9690712321229
1,6,3,-60.989076892166864,275.67313053620836
1,6,4,-67.88582075185595,306.84669582345487
1,7,0,-294.9436066920899,-844.6859246589821
1,7,1,-294.75763329369585,-843.8995083650916
1,7,2,-307.12657859833445,-842.5241302819949
1,7,3,-307.4587824578723,-843.7372152062371
1,8,0,218.64333854196306,-1304.341484810956
1,8,1,227.19459482676967,-1293.8584766201268
1,8,2,210.65180563439947,-1272.3888566054898
1,8,3,202.46013218356924,-1281.7411884039116
1,9,0,-977.5121435368326,1459.6566340340964
1,9,1,-964.2679277409253,1445.6243107721655
1,9,2,-963.5992796324138,1445.9151166294284
1,10,0,-1195.237086305189,74.30298113790028
1,10,1,-1188.7898430858186,95.54334761438152
1,10,2,-1189.5785478909459,95.60673602386339
1,11,0,-898.715515763678,-227.9942220337137
1,11,1,-903.2964623258617,-229.15635769211013
1,11,2,-903.7519540747367,-231.32062892150904
1,11,3,-892.3281733737787,-260.0054604708458
1,11,4,-885.5188859844528,-258.02137887848033
1,12,0,-1414.939919851181,-773.3444213810706
1,12,1,-1414.2693586133337,-773.0207646126336
1,12,2,-1428.7699156348215,-757.7376949742737
