case_id,event_index,channel,rho,model,adopted,baseline_bridge_us,candidate_bridge_us,saving_us,baseline_bridge_distance,candidate_bridge_distance,bridge_consumed,coalescence_prestate_pass,time_before,clear_success,clear_end_us,bridge_end_us,total_planning_wall_s,bridge_validation_s,start_x_m,start_y_m,z_x_m,z_y_m,q_x_m,q_y_m,next_x_m,next_y_m,fallback_z
0,0,3,11.83534592540768,CT,True,46784469,43578788,3205681,233.92234651382535,217.8939402688927,True,True,564.866726,True,574745907.0,619445514.0,0.02909090000000014,0.016841400000000117,826.9732454940852,580.3753947226583,858.1939221663523,573.2701358925527,851.2646933028672,578.1202303169877,706.3996744155884,706.3996744155884,
0,1,17,7.725667988466645,CT,True,96745126,95255370,1489756,483.7256323578135,476.2768470930562,True,True,869.874612,True,881151574.0,976129982.0,0.03565250000000009,0.005594899999999958,595.9692277057306,1278.9818781939266,627.3623549923346,1281.348301972743,621.9949533635967,1296.5223410035933,932.5,1615.1373777389526,
0,2,2,11.170975496356382,CT,True,104421145,103599914,821231,522.105723566909,517.999570754274,True,True,1231.99487,True,1237804716.0,1346594784.0,0.02277320000000005,0.004727800000000171,225.56835927790658,1398.6927294215911,214.72427511308547,1401.3753646824825,223.80507944894413,1402.3378780873722,0.0,1865.0,
0,3,6,13.31236508483377,CT,True,76114060,73493949,2620111,380.57030164516175,367.4697416172049,True,True,2730.244794,True,2739319717.0,2814738743.0,0.034984899999999985,0.005758900000000011,617.9538732918684,-1023.0023585614872,601.0252223799748,-1043.9625611268777,604.3227012257169,-1038.145541293521,706.3996744155884,-706.3996744155884,
0,4,1,2.6650684301592915,CT,True,21146133,19310888,1835245,105.73066561040916,96.55444293699028,True,True,3086.788896,True,3096923204.0,3117099784.0,0.07440800000000003,0.0057947000000000415,-133.11651629666162,-722.892401842149,-163.51746781064702,-722.2734758133159,-154.10254886155505,-737.6780208407796,-209.43021920615175,-781.9864226971563,
0,5,9,18.685690139851793,CT,True,54863257,54177086,686171,274.31628508037215,270.8854326980198,True,True,3117.099784,True,3148372093.0,3182276870.0,0.09760820000000026,0.005704199999999826,-209.43021920615175,-781.9864226971563,-225.16693223210518,-913.7545796483759,-228.7518633429541,-911.9192123087898,-237.05141843375327,-772.6423931144124,
0,6,16,13.094336628939928,CT,True,84672176,81767930,2904246,423.3608809297493,408.8396521866339,True,True,3182.27687,True,3240132941.0,3275044800.0,0.06800959999999989,0.004421699999999973,-237.05141843375327,-772.6423931144124,-295.1049812595512,-514.9335595948531,-309.5228324498196,-518.4928297637049,-453.79701661467027,-527.5675192181343,
0,7,20,4.3533153956192185,CT,True,51857730,50875071,982659,259.28865194960974,254.37535735896645,True,True,3332.141346,True,3344061853.0,3394016417.0,0.03688579999999986,0.004921799999999976,-703.0914986688706,-452.04590298527813,-686.5467763028948,-483.8028182861129,-703.4752466774031,-486.64631119961166,-706.3996744155884,-706.3996744155884,
0,8,19,5.312369723585276,CT,True,81252561,75553454,5699107,406.26280199713307,377.76726809790654,True,True,3551.398815,True,3560174098.0,3637952269.0,0.02924260000000034,0.0054608000000002654,-929.913681799145,-336.8195658521895,-939.654466956988,-368.43339407433893,-938.315445626516,-353.72309755995224,-999.0,0.0,
0,9,14,18.270589002174724,CT,True,256175571,255618137,557434,1280.877858140576,1278.0906832505948,True,True,5196.563472,True,5326859068.0,5462181609.0,0.03348810000000002,0.00627600000000017,-1615.1373777389526,-932.5,-990.777604035904,-961.90582721251,-989.5571969812324,-966.0275311861691,-932.5,-1615.1373777389526,
0,10,15,10.432619624537868,CT,True,23387824,22752837,634987,116.93911929377883,113.76418186354466,True,True,5677.203921,True,5682449840.0,5710956758.0,0.09426869999999976,0.005961800000000572,-152.394794813911,-1611.9884391052028,-141.98505134697163,-1611.2979371326333,-151.56878011152148,-1611.077615049691,-75.97045701090292,-1527.7173903016346,
0,11,12,18.015579822205545,CT,True,112762099,112065294,696805,563.8104950488141,560.3264730782066,True,True,5710.956758,True,5759364573.0,5834022052.0,0.02118330000000057,0.004930500000000393,-75.97045701090292,-1527.7173903016346,38.84200501166114,-1343.9199289273972,33.99752865326003,-1340.5997732426677,0.0,-999.0,
0,12,11,9.917856664255945,CT,True,5912438,3894608,2017830,29.562188128356695,19.473039270216933,True,True,7012.14231,True,7021036918.0,7021036918.0,0.021688100000000432,0.004018600000000205,-1053.580047225134,1081.6511854583512,-1024.1412495765962,1084.3493626105787,-1034.2103349591089,1083.6545589010243,,,
1,0,3,7.255444301858159,CT,True,37832344,35708812,2123532,189.161719132669,178.54405951482312,True,True,593.657383,True,598657383.0,640366195.0,0.04189390000000004,0.009230299999999803,558.6151678104977,-606.21124796062,552.2869884342309,-609.7602784837502,558.6151678104977,-606.21124796062,706.3996744155884,-706.3996744155884,
1,1,18,14.334344962493528,CT,True,46422698,45473569,949129,232.11348949936666,227.36784804764986,True,True,894.759129,True,905762100.0,951232698.0,0.07598249999999984,0.007705599999999979,1400.5864812197992,-810.6065621096071,1415.524672045017,-788.8268013258389,1404.231307741016,-780.8138308423977,1403.7413958586155,-583.4614471448288,
1,2,20,14.240927517803378,CT,True,79227134,76805790,2421344,396.1356687860459,384.0289482367656,True,True,951.232698,True,1028832016.0,1039038488.0,0.0827659999999999,0.008631999999999973,1403.7413958586155,-583.4614471448288,1393.8429875032032,-213.99471160095004,1392.7096921173936,-220.6325282938361,1403.3758579669195,-238.75966503791324,
1,3,14,18.550830851903818,CT,True,119836976,118404477,1432499,599.1848811725292,592.0223826124851,True,True,1039.038488,True,1108632909.0,1168442965.0,0.0297928999999999,0.006743699999999908,1403.3758579669195,-238.75966503791324,1592.2326001754277,25.963155798871213,1596.6917166745568,19.967911340875627,1865.0,0.0,
1,4,19,7.355397622883467,CT,True,5425211,4201096,1224115,27.126050606806068,21.005481850990808,True,True,1423.047549,True,1428047549.0,1438248645.0,0.08771960000000023,0.006403099999999995,1489.862677538777,704.3525907443056,1497.1963477002232,704.9175296849753,1489.862677538777,704.3525907443056,1495.423784511901,724.6085616424328,
1,5,4,15.739914636957492,CT,True,142860855,141395247,1465608,714.3042750879642,706.9762343965375,True,True,1593.891615,True,1605076148.0,1746286862.0,0.03669020000000023,0.007365800000000089,1040.3884602763906,1324.8380724400286,1012.5701122269319,1320.4427598984412,1014.2703514995925,1308.2834444441587,706.3996744155884,706.3996744155884,
1,6,6,17.43944685877153,CT,True,295084184,294195603,888581,1475.4209210343988,1470.97801239967,True,True,1824.286862,True,2003916857.0,2128482465.0,0.03431149999999983,0.0061141999999998475,706.3996744155884,706.3996744155884,-67.73705211384848,289.40788352778884,-61.33678802870632,290.50113020642385,-122.34627634482234,-304.20569451964025,
1,7,16,6.351093009635431,CT,True,73565920,68193368,5372552,367.8295969667817,340.96683978997345,True,True,2252.931566,True,2261086734.0,2332124934.0,0.0249849000000002,0.0037628999999999024,-272.13871351553405,-846.4146433066732,-301.10820787578405,-843.8183617856644,-287.8604346455467,-847.7202748307109,0.0,-999.0,
1,8,8,16.468417112513436,CT,True,195115061,193645362,1469699,975.5753072140279,968.2268125531491,True,True,2392.124934,True,2468921851.0,2595770296.0,0.014615400000000278,0.0034647999999997126,0.0,-999.0,214.64757208818128,-1288.3651707082229,207.273021908355,-1292.10037155267,0.0,-1865.0,
1,9,1,9.777487961995648,CT,True,35305909,32373047,2932862,176.52954196658663,161.86523631958477,True,True,4700.318841,True,4705318841.0,4743691888.0,0.027751199999999976,0.01103569999999987,-977.5121435368349,1459.656634034099,-970.5557115846232,1452.7858753317623,-977.5121435368349,1459.656634034099,-932.5,1615.1373777389526,
1,10,9,11.098649851140008,CT,True,44393723,42162442,2231281,221.96861309199937,210.81221121096675,True,True,5234.853954,True,5240825241.0,5288016396.0,0.024682900000000174,0.004851400000000172,-1195.2370863051883,74.30298113790202,-1192.013464695504,84.9231643761409,-1190.566076372997,75.63213243680048,-999.0,0.0,
