case_id,channel,observation_index,time,diameter,mec_radius,particle_count
0,1,0,329.8,1501.5997538171391,750.7998769185696,1311
0,1,1,619.445514,1501.5997538171391,750.7998769185696,869
0,1,2,976.129982,1501.5997538171391,750.7998769185696,869
0,1,3,1346.594784,1501.5997538171391,750.7998769185696,869
0,1,4,1826.594784,1501.5997538171391,750.7998769185696,850
0,1,5,2120.673792,1501.5997538171391,750.7998769185696,745
0,1,6,2414.7528,1501.5997538171391,750.7998769185696,674
0,1,7,2814.738743,144.01483462300735,72.00741732150367,333
0,1,8,3077.042075,43.38231052097058,21.691155270485314,284
0,1,9,3086.788896,5.330136840318583,2.6650684301592915,284
0,2,0,625.445514,1345.588448303444,672.794224161722,7768
0,2,1,982.129982,47.1110159118485,23.55550796592425,9239
0,2,2,1231.99487,22.341950972712734,11.170975496356382,8712
0,3,0,17.0,1500.4133903194477,750.2572279689109,8703
0,3,1,341.8,50.98156357376417,25.4907817968821,10108
0,3,2,564.866726,23.670691830815358,11.83534592540768,321
0,6,0,359.8,1501.3780067341036,750.6890033770518,1891
0,6,1,643.445514,1501.3780067341036,750.6890033770518,1659
0,6,2,1000.129982,1501.3780067341036,750.6890033770518,1659
0,6,3,1364.594784,1501.3780067341036,750.6890033770518,1659
0,6,4,1844.594784,1501.3780067341036,750.6890033770518,1644
0,6,5,2138.673792,1501.3780067341036,750.6890033770518,1499
0,6,6,2432.7528,73.3812027737925,36.69060139689627,2545
0,6,7,2590.787423,56.10285397562356,28.05142699781183,1367
0,6,8,2720.652593,56.10285397562356,28.05142699781183,637
0,6,9,2730.244794,26.624730149667464,13.31236508483377,521
0,9,0,53.0,1501.808994705589,750.9044973627945,8708
0,9,1,377.8,1501.808994705589,750.9044973627945,7091
0,9,2,661.445514,1501.808994705589,750.9044973627945,7046
0,9,3,1018.129982,1501.808994705589,750.9044973627945,7046
0,9,4,1382.594784,1501.808994705589,750.9044973627945,7046
0,9,5,1862.594784,1501.808994705589,750.9044973627945,7046
0,9,6,2156.673792,1501.808994705589,750.9044973627945,7046
0,9,7,2450.7528,1501.808994705589,750.9044973627945,7046
0,9,8,2844.738743,64.00090149453231,32.000450757266194,344
0,9,9,3117.099784,37.371380259703585,18.685690139851793,10659
0,11,0,4398.326448,1417.2048265402436,708.6024132801218,984
0,11,1,4656.405456,1417.2048265402436,708.6024132801218,253
0,11,2,4914.484464,1417.2048265402436,708.6024132801218,329
0,11,3,5172.563472,1417.2048265402436,708.6024132801218,329
0,11,4,5498.181609,1417.2048265402436,708.6024132801218,329
0,11,5,5864.022052,1417.2048265402436,708.6024132801218,329
0,11,6,6090.222052,1417.2048265402436,708.6024132801218,329
0,11,7,6330.30106,1417.2048265402436,708.6024132801218,329
0,11,8,7012.14231,19.835713308511888,9.917856664255945,270
0,12,0,3430.016417,1501.0764530926663,750.5382265563331,1408
0,12,1,3673.952269,1501.0764530926663,750.5382265563331,1259
0,12,2,3897.872569,1501.0764530926663,750.5382265563331,1259
0,12,3,4115.792869,1501.0764530926663,750.5382265563331,1259
0,12,4,4404.326448,1501.0764530926663,750.5382265563331,1259
0,12,5,4662.405456,1501.0764530926663,750.5382265563331,1259
0,12,6,4920.484464,1501.0764530926663,750.5382265563331,1259
0,12,7,5178.563472,1501.0764530926663,750.5382265563331,1211
0,12,8,5504.181609,73.761811325222,36.880905672611,1876
0,12,9,5710.956758,36.03115962441108,18.015579822205545,300
0,14,0,3442.016417,802.2476943130305,401.12384716651525,10616
