family,id,seconds_per_source,cumulative_probability
all_directional,410,302.818239375,0.014492753623188406
all_directional,463,331.3894575625,0.028985507246376812
all_directional,384,402.9805074375,0.043478260869565216
all_directional,106,404.156218875,0.057971014492753624
all_directional,965,421.6414606875,0.07246376811594203
all_directional,290,428.20675775,0.08695652173913043
all_directional,402,434.8817521333333,0.10144927536231885
all_directional,659,440.1972063125,0.11594202898550725
all_directional,5,444.29369133333336,0.13043478260869565
all_directional,72,453.8938288,0.14492753623188406
all_directional,328,469.743434,0.15942028985507245
all_directional,520,471.6200264,0.17391304347826086
all_directional,593,472.47539973333335,0.18840579710144928
all_directional,929,473.7026270714286,0.2028985507246377
all_directional,609,476.6693137857143,0.21739130434782608
all_directional,382,485.8683494666666,0.2318840579710145
all_directional,524,489.9654414,0.2463768115942029
all_directional,533,490.60617007142855,0.2608695652173913
all_directional,324,499.0202880666666,0.2753623188405797
all_directional,611,502.3235005333333,0.2898550724637681
all_directional,25,510.2855285714286,0.30434782608695654
all_directional,254,513.2911350666667,0.3188405797101449
all_directional,16,521.3833264615384,0.3333333333333333
all_directional,68,532.2844680833333,0.34782608695652173
all_directional,79,535.9439575714285,0.36231884057971014
all_directional,972,539.1887420714286,0.37681159420289856
all_directional,421,544.4603585384616,0.391304347826087
all_directional,415,544.4623682307692,0.4057971014492754
all_directional,343,544.7678231428571,0.42028985507246375
all_directional,30,545.9459176923077,0.43478260869565216
all_directional,432,550.5152788333334,0.4492753623188406
all_directional,615,555.9195115,0.463768115942029
all_directional,948,556.6347123076923,0.4782608695652174
all_directional,443,557.9425802307692,0.4927536231884058
all_directional,314,567.78242225,0.5072463768115942
all_directional,532,575.8339809166666,0.5217391304347826
all_directional,953,578.3832655454545,0.5362318840579711
all_directional,173,580.5377921666667,0.5507246376811594
all_directional,759,593.642451,0.5652173913043478
all_directional,49,594.30724375,0.5797101449275363
all_directional,371,597.80346175,0.5942028985507246
all_directional,720,598.2670557272727,0.6086956521739131
all_directional,62,611.0738729999999,0.6231884057971014
all_directional,829,611.7361216363636,0.6376811594202898
all_directional,771,617.1011061818182,0.6521739130434783
all_directional,939,617.8463676,0.6666666666666666
all_directional,302,620.04794675,0.6811594202898551
all_directional,365,620.8010057272727,0.6956521739130435
all_directional,650,620.8833273636363,0.7101449275362319
all_directional,621,623.544033923077,0.7246376811594203
all_directional,511,636.0104280833333,0.7391304347826086
all_directional,495,639.5402037,0.7536231884057971
all_directional,358,641.7729084166666,0.7681159420289855
all_directional,191,642.759654,0.782608695652174
all_directional,741,655.7650187,0.7971014492753623
all_directional,739,657.021094,0.8115942028985508
all_directional,564,659.0647237272727,0.8260869565217391
all_directional,503,662.5555735,0.8405797101449275
all_directional,461,681.6165821,0.855072463768116
all_directional,364,682.4615722,0.8695652173913043
all_directional,42,683.2920874,0.8840579710144928
all_directional,977,703.5022616,0.8985507246376812
all_directional,868,721.9712082,0.9130434782608695
all_directional,133,729.8282417,0.927536231884058
all_directional,722,733.7702879999999,0.9420289855072463
all_directional,779,739.7600631,0.9565217391304348
all_directional,447,748.1652397,0.9710144927536232
all_directional,769,750.4660723,0.9855072463768116
all_directional,536,763.6203806000001,1.0
mixed,979,201.32132825,0.0010741138560687433
mixed,366,208.2221109375,0.0021482277121374865
mixed,786,226.7094995625,0.00322234156820623
mixed,209,231.185162875,0.004296455424274973
mixed,548,234.9868635625,0.0053705692803437165
mixed,313,244.69551275,0.00644468313641246
mixed,467,247.738978875,0.007518796992481203
mixed,20,255.9630410625,0.008592910848549946
mixed,406,257.099848,0.00966702470461869
mixed,542,263.67169325,0.010741138560687433
mixed,80,264.2382260625,0.011815252416756176
mixed,509,265.1700009375,0.01288936627282492
mixed,887,268.1519035625,0.013963480128893663
mixed,493,268.7273893125,0.015037593984962405
mixed,241,271.407545,0.01611170784103115
mixed,221,273.631007625,0.017185821697099892
mixed,370,277.1427368125,0.018259935553168637
mixed,537,277.2435089375,0.01933404940923738
mixed,804,280.1631248125,0.02040816326530612
mixed,390,281.32044575,0.021482277121374866
mixed,914,284.0573893125,0.022556390977443608
mixed,253,292.8236300625,0.023630504833512353
mixed,435,293.3281023125,0.024704618689581095
mixed,860,293.5385961875,0.02577873254564984
mixed,766,294.716909875,0.02685284640171858
mixed,481,297.3977505,0.027926960257787327
mixed,934,297.633198,0.02900107411385607
mixed,606,298.4669609375,0.03007518796992481
mixed,749,298.9202970625,0.031149301825993556
mixed,9,302.9479396875,0.0322234156820623
mixed,850,303.5870535,0.03329752953813104
mixed,808,303.9383894375,0.034371643394199784
mixed,629,304.8247144375,0.03544575725026853
mixed,340,306.5320281875,0.036519871106337275
mixed,918,311.8002123125,0.03759398496240601
mixed,102,311.966902875,0.03866809881847476
mixed,692,314.1039875625,0.0397422126745435
mixed,172,316.121354,0.04081632653061224
mixed,13,316.7794099375,0.04189044038668099
mixed,465,319.10950175,0.04296455424274973
mixed,214,319.776960375,0.04403866809881848
mixed,831,320.0813436875,0.045112781954887216
mixed,917,321.0757096875,0.04618689581095596
mixed,605,321.4626649375,0.047261009667024706
mixed,156,321.593166,0.04833512352309345
mixed,679,323.353276375,0.04940923737916219
mixed,889,325.116001375,0.050483351235230935
mixed,211,335.7553869375,0.05155746509129968
mixed,883,336.1302929375,0.05263157894736842
mixed,82,337.9333934375,0.05370569280343716
mixed,369,338.748167,0.05477980665950591
mixed,635,340.2511648125,0.055853920515574654
mixed,89,340.6983735625,0.05692803437164339
mixed,98,341.1026023125,0.05800214822771214
mixed,670,341.43914075,0.05907626208378088
mixed,581,342.0322979375,0.06015037593984962
mixed,437,344.939549,0.061224489795918366
mixed,234,344.9620359375,0.06229860365198711
mixed,709,346.5983465625,0.06337271750805586
mixed,462,347.464015375,0.0644468313641246
mixed,95,349.132984875,0.06552094522019335
mixed,945,350.09147775,0.06659505907626208
mixed,580,350.1087463125,0.06766917293233082
mixed,574,351.3474549375,0.06874328678839957
mixed,151,351.5730316875,0.06981740064446831
mixed,298,352.5601179375,0.07089151450053706
mixed,316,352.71916325,0.0719656283566058
mixed,586,352.857287375,0.07303974221267455
mixed,672,352.859681625,0.07411385606874328
mixed,218,352.863142625,0.07518796992481203
mixed,529,355.547517875,0.07626208378088077
mixed,347,357.3583605625,0.07733619763694952
mixed,1,358.0970615,0.07841031149301826
mixed,978,358.337962,0.079484425349087
mixed,622,359.1911086875,0.08055853920515575
mixed,40,363.391876875,0.08163265306122448
mixed,378,366.89797375,0.08270676691729323
mixed,961,369.8353344375,0.08378088077336197
mixed,797,370.560007375,0.08485499462943072
mixed,29,373.1264720625,0.08592910848549946
mixed,993,373.9836945,0.08700322234156821
mixed,36,374.9853844375,0.08807733619763695
mixed,116,375.3610416875,0.08915145005370569
mixed,444,375.4000474375,0.09022556390977443
mixed,368,378.8854855333333,0.09129967776584318
mixed,2,379.466261625,0.09237379162191192
mixed,63,379.5947049375,0.09344790547798067
mixed,497,380.244197875,0.09452201933404941
