id,scene_hash,family,total,mean_time_per_source,historical_B,revised_B,N,A_s_per_source,B_s_per_source,delta_s_per_source,delta_game_s,A_failed_clears,B_failed_clears,final_minus_old_A,final_minus_historical_B
0,c344134eaa5f324601f07f10b4747709c7c395d45081baaa3ec48316c2fae656,mixed,13,540.0797629230769,540.0919458461539,540.0797629230769,13,529.7770056923077,540.0919458461539,10.314940153846123,134.09422199999972,0,0,10.302757230769203,-0.012182923076920815
1,49829375b45e3ddc61f3ff4f71cac44cad4e3889f1f6a02c96fd7422efcdd26f,mixed,16,358.0970615,358.0970615,358.0970615,16,347.8528333125,358.0970615,10.24422818749997,163.90765099999953,0,0,10.24422818749997,0.0
2,c2684cb2d4821d43494693a30a9c10cb2bd2bf6d6d922a98c8d52c3e37837798,mixed,16,379.466261625,379.45818025,379.466261625,16,415.2562520625,379.45818025,-35.798071812499984,-572.7691489999997,0,0,-35.789990437499966,0.008081375000017488
3,39f1b588df5a8b5deba60740a1380b3ae69dc1307e7a9a2636f4909fe062d24e,mixed,12,607.6844022500001,607.6844022500001,607.6844022500001,12,596.204042,607.6844022500001,11.480360250000103,137.76432300000033,0,0,11.480360250000103,0.0
4,bc09257ccc9e47be0cf67e1c3ac53f83d250cb2b8465714360decd98eb9fa866,mixed,14,465.0373625714286,465.0373625714286,465.0373625714286,14,481.2943895,465.0373625714286,-16.25702692857135,-227.59837699999932,0,0,-16.257026928571406,0.0
5,1c744e0be63cce6722094669aa74d0b73602e3614e3f69357a325210c577e64d,all_directional,15,444.29369133333336,444.24521046666666,444.29369133333336,15,504.1412372666666,444.24521046666666,-59.89602679999996,-898.4404019999993,0,0,-59.847545933333265,0.0484808666666936
6,e0e85f10123ce8c72bd983e3808e86f57ed2591de3401326e6a19c6038210d71,mixed,14,420.80197964285713,420.80197964285713,420.80197964285713,14,479.5820280714286,420.80197964285713,-58.78004842857149,-822.9206780000004,0,0,-58.78004842857149,0.0
7,11e452be1437d6f1d2961cec2c7c9ad16417d7c88200d6a35fb504f08ecdfb67,mixed,14,436.1756576428571,436.1756576428571,436.1756576428571,14,499.2172438571429,436.1756576428571,-63.04158621428576,-882.5822070000004,0,0,-63.04158621428576,0.0
8,f3aed650f28b7441c2e92a972a730d9d6ce4df60f655352c2ea4908e8b642588,mixed,10,660.2595162,660.2595162,660.2595162,10,661.459508,660.2595162,-1.1999918000000207,-11.999918000000434,0,0,-1.1999918000000207,0.0
9,74ccbf548feaf7be2be84553c308a903969a63321000d24336d62e46e18054de,mixed,16,302.9479396875,302.9479396875,302.9479396875,16,422.3447714375,302.9479396875,-119.39683175,-1910.349308,0,0,-119.39683174999999,0.0
10,e9fbfa1625fc78e1bd10dad4a24e514504278904005a5e5cbde61c732f06771f,mixed,14,445.3913822142857,445.3913822142857,445.3913822142857,14,445.7652531428572,445.3913822142857,-0.3738709285714208,-5.234193000000232,0,0,-0.37387092857147763,0.0
11,4d2c17e9939d7e4d4815d2f03ea99a84bb22795933adc4d42148292da779e0fc,mixed,11,611.9631153636363,611.9533322727273,611.9631153636363,11,682.0729140909091,611.9533322727273,-70.11958181818181,-771.3154000000004,19,0,-70.10979872727273,0.009783090909081693
12,4547d6bc2a6b1b1631c7f4701c91fab9ab3603494ff32cb8a6fccf95963cbbbf,mixed,14,486.46193607142857,486.46193607142857,486.46193607142857,14,481.1106515714286,486.46193607142857,5.351284499999963,74.91798299999937,0,0,5.351284499999963,0.0
13,68b8d4a2a0e934d2702f5d864e9e04b33293bc68a9a9c80a62c8df5f7564d45f,mixed,16,316.7794099375,316.7794099375,316.7794099375,16,373.5744874375,316.7794099375,-56.79507749999999,-908.72124,0,0,-56.79507749999999,0.0
14,6b54bee9923df5f81fee9d9048b6e64ea0a849896ebfd8b413cc630093a3141a,mixed,11,596.0194292727273,596.0194292727273,596.0194292727273,11,653.1621759090909,596.0194292727273,-57.14274663636365,-628.570213,0,0,-57.142746636363654,0.0
15,ec6cadb444f05773b27a795aa75034a3e218315eee006770d25eba59fd07e103,mixed,15,421.8707652666666,421.6922704666667,421.8707652666666,15,418.627187,421.6922704666667,3.0650834666666924,45.97625200000039,0,0,3.2435782666665887,0.17849479999989626
16,5b71c8be497d0cfa2e1d2be364568f5410dcc7080d2b689cec725583ee7c09fd,all_directional,13,521.3833264615384,521.3833264615384,521.3833264615384,13,589.1796013076923,521.3833264615384,-67.79627484615389,-881.3515729999999,0,0,-67.79627484615389,0.0
17,1976bf0c964704ebd5d3ec8f1b029b8a13c8480881b1dbaead35269d38fdb7cb,mixed,12,667.57384675,667.57384675,667.57384675,12,638.23995225,667.57384675,29.33389450000004,352.0067340000005,0,0,29.333894500000042,0.0
18,38dba346665d8ee34c5bef28ff8a8d4ca78bc0123aac336cf577ecbd67efe8c6,mixed,14,481.1882317857143,480.93291371428575,481.1882317857143,14,471.125678,480.93291371428575,9.807235714285753,137.30130000000008,0,0,10.062553785714329,0.2553180714285759
19,01131bf00ddf18fa15c78403684101dd5d9099ec8196cab3bb29b60b4ead9150,mixed,15,424.2695908,424.2696452,424.2695908,15,447.9344782666666,424.2696452,-23.66483306666663,-354.9724959999994,0,0,-23.664887466666585,-5.440000001044609e-05
20,8aac9b224b50a1d7ba2f4b40254ab26865429e16792f463d5074530d28277198,mixed,16,255.9630410625,255.9630410625,255.9630410625,16,260.3014026875,255.9630410625,-4.3383616250000046,-69.41378600000007,0,0,-4.3383616250000046,0.0
21,2c1c64725cd12574613350fa1cb48ddbebb688407f824024fc99f75cc23da7f2,mixed,13,529.1719525384616,529.1719525384616,529.1719525384616,13,583.4451773076923,529.1719525384616,-54.27322476923075,-705.5519219999996,0,0,-54.27322476923075,0.0
22,308d672db22495c7efc7c676ccfea259a7da15194d980cb9602e13830ba85fbf,mixed,12,677.58386825,677.58386825,677.58386825,12,582.3376081666667,677.58386825,95.24626008333335,1142.955121,0,0,95.24626008333337,0.0
23,328cc1a48bbe255fbe78de8805be77577e5b83333cc20791c90f5aaa581b8980,mixed,16,484.340579875,484.340579875,484.340579875,16,423.4826090625,484.340579875,60.857970812500014,973.7275330000002,0,0,60.857970812500014,0.0
24,baffa4a45fa0660793f446b33ee69e606a8196c8e57db11c84c411abf1e07cfd,mixed,13,497.6046041538462,497.6046041538462,497.6046041538462,13,497.04684969230766,497.6046041538462,0.5577544615385364,7.250808000000688,0,0,0.5577544615385364,0.0
25,e54d042d9e1b3f7c16af96c45964a26b2138307d483c5b7c5fcff3d6451ad7c3,all_directional,14,510.2855285714286,510.2806613571428,510.2855285714286,14,539.0227946428571,510.2806613571428,-28.74213328571426,-402.3898660000005,0,0,-28.737266071428508,0.004867214285809496
26,74b8ce4f7c334003d68f796349ee4e27280c802ddc599b86c610422b772f0adf,mixed,12,588.1565615000001,588.1565615000001,588.1565615000001,12,634.7573615,588.1565615000001,-46.600799999999936,-559.2095999999992,0,0,-46.600799999999936,0.0
27,f7d87d1d2bd37b09713adcdac72aabf1e60be71d85e1d9b388fe07ed32f9dae4,mixed,14,470.1758811428571,470.2669824285714,470.1758811428571,14,488.1798267857143,470.2669824285714,-17.912844357142887,-250.77982100000008,0,0,-18.00394564285716,-0.09110128571427367
28,020e335528dc02ee1b24ed57e2cafb65fcf93e4505ac78462e33de30649a934e,mixed,14,518.0638435,518.0638435,518.0638435,14,593.1163126428571,518.0638435,-75.05246914285715,-1050.734567999999,0,0,-75.05246914285715,0.0
29,c20c5591e799bde0cd4e99d392fb117b14266664a7523efb7a952eab54c248c9,mixed,16,373.1264720625,373.1264720625,373.1264720625,16,365.0940235,373.1264720625,8.032448562500008,128.51917700000013,0,0,8.032448562500008,0.0
30,f3a2f1c7cabdfa0c97f04a313e0b6f0d1d475fd62d0a9f291e8030ece44b155e,all_directional,13,545.9459176923077,545.9459176923077,545.9459176923077,13,557.5698757692307,545.9459176923077,-11.623958076923032,-151.1114549999993,0,0,-11.623958076923032,0.0
31,df2290683a6271db19d4175c708f36bec9d13dc45f1335042730d1aafd77fc5a,mixed,14,489.1471776428571,489.1471776428571,489.1471776428571,14,524.7057520714286,489.1471776428571,-35.55857442857149,-497.8200420000003,0,0,-35.55857442857149,0.0
32,235d3cf9d160fd235f785e8e3e1e341aa18b5ad41e5f0211654fc37a18b26784,mixed,10,593.6011540000001,593.5369991,593.6011540000001,10,680.7344056,593.5369991,-87.19740649999994,-871.9740650000003,0,0,-87.13325159999988,0.0641549000000623
33,2666922a299d658b00be238f7a9c447997c049f4aeb717c2be69b4b9685fc53a,mixed,10,782.0298454,782.0298454,782.0298454,10,709.3931123,782.0298454,72.63673310000001,726.3673309999995,0,0,72.63673310000001,0.0
