family,selection,quantile_target,case_id,seconds_per_source
all_directional,median,567.78242225,314,567.78242225
all_directional,p95,737.3641530599999,779,739.7600631
all_directional,worst,763.6203806000001,536,763.6203806000001
mixed,median,516.1691256923077,758,516.1691256923077
mixed,p95,675.2972043272728,970,676.1398352
mixed,worst,782.0298454,33,782.0298454
