case_id,action_count,cost_sum_s,end_time_s,ledger_error_s
345,315,7418.654809,7418.654809,0.0
346,280,6794.984821,6794.984821,0.0
347,268,5717.733769,5717.733769,0.0
348,352,7256.023065,7256.023065,0.0
349,280,6160.150572,6160.150572,0.0
350,227,6611.738334,6611.738334,0.0
351,266,6711.01705,6711.01705,0.0
352,233,5870.052743,5870.052743,0.0
353,272,5844.984344,5844.984344,0.0
354,256,6339.986776,6339.986776,0.0
355,297,7238.769445,7238.769445,0.0
356,259,6081.88028,6081.88028,0.0
357,260,6205.378063,6205.378063,0.0
358,350,7701.274901,7701.274901,0.0
359,294,6862.801706,6862.801706,0.0
360,318,6525.809038,6525.809038,0.0
361,325,6642.929965,6642.929965,0.0
362,338,6775.915253,6775.915253,0.0
363,248,6104.542605,6104.542605,0.0
364,322,6824.615722,6824.615722,0.0
365,338,6828.811063,6828.811063,0.0
366,124,3331.553775,3331.553775,0.0
367,323,6494.996901,6494.996901,0.0
368,220,5683.282283,5683.282283,0.0
369,206,5419.970672,5419.970672,0.0
370,142,4434.283789,4434.283789,0.0
371,315,7173.641541,7173.641541,0.0
372,301,6493.453623,6493.453623,0.0
373,261,7294.017596,7294.017596,0.0
374,267,6100.662749,6100.662749,0.0
375,301,6825.690699,6825.690699,0.0
376,296,6272.964702,6272.964702,0.0
377,255,6314.225096,6314.225096,0.0
378,224,5870.36758,5870.36758,0.0
379,264,7311.458483,7311.458483,0.0
380,288,6925.096153,6925.096153,0.0
381,242,6493.491255,6493.491255,0.0
382,278,7288.025242,7288.025242,0.0
383,326,6797.735188,6797.735188,0.0
384,290,6447.688119,6447.688119,0.0
385,320,6989.554891,6989.554891,0.0
386,272,6165.53823,6165.53823,0.0
387,301,6843.929331,6843.929331,0.0
388,353,6882.932812,6882.932812,0.0
389,342,7368.703944,7368.703944,0.0
390,175,4501.127132,4501.127132,0.0
391,353,7367.234786,7367.234786,0.0
392,317,6726.886688,6726.886688,0.0
393,305,6320.551858,6320.551858,0.0
394,236,6306.470297,6306.470297,0.0
395,280,6562.73071,6562.73071,0.0
396,285,6020.822626,6020.822626,0.0
397,287,6372.999081,6372.999081,0.0
398,265,7204.658186,7204.658186,0.0
399,293,6556.933853,6556.933853,0.0
400,300,7180.255527,7180.255527,0.0
401,259,6453.555877,6453.555877,0.0
402,270,6523.226282,6523.226282,0.0
403,355,7391.418432,7391.418432,0.0
404,247,5742.80415,5742.80415,0.0
405,298,6767.734955,6767.734955,0.0
406,159,4113.597568,4113.597568,0.0
407,236,6725.250094,6725.250094,0.0
408,278,6499.556405,6499.556405,0.0
409,288,6380.762619,6380.762619,0.0
410,217,4845.09183,4845.09183,0.0
411,307,6480.815964,6480.815964,0.0
412,256,6036.902036,6036.902036,0.0
413,295,6217.267795,6217.267795,0.0
414,320,6643.402829,6643.402829,0.0
415,314,7078.010787,7078.010787,0.0
416,273,6592.329771,6592.329771,0.0
417,277,6050.080231,6050.080231,0.0
418,285,7884.002818,7884.002818,0.0
419,318,6926.775855,6926.775855,0.0
420,290,7321.616186,7321.616186,0.0
421,362,7077.984661,7077.984661,0.0
422,276,6155.485047,6155.485047,0.0
423,298,7493.651519,7493.651519,0.0
424,280,6193.290596,6193.290596,0.0
425,309,6477.662229,6477.662229,0.0
426,326,6298.381116,6298.381116,0.0
427,296,7101.043052,7101.043052,0.0
428,235,6135.08829,6135.08829,0.0
429,284,6663.943875,6663.943875,0.0
430,257,6884.724284,6884.724284,0.0
431,329,6935.993505,6935.993505,0.0
432,308,6606.183346,6606.183346,0.0
433,290,6643.226312,6643.226312,0.0
434,330,7050.113315,7050.113315,0.0
435,181,4693.249637,4693.249637,0.0
436,310,7008.301559,7008.301559,0.0
437,226,5519.032784,5519.032784,0.0
438,316,6278.651784,6278.651784,0.0
439,302,6528.272412,6528.272412,0.0
440,300,6609.685363,6609.685363,0.0
441,326,6970.835956,6970.835956,0.0
442,312,6168.433755,6168.433755,0.0
443,305,7253.253543,7253.253543,0.0
444,237,6006.400759,6006.400759,0.0
445,271,6629.442474,6629.442474,0.0
446,298,7256.180941,7256.180941,0.0
447,346,7481.652397,7481.652397,0.0
448,297,6579.271077,6579.271077,0.0
449,286,5907.171968,5907.171968,0.0
450,308,6145.685601,6145.685601,0.0
451,290,7219.910333,7219.910333,0.0
452,277,6959.707998,6959.707998,0.0
453,275,6304.452071,6304.452071,0.0
454,268,6751.849386,6751.849386,0.0
455,289,7093.561895,7093.561895,0.0
456,321,6547.976495,6547.976495,0.0
457,302,6157.410425,6157.410425,0.0
458,308,6475.831365,6475.831365,0.0
459,269,6743.405152,6743.405152,0.0
460,267,6305.87262,6305.87262,0.0
461,339,6816.165821,6816.165821,0.0
462,208,5559.424246,5559.424246,0.0
463,216,5302.231321,5302.231321,0.0
464,307,6322.206434,6322.206434,0.0
465,209,5105.752028,5105.752028,0.0
466,315,6657.292112,6657.292112,0.0
467,150,3963.823662,3963.823662,0.0
468,279,5985.43184,5985.43184,0.0
469,320,7713.045747,7713.045747,0.0
470,245,6226.776506,6226.776506,0.0
471,279,6453.049891,6453.049891,0.0
472,347,6905.95823,6905.95823,0.0
473,308,6539.747613,6539.747613,0.0
474,292,6256.59561,6256.59561,0.0
475,343,6775.492393,6775.492393,0.0
476,304,7108.698335,7108.698335,0.0
