group,metric,mean,low,high,scenes
N16_late,predictor_gain,-274.15949264803623,-325.45235529429135,-222.75559248488167,331
N16_late,top3_best_recall,0.43756294058408857,0.38821752265861026,0.48741188318227585,331
N16_late,predictor_regret,475.83348169813695,429.93083392309927,523.7557476276371,331
N16_late,R12_regret,201.6739890501007,177.94663800545692,225.54426089563822,331
early,predictor_gain,-178.62316777756573,-233.6097372320823,-123.34731691404268,393
early,top3_best_recall,0.18914334181509757,0.15309584393553857,0.22689779474130603,393
early,predictor_regret,649.7846298379983,596.8901435225085,703.6668755938825,393
early,R12_regret,471.1614620604326,417.5426208244275,527.7993225558366,393
late,predictor_gain,-251.79016922785826,-290.5646467238929,-214.95584143055555,414
late,top3_best_recall,0.46296296296296297,0.4178743961352657,0.5088566827697263,414
late,predictor_regret,348.1332452882448,313.04048670129833,385.35191709973833,414
late,R12_regret,96.3430760603865,78.32188977077297,115.12162807653986,414
middle,predictor_gain,-271.81679983333333,-324.282496069427,-219.51034449641054,397
middle,top3_best_recall,0.1481947942905122,0.11628883291351805,0.18261964735516373,397
middle,predictor_regret,560.7774311968934,518.0131943513329,606.2497247436082,397
middle,R12_regret,288.9606313635601,249.43177912027707,330.3918572738141,397
