sample_group,spearman,top1_optimal,top3_best_recall,top3_overlap,predictor_regret,R12_regret,predictor_gain,H1_pred,H1_R12,H2_pred,H2_R12,H3_pred,H3_R12
N16_late,0.14748909521165607,0.108257804632427,0.4375629405840886,0.3926653239342061,475.83348169813695,201.6739890501007,-274.15949264803623,0.7416918429003021,0.3783987915407855,0.03172205438066465,0.006042296072507553,0.4400805639476334,0.1865558912386707
early,-0.04764068443030519,0.07591178965224767,0.18914334181509754,0.18829516539440203,649.7846298379983,471.1614620604326,-178.62316777756573,0.863019508057676,0.48112807463952506,0.009754028837998302,0.0,0.005089058524173028,0.0
late,-0.09483102441663285,0.18075684380032206,0.46296296296296297,0.5501878690284487,348.1332452882448,96.3430760603865,-251.7901692278583,0.42109500805152983,0.2214170692431562,0.00966183574879227,0.0024154589371980675,0.16626409017713364,0.07648953301127215
middle,-0.0731697791277666,0.06255247691015953,0.1481947942905122,0.1964735516372796,560.7774311968934,288.9606313635601,-271.81679983333333,0.6939546599496221,0.23509655751469352,0.01595298068849706,0.0,0.06507136859781695,0.0
