N,phase,spearman,top1_optimal,top3_best_recall,top3_overlap,predictor_regret,R12_regret,predictor_gain,H1_pred,H1_R12,H2_pred,H2_R12,H3_pred,H3_R12
10,early,-0.08273085463001303,0.08695652173913043,0.21739130434782608,0.178743961352657,477.6492845942029,239.3895247246377,-238.25975986956522,0.7391304347826086,0.463768115942029,0.014492753623188406,0.0,0.0,0.0
10,late,-0.28583799215278644,0.24444444444444444,0.5111111111111111,0.6592592592592593,268.48166517777776,4.362445622222245,-264.1192195555555,0.2222222222222222,0.08888888888888889,0.0,0.0,0.0,0.0
10,middle,-0.2224239414018232,0.05172413793103448,0.10344827586206896,0.132183908045977,480.05986984482763,56.62620534482766,-423.4336644999999,0.4482758620689655,0.13793103448275862,0.0,0.0,0.0,0.0
11,early,-0.11496564230058492,0.0625,0.16666666666666666,0.1875,465.1166100208334,126.35909060416662,-338.75751941666675,0.7708333333333334,0.3125,0.0,0.0,0.0,0.0
11,late,-0.21997134009274447,0.22727272727272727,0.45454545454545453,0.6363636363636364,238.09667552272728,28.06106920454547,-210.0356063181818,0.22727272727272727,0.06818181818181818,0.0,0.0,0.0,0.0
11,middle,-0.13301245840334633,0.023255813953488372,0.046511627906976744,0.17829457364341084,503.08421534883723,82.97379195348844,-420.11042339534873,0.5348837209302325,0.11627906976744186,0.0,0.0,0.0,0.0
12,early,-0.06405095020415603,0.08333333333333333,0.16666666666666666,0.1875,443.9562216458333,214.31479641666678,-229.64142522916654,0.875,0.3958333333333333,0.020833333333333332,0.0,0.0,0.0
12,late,-0.08773159578177546,0.3023255813953488,0.5581395348837209,0.7054263565891472,229.18163495348833,23.588247255813997,-205.5933876976743,0.2558139534883721,0.13953488372093023,0.0,0.0,0.0,0.0
12,middle,-0.2391431650843514,0.0,0.02857142857142857,0.14285714285714285,500.99717797142864,25.429936485714254,-475.5672414857145,0.34285714285714286,0.05714285714285714,0.0,0.0,0.0,0.0
13,early,-0.0609113001859456,0.09615384615384616,0.23076923076923078,0.22435897435897434,489.30261557692324,115.25350519230761,-374.0491103846156,0.9038461538461539,0.4230769230769231,0.019230769230769232,0.0,0.0,0.0
13,late,-0.3154106722737839,0.20408163265306123,0.5306122448979592,0.6802721088435375,224.36131967346952,8.833723530612234,-215.52759614285728,0.20408163265306123,0.10204081632653061,0.02040816326530612,0.0,0.0,0.0
13,middle,-0.17700260153885888,0.04878048780487805,0.12195121951219512,0.18699186991869918,448.5147624634146,93.78799975609753,-354.7267627073171,0.5853658536585366,0.24390243902439024,0.07317073170731707,0.0,0.0,0.0
14,early,-0.07157580111487376,0.1276595744680851,0.2127659574468085,0.15602836879432624,467.6942483191488,261.2545784680851,-206.43966985106377,0.8936170212765957,0.40425531914893614,0.0,0.0,0.0,0.0
14,late,-0.3053914700129824,0.1836734693877551,0.40816326530612246,0.5374149659863945,337.81196902040824,16.88148032653064,-320.9304886938776,0.20408163265306123,0.12244897959183673,0.0,0.0,0.0,0.0
14,middle,-0.12772287455137019,0.04,0.1,0.14,478.77755026,80.46860882000009,-398.3089414399999,0.62,0.22,0.0,0.0,0.0,0.0
15,early,-0.018162161283202635,0.07692307692307693,0.1794871794871795,0.2222222222222222,477.7759932564102,261.2396167948718,-216.5363764615384,0.9230769230769231,0.48717948717948717,0.0,0.0,0.0,0.0
15,late,-0.2798195210095757,0.2833333333333333,0.6166666666666667,0.7,250.04878396666663,6.0734927666666865,-243.97529119999993,0.26666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0
15,middle,-0.12841370995516083,0.017241379310344827,0.10344827586206896,0.1954022988505747,407.024463275862,65.706709224138,-341.31775405172397,0.7586206896551724,0.29310344827586204,0.0,0.0,0.0,0.0
16,early,-0.0048768961146253755,0.050761421319796954,0.16243654822335024,0.17597292724196276,921.056823142132,863.0672290609137,-57.98959408121831,0.9086294416243654,0.5786802030456852,0.01015228426395939,0.0,0.01015228426395939,0.0
16,late,0.13868975964882646,0.12253521126760564,0.4422535211267606,0.4117370892018779,454.6111524492958,201.87518788169012,-252.73596456760563,0.7267605633802817,0.37464788732394366,0.02535211267605634,0.008450704225352112,0.43661971830985913,0.18450704225352113
16,middle,0.04556214205120628,0.09302325581395349,0.22325581395348837,0.23410852713178293,696.6452233395348,577.5428163906977,-119.10240694883723,0.8511627906976744,0.29767441860465116,0.023255813953488372,0.0,0.13953488372093023,0.0
