id,step,phase,N,time_s,nodes,sample_group,remaining_cost,spearman,constant_prediction,top1_optimal,top3_best_recall,top3_overlap,predictor_regret,R12_regret,predictor_gain,top3_available_gain,margin,H1_pred,H1_R12,H2_pred,H2_R12,H3_pred,H3_R12
9,16,late,16,4738.143412,9,N16_late,1301.4764839999998,0.35,False,False,False,0.3333333333333333,238.65675199999987,182.0907500000003,-56.56600199999957,-37.055295999999544,0.2566951477005416,True,True,False,False,True,True
10,10,late,16,3204.836511,15,N16_late,2483.059664,0.3321428571428571,False,False,False,0.3333333333333333,165.4821469999997,469.08327199999985,303.60112500000014,303.60112500000014,0.41646287889067446,True,False,False,False,True,False
10,12,late,16,3411.795474,13,N16_late,2276.100701,0.3516483516483516,False,False,False,0.0,168.23306000000048,266.161521,97.92846099999952,97.92846099999952,0.406164822464261,True,True,False,False,True,False
10,13,late,16,4156.202796,12,N16_late,1531.6933790000003,0.30069930069930073,False,False,False,0.3333333333333333,126.74652100000003,0.0,-126.74652100000003,-126.74652100000003,0.2885544461687114,True,False,False,False,True,False
11,21,late,16,6027.57199,4,late,422.48696500000005,0.19999999999999998,False,False,True,1.0,294.6140609999993,0.0,-294.6140609999993,0.0,0.07379689276240997,True,True,False,False,True,True
12,4,early,16,1647.801825,21,early,3113.8777480000003,-0.16753246753246753,False,True,True,0.3333333333333333,0.0,44.042875000000095,44.042875000000095,44.042875000000095,0.5761929692813341,True,False,False,False,False,False
13,9,late,16,2670.558196,16,late,2081.4892660000005,0.07941176470588236,False,False,False,0.0,447.8478499999992,232.04668700000002,-215.80116299999918,-215.80116299999918,0.43574786094612916,True,False,False,False,False,False
14,7,middle,16,2187.143366,18,middle,4702.6623660000005,-0.47368421052631576,False,False,False,0.0,235.5508489999993,0.0,-235.5508489999993,-163.4328919999989,0.4558540595532271,True,False,False,False,False,False
14,15,late,16,4885.181995,10,N16_late,2004.623737,0.5515151515151515,False,False,True,0.3333333333333333,788.4984690000001,217.66392300000007,-570.834546,217.66392300000007,0.11184504306372245,True,True,False,False,False,False
15,1,early,16,119.0,24,early,6963.31299,0.030876278181527935,False,False,False,0.0,2438.58421,1601.0859210000008,-837.4982889999992,0.0,0.0002800539298308813,True,True,False,False,False,False
15,16,late,16,4757.109541,9,N16_late,2325.2034490000005,0.049999999999999996,False,False,False,0.3333333333333333,442.78839399999924,0.0,-442.78839399999924,-407.32300899999973,0.25311882038566447,True,True,False,False,False,False
16,11,late,16,3632.32132,14,N16_late,1171.1857680000003,0.432967032967033,False,True,True,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,True,True,False,False,True,True
17,1,early,16,119.0,24,early,6367.627195,0.14003044471059148,False,False,False,0.0,2029.0331050000004,1122.3673740000004,-906.665731,0.0,0.00033135445946463893,False,True,False,False,False,False
18,20,late,16,6223.147221,5,N16_late,1303.9255299999995,0.3,False,False,True,0.6666666666666666,60.54141299999992,244.60835299999962,184.0669399999997,244.60835299999962,0.17881598169868462,True,False,False,False,True,False
18,22,late,16,6528.812553,3,N16_late,998.260198,-0.5,False,False,True,1.0,330.6727030000002,0.0,-330.6727030000002,0.0,0.010236386661038543,True,False,False,False,True,False
19,11,middle,16,3060.073119,14,middle,2843.4864999999995,0.3538461538461538,False,False,True,0.6666666666666666,30.600179999999455,546.3892399999995,515.7890600000001,546.3892399999995,0.5074806708921252,True,False,False,False,True,False
19,14,late,16,3753.498069,11,N16_late,2150.0615499999994,0.46363636363636374,False,True,True,0.6666666666666666,0.0,326.31830699999955,326.31830699999955,326.31830699999955,0.34070520107654156,True,True,False,False,True,False
