id,step,group,N,node,probability,cost,gain,prediction_rank,cost_rank,hit,quick_clear,release16
0,16,late,16,0,0.08719630347294682,3745.008117000001,0.0,7.0,7.5,False,False,False
0,16,late,16,1,0.09569235355492622,3745.008117000001,0.0,5.0,7.5,False,False,False
0,16,late,16,2,0.15784766731256528,4081.025974,-336.0178569999989,4.0,9.0,False,False,False
0,16,late,16,3,0.16254285288418546,3288.2103129999996,456.79780400000163,2.0,2.0,True,False,True
0,16,late,16,4,0.17551050827246983,3269.013207,475.99491000000125,1.0,1.0,True,False,True
0,16,late,16,5,0.16149947831271438,3604.0372719999996,140.97084500000165,3.0,6.0,False,False,False
0,16,late,16,6,0.09323297063645852,3538.983884000001,206.0242330000001,6.0,5.0,False,False,False
0,16,late,16,7,0.08510955433000456,3510.852371000001,234.15574600000036,8.0,4.0,False,False,False
0,16,late,16,8,0.011029959755552432,3304.261353,440.74676400000135,9.0,3.0,False,False,False
0,17,N16_late,16,0,0.015757674722403636,3492.008117000001,0.0,7.0,8.0,False,False,False
0,17,N16_late,16,1,0.10418027433050292,3391.3427850000007,100.66533200000049,4.0,4.0,False,False,False
0,17,N16_late,16,2,0.1633736120182887,3110.952416,381.05570100000114,3.0,2.0,True,False,True
0,17,N16_late,16,3,0.17725342913128683,3086.636459000001,405.371658,1.0,1.0,True,False,True
0,17,N16_late,16,4,0.17635532331809278,3445.2773130000005,46.73080400000072,2.0,7.0,False,False,False
0,17,N16_late,16,5,0.10213912475506215,3417.126187,74.88193000000138,5.0,6.0,False,False,False
0,17,N16_late,16,6,0.09323971260613984,3392.375424,99.63269300000138,6.0,5.0,False,False,False
0,17,N16_late,16,7,0.01208360548661025,3304.261353,187.74676400000135,8.0,3.0,False,False,False
0,18,late,16,0,0.09133139776026544,3395.025974000001,0.0,6.0,4.0,False,False,False
0,18,late,16,1,0.16283699709664035,3131.4641110000002,263.5618630000008,3.0,2.0,True,False,True
0,18,late,16,2,0.17685607631688105,3104.1069070000003,290.9190670000007,2.0,1.0,True,False,True
0,18,late,16,3,0.17909581086686022,3470.907859,-75.88188499999887,1.0,7.0,False,False,False
0,18,late,16,4,0.10377436748237256,3450.726487000001,-55.70051299999977,4.0,6.0,False,False,False
0,18,late,16,5,0.0947324761509748,3426.562126,-31.536151999998765,5.0,5.0,False,False,False
0,18,late,16,6,0.012277063459145698,3341.605866000001,53.420108000000255,7.0,3.0,False,False,False
1,12,middle,16,0,0.6270315325115112,2584.6643419999996,0.0,3.0,3.0,True,False,False
1,12,middle,16,1,0.6186401349343214,2400.9955969999996,183.66874499999994,4.0,1.0,False,False,False
1,12,middle,16,2,0.32432489321086666,2752.7272559999997,-168.0629140000001,9.0,5.0,False,False,False
1,12,middle,16,3,0.28422406055545724,2463.5255469999997,121.13879499999985,10.0,2.0,False,False,False
1,12,middle,16,4,0.5325551828113277,2814.219119,-229.55477700000029,6.0,6.0,False,False,False
1,12,middle,16,5,0.6764789358884177,3161.9657899999997,-577.3014480000002,1.0,10.0,True,False,False
1,12,middle,16,6,0.6413037560102339,2953.3234449999995,-368.65910299999996,2.0,7.0,True,False,False
1,12,middle,16,7,0.540163937169029,3527.9000920000003,-943.2357500000007,5.0,13.0,True,False,False
1,12,middle,16,8,0.3943738614998671,3111.132481,-526.4681390000005,7.0,8.0,True,False,False
1,12,middle,16,9,0.3655364149914119,2629.124265,-44.459923000000344,8.0,4.0,True,False,False
1,12,middle,16,10,0.17507880149102661,3293.141637,-708.4772950000006,11.0,12.0,True,False,False
