sample_group,oracle_gain_top3_plus_R12,top3_has_positive_gain,top3_has_gain30s,R12_is_optimal,R12_regret,constant_prediction,recoverable_gain_fraction
N16_late,141.62068190231622,0.51460221550856,0.4909365558912387,0.3001007049345418,201.6739890501007,0.0,0.7022258178625813
early,254.95320522964374,0.47455470737913485,0.4527141645462256,0.21055979643765904,471.1614620604326,0.0,0.5411164234755318
late,70.46972958172303,0.27012882447665054,0.22665056360708533,0.605877616747182,96.3430760603865,0.05515297906602254,0.7314457090570119
middle,176.26623801511334,0.3799328295549958,0.3597816960537364,0.40008396305625527,288.9606313635601,0.0,0.6100008751480799
