seed,seed_hex,stress,problem,variant,run_status,engine_end_reason,total,cleared,clear_rate,error,mean_time_per_source,virtual_time_s,distance,runtime,device,fallback_count,grid_points,clear_attempts,optical_clear_attempts,diagnostic_count,detect_count,switch_count,config_hash,scene_hash,source_hash,directional_count,evidence,grid_version,clearance_point,polygon_certified_count,near_certified_count,polygon_clear_travel_m,polygon_clear_mec_travel_m,same_state_clear_saving_m,polygon_zero_move_count,nccp_fallback_count,max_clearance_vertex_distance,certificate_audit_violations,stage_discovery_s,stage_active_localization_s,stage_diagnostic_s,stage_optical_fallback_s,stage_certified_clear_s,stage_sum_error_s
0,0000000000000000000000000000000000000000000000000000000000000000,byte_pattern,3,P3_current_grid_v1,FULL_CLEAR,user_exit,15,15,1.0,,260.2759700666667,3904.139551,15990.697747888986,0.4915827000004356,cpu,0,0,15,0,0,106,101,f646560a9ee6ee2255038d24f08d28bed39916b903e10ada4d73d4781204966c,67d5b8e9c1bd64b99f561877a6bcf68d460522292c9ffa243333ab00f1b8e97b,6715d13abf8c010f2fc2139cfe9e5000ccff9f61dab7250fd98e80a0d028ae32,0,recovered_practice_engine_local,grid_v1,mec_center,15,0,2237.4484282566946,2237.4484282566946,0.0,0,0,19.822865015178166,0,1875.99834,1505.6515259999994,0.0,0.0,522.4896850000007,0.0
0,0000000000000000000000000000000000000000000000000000000000000000,byte_pattern,3,P3_current_grid_v1_nccp,FULL_CLEAR,user_exit,15,15,1.0,,259.05276573333333,3885.791486,15898.957410532887,0.5121637000047485,cpu,0,0,15,0,0,106,101,3f1f7923e2eaa2ea072e18ef2502688a129191128b4f17237edbf21f366dba17,67d5b8e9c1bd64b99f561877a6bcf68d460522292c9ffa243333ab00f1b8e97b,6715d13abf8c010f2fc2139cfe9e5000ccff9f61dab7250fd98e80a0d028ae32,0,recovered_practice_engine_local,grid_v1,nccp,15,0,2120.290781103759,2246.1025302669645,125.81174916320498,1,0,19.998999999999995,0,1881.8444659999993,1504.8888610000006,0.0,0.0,499.0581590000002,0.0
1,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,byte_pattern,3,P3_current_grid_v1,FULL_CLEAR,user_exit,14,14,1.0,,357.7748098571428,5008.847338,21499.236700852474,0.5255563000027905,cpu,0,0,14,0,0,108,99,f646560a9ee6ee2255038d24f08d28bed39916b903e10ada4d73d4781204966c,6504988f67731f6f53a8892dc59f16815ae82c90fd460836d49f0075213c7b41,6715d13abf8c010f2fc2139cfe9e5000ccff9f61dab7250fd98e80a0d028ae32,0,recovered_practice_engine_local,grid_v1,mec_center,14,0,1645.7823167135382,1645.7823167135382,0.0,0,0,18.83934305523921,0,1945.821974,2663.8689010000003,0.0,0.0,399.15646299999946,0.0
1,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,byte_pattern,3,P3_current_grid_v1_nccp,FULL_CLEAR,user_exit,14,14,1.0,,355.8509979285714,4981.913971,21364.569855660382,0.5368992000003345,cpu,0,0,14,0,0,108,99,3f1f7923e2eaa2ea072e18ef2502688a129191128b4f17237edbf21f366dba17,6504988f67731f6f53a8892dc59f16815ae82c90fd460836d49f0075213c7b41,6715d13abf8c010f2fc2139cfe9e5000ccff9f61dab7250fd98e80a0d028ae32,0,recovered_practice_engine_local,grid_v1,nccp,14,0,1517.5010358700415,1644.550878448111,127.04984257806959,0,0,19.998999999999985,0,1949.7068409999997,2658.706923000001,0.0,0.0,373.50020699999925,0.0
2,000102030405060708090a0b0c0d0e0f101112131415161718191a1b1c1d1e1f,byte_pattern,3,P3_current_grid_v1,FULL_CLEAR,user_exit,13,13,1.0,,313.39484015384613,4074.132922,16765.664614929265,0.4965435000049183,cpu,0,0,13,0,0,111,101,f646560a9ee6ee2255038d24f08d28bed39916b903e10ada4d73d4781204966c,fa0d6996b45fb0cb89765d4a8804c4f81649adc707dcd57d318ed0c253fc39b2,6715d13abf8c010f2fc2139cfe9e5000ccff9f61dab7250fd98e80a0d028ae32,0,recovered_practice_engine_local,grid_v1,mec_center,13,0,1696.7013500561316,1696.7013500561316,0.0,0,0,19.092361048516697,0,1609.7828290000007,2060.009825,0.0,0.0,404.3402679999993,4.547473508864641e-13
2,000102030405060708090a0b0c0d0e0f101112131415161718191a1b1c1d1e1f,byte_pattern,3,P3_current_grid_v1_nccp,FULL_CLEAR,user_exit,13,13,1.0,,311.02485015384616,4043.323052,16611.615261449107,0.5044991000031587,cpu,0,0,13,0,0,111,101,3f1f7923e2eaa2ea072e18ef2502688a129191128b4f17237edbf21f366dba17,fa0d6996b45fb0cb89765d4a8804c4f81649adc707dcd57d318ed0c253fc39b2,6715d13abf8c010f2fc2139cfe9e5000ccff9f61dab7250fd98e80a0d028ae32,0,recovered_practice_engine_local,grid_v1,nccp,13,0,1577.5450575556113,1701.7036494980612,124.15859194244959,0,0,19.998999999999967,0,1604.538787,2058.275254,0.0,0.0,380.509011,0.0
3,1f1e1d1c1b1a191817161514131211100f0e0d0c0b0a09080706050403020100,byte_pattern,3,P3_current_grid_v1,FULL_CLEAR,user_exit,12,12,1.0,,332.53949341666663,3990.473921,16502.369594499127,0.5205817000023671,cpu,0,0,12,0,0,107,95,f646560a9ee6ee2255038d24f08d28bed39916b903e10ada4d73d4781204966c,27625219ae30d42518a0d3d19a21a238b9bee74c23228226a439fa791d411c13,6715d13abf8c010f2fc2139cfe9e5000ccff9f61dab7250fd98e80a0d028ae32,0,recovered_practice_engine_local,grid_v1,mec_center,12,0,1083.4349449042431,1083.4349449042431,0.0,0,0,16.874672427476508,0,1582.313284,2131.4736460000004,0.0,0.0,276.68699099999964,0.0
3,1f1e1d1c1b1a191817161514131211100f0e0d0c0b0a09080706050403020100,byte_pattern,3,P3_current_grid_v1_nccp,FULL_CLEAR,user_exit,12,12,1.0,,329.82300200000003,3957.876024,16339.38013098515,0.5397983999937424,cpu,0,0,12,0,0,107,95,3f1f7923e2eaa2ea072e18ef2502688a129191128b4f17237edbf21f366dba17,27625219ae30d42518a0d3d19a21a238b9bee74c23228226a439fa791d411c13,6715d13abf8c010f2fc2139cfe9e5000ccff9f61dab7250fd98e80a0d028ae32,0,recovered_practice_engine_local,grid_v1,nccp,12,0,940.6633262353062,1079.0826434357043,138.41931720039838,1,0,19.998999999999988,0,1582.3879610000004,2127.355399,0.0,0.0,248.1326639999997,0.0
4,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,byte_pattern,3,P3_current_grid_v1,FULL_CLEAR,user_exit,11,11,1.0,,375.244212,4127.686332,16863.43166042197,0.43315740000252845,cpu,0,0,11,0,0,118,110,f646560a9ee6ee2255038d24f08d28bed39916b903e10ada4d73d4781204966c,922dfbf24fd3fb84805fab8054f5806bd6632eacd9f8c56a2c71fc421f468d0b,6715d13abf8c010f2fc2139cfe9e5000ccff9f61dab7250fd98e80a0d028ae32,0,recovered_practice_engine_local,grid_v1,mec_center,11,0,1539.2764043839552,1539.2764043839552,0.0,0,0,19.93254323237545,0,2127.334321,1637.496728999999,0.0,0.0,362.8552820000013,0.0
4,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,byte_pattern,3,P3_current_grid_v1_nccp,FULL_CLEAR,user_exit,11,11,1.0,,373.1387581818182,4104.52634,16772.631707768964,0.41480959999898914,cpu,0,0,11,0,0,117,110,3f1f7923e2eaa2ea072e18ef2502688a129191128b4f17237edbf21f366dba17,922dfbf24fd3fb84805fab8054f5806bd6632eacd9f8c56a2c71fc421f468d0b,6715d13abf8c010f2fc2139cfe9e5000ccff9f61dab7250fd98e80a0d028ae32,0,recovered_practice_engine_local,grid_v1,nccp,11,0,1878.7513028307985,1978.093685483583,99.34238265278435,0,0,19.998999999999985,0,2128.3352050000003,1545.440874,0.0,0.0,430.75026100000036,0.0
5,5555555555555555555555555555555555555555555555555555555555555555,byte_pattern,3,P3_current_grid_v1,FULL_CLEAR,user_exit,13,13,1.0,,304.61398584615387,3959.981816,16169.909065681184,0.40098249999573454,cpu,0,0,13,0,0,111,106,f646560a9ee6ee2255038d24f08d28bed39916b903e10ada4d73d4781204966c,272c78947f468818b77a9dceeba71bfb434b723fc7e4bd538672a0dac9a63188,6715d13abf8c010f2fc2139cfe9e5000ccff9f61dab7250fd98e80a0d028ae32,0,recovered_practice_engine_local,grid_v1,mec_center,13,0,1067.094830453963,1067.094830453963,0.0,0,0,14.691732832401303,0,1632.6547620000001,2048.9080859999995,0.0,0.0,278.4189680000003,0.0
5,5555555555555555555555555555555555555555555555555555555555555555,byte_pattern,3,P3_current_grid_v1_nccp,FULL_CLEAR,user_exit,13,13,1.0,,303.04766561538463,3939.619653,16068.098268561434,0.41698949999408796,cpu,0,0,13,0,0,111,106,3f1f7923e2eaa2ea072e18ef2502688a129191128b4f17237edbf21f366dba17,272c78947f468818b77a9dceeba71bfb434b723fc7e4bd538672a0dac9a63188,6715d13abf8c010f2fc2139cfe9e5000ccff9f61dab7250fd98e80a0d028ae32,0,recovered_practice_engine_local,grid_v1,nccp,13,0,918.0139601747968,1067.094830453963,149.08087027916622,1,0,19.998999999999995,0,1637.3679200000001,2053.6489420000007,0.0,0.0,248.60279099999957,4.547473508864641e-13
6,0000000000000000000000000000000000000000000000000000000000000001,one_bit,3,P3_current_grid_v1,FULL_CLEAR,user_exit,11,11,1.0,,381.8998779090909,4200.898657,17419.49328895423,0.5182887999981176,cpu,0,0,11,0,0,112,102,f646560a9ee6ee2255038d24f08d28bed39916b903e10ada4d73d4781204966c,dd5b673e0658725ae31d48c8f8005cb08756242f86ec8d90a0c778aa5f964965,6715d13abf8c010f2fc2139cfe9e5000ccff9f61dab7250fd98e80a0d028ae32,0,recovered_practice_engine_local,grid_v1,mec_center,11,0,1088.3598919945712,1088.3598919945712,0.0,0,0,18.653359150041076,0,1690.1846959999998,2238.0419840000004,0.0,0.0,272.67197699999963,0.0
6,0000000000000000000000000000000000000000000000000000000000000001,one_bit,3,P3_current_grid_v1_nccp,FULL_CLEAR,user_exit,11,11,1.0,,378.17520581818184,4159.927264,17169.63632138852,0.4792827000055695,cpu,0,0,11,0,0,113,106,3f1f7923e2eaa2ea072e18ef2502688a129191128b4f17237edbf21f366dba17,dd5b673e0658725ae31d48c8f8005cb08756242f86ec8d90a0c778aa5f964965,6715d13abf8c010f2fc2139cfe9e5000ccff9f61dab7250fd98e80a0d028ae32,0,recovered_practice_engine_local,grid_v1,nccp,11,0,2099.9883496755406,2230.491274310014,130.50292463447346,0,0,19.999,0,1675.0705630000002,2009.85903,0.0,0.0,474.9976709999995,0.0
7,0000000000000000000000000000000000000000000000000000000000000002,one_bit,3,P3_current_grid_v1,FULL_CLEAR,user_exit,10,10,1.0,,342.6904363,3426.904363,13194.521819223331,0.3660948999968241,cpu,0,0,10,0,0,124,118,f646560a9ee6ee2255038d24f08d28bed39916b903e10ada4d73d4781204966c,0f15777b9f8ce3559d8ef6e661c5a994b025270e5723338bdfd56edcac892414,6715d13abf8c010f2fc2139cfe9e5000ccff9f61dab7250fd98e80a0d028ae32,0,recovered_practice_engine_local,grid_v1,mec_center,10,0,1968.433010026379,1968.433010026379,0.0,0,0,18.327784613454593,0,1464.2439380000003,1518.9738230000005,0.0,0.0,443.6866019999993,0.0
7,0000000000000000000000000000000000000000000000000000000000000002,one_bit,3,P3_current_grid_v1_nccp,FULL_CLEAR,user_exit,10,10,1.0,,341.51245009999997,3415.124501,13135.622508937344,0.3716143999990891,cpu,0,0,10,0,0,124,118,3f1f7923e2eaa2ea072e18ef2502688a129191128b4f17237edbf21f366dba17,0f15777b9f8ce3559d8ef6e661c5a994b025270e5723338bdfd56edcac892414,6715d13abf8c010f2fc2139cfe9e5000ccff9f61dab7250fd98e80a0d028ae32,0,recovered_practice_engine_local,grid_v1,nccp,10,0,1876.9575138138664,1968.4129768074288,91.45546299356226,0,0,19.998999999999995,0,1465.4233159999997,1524.309682,0.0,0.0,425.3915029999999,4.547473508864641e-13
8,0000000000000000000000000000000000000000000000000000000000000004,one_bit,3,P3_current_grid_v1,FULL_CLEAR,user_exit,16,16,1.0,,306.160853,4898.573648,21177.868250070398,0.6305121999976109,cpu,0,0,16,0,0,99,88,f646560a9ee6ee2255038d24f08d28bed39916b903e10ada4d73d4781204966c,bf2ea284830da4f97724848567a7669746a87e60e18056842fd6315379f1ab0f,6715d13abf8c010f2fc2139cfe9e5000ccff9f61dab7250fd98e80a0d028ae32,0,recovered_practice_engine_local,grid_v1,mec_center,16,0,2987.2765227881823,2987.2765227881823,0.0,0,0,19.97647952372061,0,1958.4699609999996,2262.648384,0.0,0.0,677.4553029999997,0.0
8,0000000000000000000000000000000000000000000000000000000000000004,one_bit,3,P3_current_grid_v1_nccp,FULL_CLEAR,user_exit,16,16,1.0,,304.9782560625,4879.652097,21083.26049972926,0.6455375000005006,cpu,0,0,16,0,0,99,88,3f1f7923e2eaa2ea072e18ef2502688a129191128b4f17237edbf21f366dba17,bf2ea284830da4f97724848567a7669746a87e60e18056842fd6315379f1ab0f,6715d13abf8c010f2fc2139cfe9e5000ccff9f61dab7250fd98e80a0d028ae32,0,recovered_practice_engine_local,grid_v1,nccp,16,0,2821.9906201527524,2982.7639590401322,160.77333888738008,0,0,19.998999999999995,0,1965.2848400000005,2269.9691329999987,0.0,0.0,644.3981240000012,0.0
9,0000000000000000000000000000000000000000000000000000000000000040,one_bit,3,P3_current_grid_v1,FULL_CLEAR,user_exit,15,15,1.0,,291.22918473333334,4368.437771,18477.188862051677,0.5627333000011276,cpu,0,0,15,0,0,101,93,f646560a9ee6ee2255038d24f08d28bed39916b903e10ada4d73d4781204966c,01936da6915c2cd97e502cd6b4fb3bf69aa0d60d401e10b65a76684813e0c76c,6715d13abf8c010f2fc2139cfe9e5000ccff9f61dab7250fd98e80a0d028ae32,0,recovered_practice_engine_local,grid_v1,mec_center,15,0,2649.5479635715255,2649.5479635715255,0.0,0,0,19.965717226312908,0,1634.270976999999,2129.2572020000007,0.0,0.0,604.909592,0.0
9,0000000000000000000000000000000000000000000000000000000000000040,one_bit,3,P3_current_grid_v1_nccp,FULL_CLEAR,user_exit,15,15,1.0,,290.0688836,4351.033254,18390.166286435287,0.5776850000038394,cpu,0,0,15,0,0,101,93,3f1f7923e2eaa2ea072e18ef2502688a129191128b4f17237edbf21f366dba17,01936da6915c2cd97e502cd6b4fb3bf69aa0d60d401e10b65a76684813e0c76c,6715d13abf8c010f2fc2139cfe9e5000ccff9f61dab7250fd98e80a0d028ae32,0,recovered_practice_engine_local,grid_v1,nccp,15,0,2504.156161487492,2652.736500171887,148.5803386843958,0,0,19.999,0,1642.217699,2132.9843230000006,0.0,0.0,575.8312319999998,0.0
10,0000000000000000000000000000000000000000000000000000000000001000,one_bit,3,P3_current_grid_v1,FULL_CLEAR,user_exit,10,10,1.0,,374.1362158,3741.362158,15251.810796361231,0.35772200000064913,cpu,0,0,10,0,0,108,101,f646560a9ee6ee2255038d24f08d28bed39916b903e10ada4d73d4781204966c,91875d626d35727adae39b4fea15e666d88381ff375515d72b97977144105366,6715d13abf8c010f2fc2139cfe9e5000ccff9f61dab7250fd98e80a0d028ae32,0,recovered_practice_engine_local,grid_v1,mec_center,9,1,1638.79623263128,1638.79623263128,0.0,0,0,18.916779637146945,0,2162.381999,1201.220913,0.0,0.0,377.7592459999998,0.0
