residual_quartile,states,residual_mean,belief_hit,R12_hit
Q1_low,771,917.3920692490273,0.1556420233463035,0.08949416342412451
Q2,771,2505.170477998703,0.5849546044098574,0.19844357976653695
Q3,770,4229.153319532467,0.7922077922077922,0.2714285714285714
Q4_high,771,6269.3170731465625,0.8430609597924773,0.5486381322957199
