id,step,N,confirmed,residual,planned_discovery_cost,belief_hit,R12_hit,residual_quartile
0,0,12,0,7778.525816,6716.991993972456,1.0,1.0,Q4_high
0,1,12,4,7659.525816,6882.02770730918,1.0,1.0,Q4_high
0,2,12,6,7138.900949000001,6308.547143873665,1.0,0.0,Q4_high
0,3,12,6,6741.360712000001,5655.182783943444,1.0,0.0,Q4_high
0,4,12,6,6069.379948,4919.985673126947,1.0,1.0,Q4_high
0,5,12,7,5895.3862690000005,4888.009850640818,1.0,0.0,Q4_high
0,6,12,7,5768.404126,4761.02770730918,1.0,0.0,Q4_high
0,7,12,7,5481.720937,4474.344518312075,1.0,1.0,Q4_high
0,8,12,8,5198.720937,4191.344518312075,1.0,0.0,Q4_high
0,9,12,8,4866.06761,3830.2370788656212,1.0,0.0,Q3
0,10,12,8,4240.992050000001,3466.743160393475,1.0,0.0,Q3
0,11,12,8,3958.9102190000003,3184.6613293149703,1.0,1.0,Q3
0,12,12,9,3687.9102190000003,2913.6613293149703,1.0,1.0,Q3
0,13,12,10,3396.1885780000002,2606.572500822254,1.0,1.0,Q3
0,14,12,11,3196.817948,2413.204839032229,1.0,0.0,Q2
0,15,12,11,2797.3524370000005,2253.443278499667,1.0,0.0,Q2
0,16,12,11,2417.9051550000004,1873.995996986228,0.0,0.0,Q2
0,17,12,11,2314.923012,1771.01385365459,0.0,1.0,Q2
0,18,12,12,2052.239823,1508.3306646574852,0.0,0.0,Q2
0,19,12,12,1388.5809600000002,1273.6100375664676,0.0,0.0,Q1_low
0,20,12,12,1045.301587,930.3306646574853,0.0,0.0,Q1_low
0,21,12,12,954.3194440000007,839.3485213258475,0.0,0.0,Q1_low
0,22,12,12,703.6362550000003,588.6653323287426,0.0,0.0,Q1_low
0,23,12,12,456.63625500000035,341.66533232874264,0.0,0.0,Q1_low
0,24,12,12,211.84469700000045,211.84469721118415,0.0,0.0,Q1_low
1,0,11,0,7606.615404,6716.991993972456,1.0,1.0,Q4_high
1,1,11,3,7487.615404,6882.02770730918,1.0,1.0,Q4_high
1,2,11,5,6931.18347,6004.281697246626,1.0,1.0,Q4_high
1,3,11,6,6776.911623,5850.0098506408185,1.0,0.0,Q4_high
1,4,11,6,6504.6006,5467.8903744029385,1.0,0.0,Q4_high
1,5,11,6,6171.353698,5138.326661643713,1.0,1.0,Q4_high
1,6,11,7,5876.353698,4843.326661643713,1.0,0.0,Q4_high
1,7,11,7,5737.371555,4704.344518312076,1.0,0.0,Q4_high
1,8,11,7,5438.688366,4405.66132931497,1.0,0.0,Q4_high
1,9,11,7,4960.133989,4002.69489456875,1.0,0.0,Q3
1,10,11,7,3832.817746,3446.398743288962,1.0,1.0,Q3
1,11,11,9,3534.398913,3267.190318238572,1.0,0.0,Q3
1,12,11,9,3386.905637,3119.697042651695,1.0,0.0,Q3
1,13,11,9,3277.9234940000006,3010.7148993200576,1.0,0.0,Q2
1,14,11,9,3009.2403050000003,2742.0317103229527,1.0,1.0,Q2
1,15,11,11,2744.2403050000003,2477.0317103229527,0.0,0.0,Q2
1,16,11,11,2241.503522,2237.475840077669,0.0,0.0,Q2
1,17,11,11,2111.3583470000003,2107.330664657485,0.0,0.0,Q2
1,18,11,11,1858.3583470000003,1854.3306646574852,0.0,0.0,Q2
1,19,11,11,1605.3583470000003,1601.3306646574852,0.0,0.0,Q1_low
1,20,11,11,1508.3762040000001,1504.3485213258475,0.0,0.0,Q1_low
1,21,11,11,746.960384,746.9603848286632,0.0,0.0,Q1_low
1,22,11,11,588.6653320000005,588.6653323287426,0.0,0.0,Q1_low
1,23,11,11,341.6653320000005,341.6653323287427,0.0,0.0,Q1_low
1,24,11,11,250.6831890000003,250.68318899710488,0.0,0.0,Q1_low
2,0,14,0,6705.604465,6716.991993972456,1.0,1.0,Q4_high
2,1,14,7,6586.604465,6882.02770730918,1.0,0.0,Q4_high
2,2,14,7,6176.008769,6146.863091653032,1.0,1.0,Q4_high
2,3,14,8,5344.134651,5164.418565333257,1.0,1.0,Q4_high
2,4,14,9,5036.680560000001,4763.576127914432,1.0,0.0,Q3
2,5,14,9,4895.413237000001,4622.308804975351,1.0,0.0,Q3
2,6,14,9,4618.413237000001,4345.308804975351,1.0,0.0,Q3
2,7,14,9,4497.4310940000005,4224.326661643713,1.0,0.0,Q3
2,8,14,9,4014.5785350000006,3814.3221012630625,1.0,0.0,Q3
2,9,14,9,3770.8999060000006,3570.643472646608,1.0,0.0,Q3
2,10,14,9,3655.9177630000004,3455.6613293149708,1.0,0.0,Q3
2,11,14,9,3381.2345740000005,3180.978140317866,1.0,0.0,Q3
2,12,14,9,3110.2345740000005,2909.978140317866,1.0,0.0,Q2
2,13,14,9,2995.2524310000003,2794.995996986228,1.0,1.0,Q2
2,14,14,10,2720.5692420000005,2520.312807989123,1.0,0.0,Q2
2,15,14,10,2302.173799,2071.2943953652143,1.0,1.0,Q2
2,16,14,12,2155.192212,1924.312807989123,1.0,0.0,Q2
2,17,14,12,2046.2100690000007,1815.3306646574852,1.0,0.0,Q2
2,18,14,12,1576.1662130000004,1332.368892654588,1.0,1.0,Q1_low
2,19,14,14,1449.7616070000004,1205.9642866632755,0.0,0.0,Q1_low
2,20,14,14,1170.3366860000006,1083.5554987575802,0.0,0.0,Q1_low
2,21,14,14,957.6929090000003,907.5787936020567,0.0,0.0,Q1_low
2,22,14,14,814.7794480000002,764.6653323287426,0.0,0.0,Q1_low
2,23,14,14,570.0962589999999,519.9821433316378,0.0,0.0,Q1_low
2,24,14,14,114.09402800000043,114.0940279003799,0.0,0.0,Q1_low
3,0,10,0,6808.465022,6716.991993972456,1.0,1.0,Q4_high
3,1,10,5,6689.465022,6882.02770730918,1.0,1.0,Q4_high
3,2,10,6,6227.520397,6177.394411579166,1.0,1.0,Q4_high
3,3,10,7,5922.226547,5780.245577968394,1.0,0.0,Q4_high
3,4,10,7,5707.008676,5565.02770730918,1.0,0.0,Q4_high
3,5,10,7,5568.026533,5426.045563977543,1.0,0.0,Q4_high
3,6,10,7,5269.343344000001,5127.362374980437,1.0,1.0,Q4_high
3,7,10,8,4974.343344000001,4832.362374980437,1.0,0.0,Q3
3,8,10,8,4835.361201000001,4693.3802316488,1.0,0.0,Q3
3,9,10,8,4370.048006000001,4059.69542860932,1.0,0.0,Q3
3,10,10,8,4178.031763000001,3867.679185983333,1.0,0.0,Q3
3,11,10,8,3564.2139370000004,3401.7513847103187,1.0,1.0,Q3
3,12,10,10,3202.999447,3134.3848052613575,0.0,0.0,Q2
3,13,10,10,3005.330291,2898.8570264389105,0.0,0.0,Q2
3,14,10,10,2675.9831030000005,2592.910101536784,0.0,0.0,Q2
3,15,10,10,2496.421523,2413.3485213258473,0.0,0.0,Q2
3,16,10,10,2237.421523,2154.3485213258473,0.0,0.0,Q2
3,17,10,10,2134.4393800000007,2051.3663779942094,0.0,0.0,Q2
3,18,10,10,1871.7561910000004,1788.6831889971047,0.0,0.0,Q2
3,19,10,10,1375.1091880000004,1375.1091885087926,0.0,0.0,Q1_low
3,20,10,10,956.6474750000007,956.6474756603805,0.0,0.0,Q1_low
3,21,10,10,703.6474750000007,703.6474756603805,0.0,0.0,Q1_low
3,22,10,10,606.6653320000005,606.6653323287426,0.0,0.0,Q1_low
3,23,10,10,349.9821430000002,349.98214333163776,0.0,0.0,Q1_low
3,24,10,10,96.98214300000018,96.98214333163779,0.0,0.0,Q1_low
4,0,15,0,7464.343625,6716.991993972456,1.0,1.0,Q4_high
4,1,15,5,7345.343625,6882.02770730918,1.0,1.0,Q4_high
4,2,15,8,6850.407086,5995.152662508521,1.0,0.0,Q4_high
4,3,15,8,6308.55515,5715.145013669409,1.0,0.0,Q4_high
4,4,15,8,6138.736798,5545.326661643713,1.0,0.0,Q4_high
4,5,15,8,5993.754655000001,5400.344518312075,1.0,0.0,Q4_high
4,6,15,8,5402.906328000001,4718.405289992674,1.0,1.0,Q4_high
4,7,15,10,5051.712847000001,4284.384878091819,1.0,1.0,Q3
4,8,15,11,4762.438178,4064.9607275764047,1.0,0.0,Q3
4,9,15,11,4605.8219690000005,3908.3445183120757,1.0,0.0,Q3
4,10,15,11,4003.9823550000006,3555.9416430311467,1.0,1.0,Q3
4,11,15,12,3690.7198980000003,3242.6791859833324,1.0,1.0,Q3
4,12,15,13,3330.847304000001,2962.517056459961,1.0,0.0,Q3
4,13,15,13,3106.2960310000008,2683.1829403931647,1.0,1.0,Q2
4,14,15,14,2891.1269440000005,2468.01385365459,0.0,0.0,Q2
4,15,15,14,2489.082254000001,2209.923789463901,0.0,0.0,Q2
4,16,15,14,2187.172318000001,1908.01385365459,0.0,0.0,Q2
4,17,15,14,2096.1901750000006,1817.0317103229522,0.0,0.0,Q2
