seed,stress,variant,total,cleared,clear_rate,error,mean_time_per_source,distance,fallback_count,grid_points,clear_attempts,optical_clear_attempts,diagnostic_count,detect_count,switch_count,runtime,config_hash
9,edge,P4_diagnostic_v2,12,12,1.0,,1038.7207554745307,42898.245328471865,0,0,12,0,0,645,600,1.4142818999989686,307bdde9bb28e4e31fe57181341b7fbf2ce954ab6927a71e683371dd70a5a695
10,bias,P4_current,15,15,1.0,,795.4526470298948,45143.94852724209,1,28,27,13,0,472,432,1.2496282000010979,2fa715e1dcfd6fc70fc744e5c9d93d446823ad806bed0b77d6bace9168105808
10,bias,P4_diagnostic_v1,15,15,1.0,,790.9738203288537,44933.03652466402,0,0,15,0,2,474,433,1.3618998999991163,20e64799f04f01d1fb1b5464620a5f79d1600c80ea31ba792e04019f6bab6949
10,bias,P4_diagnostic_v2,15,15,1.0,,791.3453996377568,44935.90497283175,0,0,15,0,3,475,433,2.222181900000578,307bdde9bb28e4e31fe57181341b7fbf2ce954ab6927a71e683371dd70a5a695
11,cluster,P4_current,10,10,1.0,,1099.1949797980787,34569.74898990393,0,0,10,0,0,679,633,1.2064214999991236,2fa715e1dcfd6fc70fc744e5c9d93d446823ad806bed0b77d6bace9168105808
11,cluster,P4_diagnostic_v1,10,10,1.0,,1099.1949797980787,34569.74898990393,0,0,10,0,0,679,633,1.1189207000006718,20e64799f04f01d1fb1b5464620a5f79d1600c80ea31ba792e04019f6bab6949
11,cluster,P4_diagnostic_v2,10,10,1.0,,1099.1949797980787,34569.74898990393,0,0,10,0,0,679,633,1.090013099999851,307bdde9bb28e4e31fe57181341b7fbf2ce954ab6927a71e683371dd70a5a695
12,random,P4_current,14,14,1.0,,3093.9703594384487,192957.9251606915,3,729,455,444,0,562,521,1.2757845999985875,2fa715e1dcfd6fc70fc744e5c9d93d446823ad806bed0b77d6bace9168105808
12,random,P4_diagnostic_v1,14,14,1.0,,891.9390968578822,45290.736780051746,0,0,14,0,5,567,524,1.619402700000137,20e64799f04f01d1fb1b5464620a5f79d1600c80ea31ba792e04019f6bab6949
12,random,P4_diagnostic_v2,14,14,1.0,,887.9401522939954,45010.810660579664,0,0,14,0,5,567,524,2.8833286999997654,307bdde9bb28e4e31fe57181341b7fbf2ce954ab6927a71e683371dd70a5a695
