audit,delta,directional_count,full,historical_B,historical_failed,id,revised_B,revised_failed,scene_hash,total
True,0.0,7,True,456.8066302857143,0,988,456.8066302857143,0,bc304a221be3fecf9c1c6e4650a824fe85f8f4075862538ef5b407630fb4d32c,14
True,0.0,11,True,463.4394099333333,0,989,463.4394099333333,0,26dcabd1029636332a9c855d892c8911d0280be68326a4aafe22fc02bd8ce5d5,15
True,0.0,5,True,668.9411917,0,990,668.9411917,0,1fad2122cf6167d2937d38ac0f321e5137d6d30f7c248db06c645f095f4b69a7,10
True,0.0,10,True,602.0300711666666,0,991,602.0300711666666,0,7a69a8fd0929049cc5a797ce578218cad1337b7509a131cf2202a016f700e90a,12
True,0.0,9,True,505.7988681428571,0,992,505.7988681428571,0,6f764d5fa4a9fa83c7886746e2589133d463f27a1ffb5c0d639a010c90b20f8a,14
True,0.0,5,True,373.9836945,0,993,373.9836945,0,aeb337a02c5245bdd16873beb0d392372e173f96a6a15bd5cc712ff8294affe8,16
True,0.0,6,True,456.2618220714286,0,994,456.2618220714286,0,7897d84b3d03ecd9460148c21b1843d12566a214227cd990382083355a917714,14
True,0.0,3,True,520.655443,0,995,520.655443,0,e8f245effecbe5755bb289ae95ce344fc5ff6879dfab572ebf472220c51559f8,12
True,0.0,3,True,635.620846,0,996,635.620846,0,026733830322ea208c5b8bf6fb8ffac8b25ed3669c7035596b3e1db7b6dad980,10
True,0.03868441666668332,5,True,532.6402999166667,0,997,532.6789843333333,0,fb261169fb54be70d0fda140a42b7a1ad10e0e64dfd30e609a2e49d74602d0e3,12
True,0.0,7,True,436.3547643333333,0,998,436.3547643333333,0,009bd47919ef54848859bf5cec0a125c9142dceab2feb036a0e157109a2af439,15
True,-0.03656981818176064,1,True,593.2207958181817,0,999,593.184226,0,4d73347d76c236d97686ef7da155d96d467ed27810438328cf318a70c6f1fb8c,11
