id,step,node,probability_range,mean_probability
14,7,0,6.409660720430033e-05,0.35519683062980384
14,7,1,0.0002940740270476194,0.3158359831051107
14,7,2,0.0002525355883596925,0.5605387022761108
14,7,3,0.00014888233283116836,0.7288734859863002
14,7,4,0.0003356533343706891,0.6896230340838051
14,7,5,0.00029027164647943415,0.6929049327921867
14,7,6,4.543583893368286e-05,0.6563840861985958
14,7,7,0.0003217323342333822,0.8115066895506461
14,7,8,0.00014059869522820012,0.7292830583701201
14,7,9,0.0004110224491600256,0.6897368717033013
14,7,10,0.00023460258159779812,0.5695876918633485
14,7,11,0.00029062001846369423,0.6629663680395353
14,7,12,0.00013695358593790452,0.4274218921625577
14,7,13,0.00037774686817793057,0.3965828978951637
14,7,14,6.701770907513449e-05,0.21041615376545095
14,7,15,0.00010452090133539205,0.1682051091659834
14,7,16,0.00010332252517319951,0.18199112141185148
14,7,17,0.00017299506410028975,0.09885560850978714
17,1,0,0.00018499224078716292,0.8683275458286754
17,1,1,4.9329895427163706e-05,0.8683664594649686
17,1,2,0.00017772913797919898,0.8042715061177766
17,1,3,9.904047498920932e-05,0.7591153163302738
17,1,4,0.0004052815008297461,0.7384209363809043
17,1,5,4.2371810325625425e-05,0.8041923518253017
17,1,6,0.0001850526769663352,0.7590662969602547
17,1,7,0.00023089030970724345,0.7385213514155144
17,1,8,2.7852437718189904e-05,0.8042255650118898
17,1,9,4.878596943314051e-05,0.7590828355786351
17,1,10,0.0002437029920424605,0.7386157096712457
17,1,11,0.0001665059424286186,0.8042911029258365
17,1,12,2.2390458650711764e-05,0.7590514820127808
17,1,13,0.00022204327731867313,0.738616610122984
17,1,14,0.0001546464500828959,0.8683057815357405
17,1,15,0.0001854445562664564,0.8042237244814885
17,1,16,0.00014339824766673726,0.7591239581427193
17,1,17,0.00034947215308600565,0.7384998436229457
17,1,18,7.006791598884732e-05,0.8041809615121714
17,1,19,0.0003436020799849615,0.7590399294734181
17,1,20,0.00027552567385757953,0.7384808015848975
17,1,21,0.00013510182061016174,0.8682839823662972
17,1,22,0.000162030919610201,0.8683610353271183
17,1,23,0.00013615593032967332,0.8683532883749434
19,11,0,0.0001376314527108402,0.06556942280986733
19,11,1,9.296636418210102e-05,0.0709968568718106
19,11,2,0.00011639356312043159,0.1290347725065141
19,11,3,0.0003092631308158067,0.3051268510925403
19,11,4,3.520192629935526e-05,0.2793916385386199
19,11,5,0.00025632143378717664,0.43565334362538155
19,11,6,0.0001314682498918529,0.5191049460187981
19,11,7,0.00010776112852539654,0.5720951557735788
19,11,8,0.00011118459669801073,0.5356860109482575
19,11,9,0.00012452963435272135,0.43521245986845747
19,11,10,0.00034057865608305704,0.5189251684823291
19,11,11,0.00016745668235629285,0.29375086163009384
19,11,12,0.00023912902011713477,0.2677480678465241
19,11,13,0.00023863164102078116,0.07350259287667664
25,20,0,0.00018483966879989655,0.0178764053828319
25,20,1,0.00014436747290302865,0.11916830349899328
25,20,2,0.00044293821759322505,0.1644735518905817
25,20,3,0.0002828607215543677,0.1805763707803418
25,20,4,0.00027107462053299614,0.10301336762005193
26,17,0,0.00013985502529689775,0.018540182479111267
26,17,1,0.00034397055339452365,0.38220195377808586
26,17,2,0.0005872764633817473,0.3049624410248154
26,17,3,0.0003710084921210166,0.28600179072883264
26,17,4,0.0002710069379538993,0.41891861233494404
26,17,5,0.00013950088968539553,0.3738602082068326
26,17,6,0.000619519326813589,0.3617828563921093
26,17,7,6.448630616029405e-05,0.11768761200978221
32,5,0,9.533041275111565e-05,0.12038987315516574
32,5,1,0.0002358703313366517,0.42793385989555155
32,5,2,0.00013779420791348862,0.39544034329675243
32,5,3,0.00037514813649075496,0.5866885183232659
32,5,4,0.0002955314569561551,0.7492643996054204
32,5,5,0.0002832897506195309,0.709169567348261
32,5,6,0.00041817452122927534,0.7127256887344579
32,5,7,0.00013150515594340106,0.8404717944554124
32,5,8,0.00022957357969854986,0.6818749712108682
32,5,9,3.5898820351487615e-05,0.8404779740650437
32,5,10,0.0002454254265125133,0.6819771594088856
32,5,11,0.00019629999922798902,0.12041608206523764
32,5,12,0.0005565999591446991,0.39553888415238186
32,5,13,0.0004031550385913407,0.4278846768272954
32,5,14,9.891798977723631e-05,0.586647361879599
32,5,15,0.00017315223557035075,0.7492776161550809
32,5,16,0.0001827338660616018,0.7092113720132417
32,5,17,0.0002601423223347332,0.7127105044995069
32,5,18,0.0002316304428753302,0.7801781327868476
32,5,19,8.036284689505457e-05,0.733967154340133
33,0,0,1.919368775027408e-09,0.9961091931472348
33,0,1,1.995365085760703e-05,0.9884783526251321
33,0,2,1.3488892944502062e-05,0.9884970091390434
33,0,3,0.0003257247351771131,0.833618431132129
33,0,4,6.608931327023448e-05,0.8594183468614548
33,0,5,9.182615829073093e-05,0.9132285764481121
