id,step,known,classes,max_range,top3_same,gap3_max,gap3_min,count_tv,replay_pass,zero_event
14,7,10,1,0.0004110224491600256,True,0.036150566137208795,0.035750857657669055,8.714820829938859e-05,3,False
17,1,4,1,0.0004052815008297461,False,7.281477661380542e-05,1.410816458735642e-05,1.3436041891579098e-07,3,False
19,11,14,1,0.00034057865608305704,False,0.0003319892237205746,4.897218211574739e-05,0.00013718423332724494,3,False
25,20,15,1,0.00044293821759322505,True,0.016232958107152418,0.01602271760959162,0.000135106888033365,3,False
26,17,14,1,0.000619519326813589,True,0.012406817172376683,0.011817963832817302,0.00030449785091681003,3,False
32,5,8,1,0.0005565999591446991,True,0.030966981627517765,0.030832443467545434,5.72905427530801e-05,3,False
33,0,0,1,0.0003257247351771131,False,2.1363778367700093e-05,2.2190271725675004e-06,0.0,3,False
35,3,9,1,0.0003874374628914934,True,0.03175110993647656,0.031569155872712695,9.635107980194083e-05,3,False
77,17,14,1,0.0006482378982080039,True,0.02446016732815237,0.024224219117753854,0.0003071739372253329,3,False
98,4,12,1,0.0006844378694611519,False,7.883189182900097e-05,4.612538581105774e-05,7.857041790330921e-05,3,False
126,11,10,1,0.0005409151791497813,True,0.035492969531145446,0.03514474527347733,8.223069969240382e-05,3,False
140,18,14,1,0.0004956663163042663,True,0.012447807875154648,0.011939265094892848,0.00014122030026615662,3,False
180,17,15,1,0.0004129590327283106,True,0.010267737430701085,0.00988008836949017,9.528791394114444e-05,3,False
183,3,8,1,0.0005114974743212208,True,0.042643878432811255,0.042374025664669746,0.00015637757899329696,3,False
209,14,13,1,0.0003141871459180212,True,0.0009794160208097535,0.000847331189236189,0.00014812295004968182,3,False
211,13,13,1,0.0006031437160343156,True,0.012124864381921618,0.011555175386748218,0.00026978311884399975,3,False
225,13,14,1,0.0005565745200635241,True,0.011290706894233504,0.011134458452287332,0.0001809453036797637,3,False
274,14,13,1,0.000526126858910736,True,0.00746471715234498,0.00703499083480752,0.00017449101650302,0,False
285,3,7,1,0.0006187410096530899,True,0.030368063351431496,0.030169020192135854,5.335693113641543e-05,3,False
290,8,11,1,0.0004914815595072897,True,0.03800270153463903,0.03790188953466023,3.2724562661731044e-05,3,False
310,3,12,1,0.0004325261086640664,True,0.035221143233935104,0.034918901005080216,6.351859003990087e-05,3,False
345,12,14,1,0.0002660504155203025,True,0.0002843737330788798,2.3557980981303572e-05,6.848229973147046e-05,3,False
418,10,11,1,0.0005732052245722707,True,0.03751039343644247,0.036994279397208785,8.143784343110638e-05,3,False
430,21,15,1,0.00038530900305844273,True,0.011013324686550807,0.010892199064093888,0.00021329631184791031,3,False
472,4,14,1,0.00039906161219049885,False,0.00018071341780201422,0.00012998774187411577,4.817519983869867e-05,3,False
479,21,15,1,0.00024210458841800175,True,0.01947642726464316,0.019416759857634358,0.0002493356654734574,3,False
484,1,7,1,0.00039564501587452394,False,0.00010205838193677597,2.0837611336421702e-07,5.3157720638491446e-08,3,False
486,11,14,1,0.0002646447226133386,True,0.0401167575138639,0.03998795869746852,1.9826592233519735e-05,3,False
499,14,14,1,0.0006823359221690417,True,0.008086328721392477,0.007434192933318817,0.00013688897683267198,3,False
500,16,14,1,0.000726413115220037,True,0.0033143283293011194,0.002813682049824462,0.000393174416582473,3,False
527,17,11,1,0.0005891493310155038,True,0.03822864337448473,0.03779387185444927,0.00025532156158077253,3,False
