seed,stress,variant,total,cleared,clear_rate,error,mean_time_per_source,distance,fallback_count,grid_points,clear_attempts,optical_clear_attempts,diagnostic_count,detect_count,switch_count,runtime,config_hash
0,random,P4_current,15,15,1.0,,788.3541880622281,42996.564104667086,0,0,15,0,0,533,486,2.7840542000012647,2fa715e1dcfd6fc70fc744e5c9d93d446823ad806bed0b77d6bace9168105808
0,random,P4_diagnostic_v1,15,15,1.0,,788.3541880622281,42996.564104667086,0,0,15,0,0,533,486,3.0036369000008563,20e64799f04f01d1fb1b5464620a5f79d1600c80ea31ba792e04019f6bab6949
0,random,P4_diagnostic_v2,15,15,1.0,,788.3541880622281,42996.564104667086,0,0,15,0,0,533,486,2.848793500001193,307bdde9bb28e4e31fe57181341b7fbf2ce954ab6927a71e683371dd70a5a695
0,random,P4_route_only,15,15,1.0,,788.3541880622281,42996.564104667086,0,0,15,0,0,533,486,2.8005952000003163,7137893ecb99cb1d66ea52c4632cb5aa1efd276b6882c4f93f74497d2cbdf232
1,edge,P4_current,13,13,1.0,,1043.168478135827,46880.95107882881,1,200,195,183,0,603,559,2.2319112999994104,2fa715e1dcfd6fc70fc744e5c9d93d446823ad806bed0b77d6bace9168105808
1,edge,P4_diagnostic_v1,13,13,1.0,,893.9229684410662,39859.9929486693,0,0,13,0,2,605,559,2.3719187999995484,20e64799f04f01d1fb1b5464620a5f79d1600c80ea31ba792e04019f6bab6949
1,edge,P4_diagnostic_v2,13,13,1.0,,893.1953055292282,39787.694859399824,0,0,13,0,3,606,559,3.8148567999996885,307bdde9bb28e4e31fe57181341b7fbf2ce954ab6927a71e683371dd70a5a695
1,edge,P4_route_only,13,13,1.0,,975.3582854396301,42473.288553575956,1,200,195,183,0,603,559,2.324345600000015,7137893ecb99cb1d66ea52c4632cb5aa1efd276b6882c4f93f74497d2cbdf232
2,bias,P4_current,15,15,1.0,,710.9882340315885,39674.117552369135,0,0,15,0,0,449,410,2.0384145000007265,2fa715e1dcfd6fc70fc744e5c9d93d446823ad806bed0b77d6bace9168105808
2,bias,P4_diagnostic_v1,15,15,1.0,,710.9882340315885,39674.117552369135,0,0,15,0,0,449,410,2.029747300000963,20e64799f04f01d1fb1b5464620a5f79d1600c80ea31ba792e04019f6bab6949
2,bias,P4_diagnostic_v2,15,15,1.0,,710.9882340315885,39674.117552369135,0,0,15,0,0,449,410,2.1051423999997496,307bdde9bb28e4e31fe57181341b7fbf2ce954ab6927a71e683371dd70a5a695
2,bias,P4_route_only,15,15,1.0,,710.9882340315885,39674.117552369135,0,0,15,0,0,449,410,1.8305742000011378,7137893ecb99cb1d66ea52c4632cb5aa1efd276b6882c4f93f74497d2cbdf232
3,cluster,P4_current,15,15,1.0,,718.769676240665,35642.725718049885,2,620,15,2,0,604,558,1.5669264999996813,2fa715e1dcfd6fc70fc744e5c9d93d446823ad806bed0b77d6bace9168105808
3,cluster,P4_diagnostic_v1,15,15,1.0,,847.1656705407994,42092.42529055997,1,312,218,204,5,609,560,1.7779528999999457,20e64799f04f01d1fb1b5464620a5f79d1600c80ea31ba792e04019f6bab6949
3,cluster,P4_diagnostic_v2,15,15,1.0,,748.2521419609759,37718.9106470732,0,0,15,0,5,609,560,3.277040000000852,307bdde9bb28e4e31fe57181341b7fbf2ce954ab6927a71e683371dd70a5a695
3,cluster,P4_route_only,15,15,1.0,,756.3357088162339,37695.17816121755,2,620,66,53,0,604,558,1.4432927000016207,7137893ecb99cb1d66ea52c4632cb5aa1efd276b6882c4f93f74497d2cbdf232
4,random,P4_current,15,15,1.0,,889.9794494139888,52308.45870604912,2,425,114,101,0,428,376,1.7698665000007168,2fa715e1dcfd6fc70fc744e5c9d93d446823ad806bed0b77d6bace9168105808
4,random,P4_diagnostic_v1,15,15,1.0,,741.4106480522577,42540.7986039193,0,0,15,0,4,432,378,2.0292220000010275,20e64799f04f01d1fb1b5464620a5f79d1600c80ea31ba792e04019f6bab6949
4,random,P4_diagnostic_v2,15,15,1.0,,737.8721988295205,42300.41491221401,0,0,15,0,3,431,378,2.4530611999998655,307bdde9bb28e4e31fe57181341b7fbf2ce954ab6927a71e683371dd70a5a695
4,random,P4_route_only,15,15,1.0,,842.3689638921127,46832.67229190843,2,425,241,228,0,428,376,1.6185377000001608,7137893ecb99cb1d66ea52c4632cb5aa1efd276b6882c4f93f74497d2cbdf232
5,edge,P4_current,14,14,1.0,,862.2801279970948,40949.60895979667,5,346,45,36,0,627,584,2.2442745000007562,2fa715e1dcfd6fc70fc744e5c9d93d446823ad806bed0b77d6bace9168105808
5,edge,P4_diagnostic_v1,14,14,1.0,,861.2996626139072,41125.976382973495,1,10,17,4,6,633,589,2.741192299999966,20e64799f04f01d1fb1b5464620a5f79d1600c80ea31ba792e04019f6bab6949
5,edge,P4_diagnostic_v2,14,14,1.0,,846.5418336516041,40137.92835561229,0,0,14,0,6,633,589,4.240953999998965,307bdde9bb28e4e31fe57181341b7fbf2ce954ab6927a71e683371dd70a5a695
5,edge,P4_route_only,14,14,1.0,,879.5970505855582,41351.79354098908,5,346,99,90,0,627,584,2.257169200000135,7137893ecb99cb1d66ea52c4632cb5aa1efd276b6882c4f93f74497d2cbdf232
6,bias,P4_current,13,13,1.0,,1074.4930981752784,54017.0513813931,1,325,94,82,0,485,432,1.5018682999998418,2fa715e1dcfd6fc70fc744e5c9d93d446823ad806bed0b77d6bace9168105808
6,bias,P4_diagnostic_v1,13,13,1.0,,886.9920381418872,42994.482479222665,0,0,13,0,2,487,432,1.5900970999991841,20e64799f04f01d1fb1b5464620a5f79d1600c80ea31ba792e04019f6bab6949
6,bias,P4_diagnostic_v2,13,13,1.0,,881.4253373594157,42632.64692836203,0,0,13,0,2,487,432,2.064215399999739,307bdde9bb28e4e31fe57181341b7fbf2ce954ab6927a71e683371dd70a5a695
6,bias,P4_route_only,13,13,1.0,,905.8169491578869,43338.101695262645,1,325,75,63,0,485,432,1.4474484999991546,7137893ecb99cb1d66ea52c4632cb5aa1efd276b6882c4f93f74497d2cbdf232
7,cluster,P4_current,16,16,1.0,,674.4242894002048,35648.94315201636,0,0,16,0,0,605,556,1.9392019000006258,2fa715e1dcfd6fc70fc744e5c9d93d446823ad806bed0b77d6bace9168105808
7,cluster,P4_diagnostic_v1,16,16,1.0,,674.4242894002048,35648.94315201636,0,0,16,0,0,605,556,1.8648766999995132,20e64799f04f01d1fb1b5464620a5f79d1600c80ea31ba792e04019f6bab6949
7,cluster,P4_diagnostic_v2,16,16,1.0,,674.4242894002048,35648.94315201636,0,0,16,0,0,605,556,1.8826129999997647,307bdde9bb28e4e31fe57181341b7fbf2ce954ab6927a71e683371dd70a5a695
7,cluster,P4_route_only,16,16,1.0,,674.4242894002048,35648.94315201636,0,0,16,0,0,605,556,1.9339181000013923,7137893ecb99cb1d66ea52c4632cb5aa1efd276b6882c4f93f74497d2cbdf232
8,random,P4_current,15,15,1.0,,1879.6293721901027,123227.20291425771,1,308,207,193,0,491,443,1.596460400000069,2fa715e1dcfd6fc70fc744e5c9d93d446823ad806bed0b77d6bace9168105808
8,random,P4_diagnostic_v1,15,15,1.0,,805.2796477296046,45480.97357972035,0,0,15,0,2,493,443,1.6794208999999682,20e64799f04f01d1fb1b5464620a5f79d1600c80ea31ba792e04019f6bab6949
8,random,P4_diagnostic_v2,15,15,1.0,,800.9886998119166,45159.152485893734,0,0,15,0,2,493,443,2.1756191000004037,307bdde9bb28e4e31fe57181341b7fbf2ce954ab6927a71e683371dd70a5a695
8,random,P4_route_only,15,15,1.0,,874.5558395049768,48206.68796287325,1,308,183,169,0,491,443,1.6115766000002623,7137893ecb99cb1d66ea52c4632cb5aa1efd276b6882c4f93f74497d2cbdf232
9,edge,P4_current,12,12,1.0,,1038.7207554745307,42898.245328471865,0,0,12,0,0,645,600,1.5799361000008503,2fa715e1dcfd6fc70fc744e5c9d93d446823ad806bed0b77d6bace9168105808
9,edge,P4_diagnostic_v1,12,12,1.0,,1038.7207554745307,42898.245328471865,0,0,12,0,0,645,600,1.7169063000001188,20e64799f04f01d1fb1b5464620a5f79d1600c80ea31ba792e04019f6bab6949
9,edge,P4_diagnostic_v2,12,12,1.0,,1038.7207554745307,42898.245328471865,0,0,12,0,0,645,600,1.6293822999996337,307bdde9bb28e4e31fe57181341b7fbf2ce954ab6927a71e683371dd70a5a695
9,edge,P4_route_only,12,12,1.0,,1038.7207554745307,42898.245328471865,0,0,12,0,0,645,600,1.6896462999993673,7137893ecb99cb1d66ea52c4632cb5aa1efd276b6882c4f93f74497d2cbdf232
10,bias,P4_current,15,15,1.0,,795.4526470298948,45143.94852724209,1,28,27,13,0,472,432,1.4899543999999878,2fa715e1dcfd6fc70fc744e5c9d93d446823ad806bed0b77d6bace9168105808
10,bias,P4_diagnostic_v1,15,15,1.0,,790.9738203288537,44933.03652466402,0,0,15,0,2,474,433,1.6697677000011026,20e64799f04f01d1fb1b5464620a5f79d1600c80ea31ba792e04019f6bab6949
10,bias,P4_diagnostic_v2,15,15,1.0,,791.3453996377568,44935.90497283175,0,0,15,0,3,475,433,2.8324375999982294,307bdde9bb28e4e31fe57181341b7fbf2ce954ab6927a71e683371dd70a5a695
10,bias,P4_route_only,15,15,1.0,,793.9128947217267,44968.4671041295,1,28,31,17,0,472,432,1.6790842999998858,7137893ecb99cb1d66ea52c4632cb5aa1efd276b6882c4f93f74497d2cbdf232
11,cluster,P4_current,10,10,1.0,,1099.1949797980787,34569.74898990393,0,0,10,0,0,679,633,1.5664390999991156,2fa715e1dcfd6fc70fc744e5c9d93d446823ad806bed0b77d6bace9168105808
11,cluster,P4_diagnostic_v1,10,10,1.0,,1099.1949797980787,34569.74898990393,0,0,10,0,0,679,633,1.8300759000012476,20e64799f04f01d1fb1b5464620a5f79d1600c80ea31ba792e04019f6bab6949
11,cluster,P4_diagnostic_v2,10,10,1.0,,1099.1949797980787,34569.74898990393,0,0,10,0,0,679,633,1.7541180000007444,307bdde9bb28e4e31fe57181341b7fbf2ce954ab6927a71e683371dd70a5a695
11,cluster,P4_route_only,10,10,1.0,,1099.1949797980787,34569.74898990393,0,0,10,0,0,679,633,1.803423199999088,7137893ecb99cb1d66ea52c4632cb5aa1efd276b6882c4f93f74497d2cbdf232
