arm,n,mean,median,p95,p99,maximum,cvar90,normalized_variance,cv,mean_distance,mean_runtime,mean_discovery_s,mean_clear_attempts
MYOPIC,128,808.4582907573168,830.2149015714286,1097.9424293149998,1179.0821870910002,1229.9335268999998,1119.7900041005682,0.06823888111213587,0.2612257282737209,40857.89766697226,1.8480146765627978,7941.925725257813,14.84375
R12,128,564.3390175796569,579.968398172619,730.44279947,743.9927499340001,760.323520090909,727.4053021330967,0.036052430286940794,0.18987477527818378,25261.77245898409,1.4560923023434498,4919.804525117188,14.140625
TERMINAL,128,611.9508033485972,615.96416,819.952886045,903.7497555010002,928.0549426363636,838.9577925617899,0.04819259100596794,0.2195281098309917,28776.79845488318,3.907640488281345,5517.732621515625,14.65625
