id,cohort,family,variant,run_status,error,total,cleared,virtual_time_s,mean_time_per_source,original_time_per_cleared,distance,detect_count,switch_count,clear_attempts,failed_clears,runtime_s,completion_reason,engine_end_reason,fallback_count,diagnostic_count,directional_count,scene_hash,source_hash,config_hash,remaining_tracks,transport,stage_discovery_s,stage_active_localization_s,stage_diagnostic_s,stage_optical_fallback_s,stage_certified_clear_s,first_source_first_seen_s,last_source_first_seen_s,last_source_first_seen_per_source_s,final_discovery_measure_s,post_last_seen_discovery_s,post_all_cleared_discovery_s,post_last_seen_discovery_measures,post_all_cleared_discovery_measures,discovery_nodes,discovery_measures,discovery_travel_s,discovery_measure_s,discovery_switch_s,known_actual_count,known_actual_measure_s,known_actual_switch_s,unseen_actual_count,unseen_actual_measure_s,unseen_actual_switch_s,absent_channel_count,absent_channel_measure_s,absent_channel_switch_s,audit_passed,known16_reached,known16_enabled,known16_time_s,known16_cleared,known16_unresolved,post_known16_s,conservative_set_checks,known16_enabled_from_config
4,development,native_unconditioned,MYOPIC,FULL_CLEAR,,13,13,10963.832758,843.3717506153846,843.3717506153846,44694.1637810216,331,305,13,0,1.8567449000111083,coverage_exhausted,user_exit,0,3,11,fdf7e1c823ed118505b9c55a48bd2c46fcb591618b28a86501f00af8dec3c1c4,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,d1b68e7eb9d5e7118fca8e72cf6ec887287ef5cef5d2770eba3eb0264fd441d4,0,core,9061.062963000002,823.038490999999,249.48825099999885,0.0,830.2430530000005,47.0,5946.871054,457.45161953846156,10963.832758,4109.309402000002,2073.872225000001,88,35,25,314,7195.062963000002,1570.0,296.0,64.0,320.0,58.0,75.0,375.0,70.0,175.0,875.0,168.0,True,False,False,,,,,107,True
3,development,native_unconditioned,MYOPIC,FULL_CLEAR,,16,16,8020.848962,501.303060125,501.303060125,32129.24483540677,221,197,87,71,2.3496789000055287,public_max_cleared,user_exit,2,8,13,2390957f7ebc9b6df815eb54897a4dd758e671163bb91c9df49110160e2f33b0,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,d1b68e7eb9d5e7118fca8e72cf6ec887287ef5cef5d2770eba3eb0264fd441d4,0,core,4262.176158000001,1871.2398059999996,689.7562109999999,562.8598100000008,634.8169769999986,23.0,5943.68986,371.48061625,5943.68986,0.0,0.0,0,0,16,193,3112.176158000001,965.0,185.0,39.0,195.0,36.0,91.0,455.0,89.0,63.0,315.0,60.0,True,True,False,5943.68986,13.0,3.0,2077.1591019999996,170,True
5,development,native_unconditioned,R12,FULL_CLEAR,,12,12,7836.540991,653.0450825833333,653.0450825833333,27192.704955760044,369,343,62,50,1.418753599995398,coverage_exhausted,user_exit,1,5,8,fb959885ad15f4d47fdd2b17a19513a43a3dc548262e7c152f8193f5de36b579,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,f4f34db6344c0505716325c50d6ad76e327d6a7b904ff57f371e2f512518b98a,0,core,4977.642842000003,1361.1623679999993,401.2310670000006,420.5683039999999,675.9364099999968,71.0,6659.356763,554.9463969166667,7391.443237,393.0699140000006,0.0,38,0,25,354,2873.642842000003,1770.0,334.0,31.0,155.0,25.0,123.0,615.0,122.0,200.0,1000.0,187.0,True,False,True,,,,,120,True
2,development,native_unconditioned,TERMINAL,FULL_CLEAR,,16,16,5581.910013,348.8693758125,348.8693758125,22389.550070635338,173,159,16,0,3.7850926000101026,public_max_cleared,user_exit,0,6,6,255f4b27ad9d9dc004535cff900d0f99e20ad32d86e819a25eed57447518da85,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,6f9765478195c174c5282232c9e75845d20729b7273d9911eb7ad8ce50b68aaa,0,core,2623.717688999999,1668.4773880000007,772.751972,0.0,516.9629639999997,5.0,3690.997837,230.6873648125,3690.997837,0.0,0.0,0,0,10,149,1735.7176889999992,745.0,143.0,46.0,230.0,44.0,63.0,315.0,59.0,40.0,200.0,40.0,True,True,False,3690.997837,9.0,7.0,1890.9121759999998,102,True
6,development,native_unconditioned,R12,FULL_CLEAR,,15,15,7085.606498,472.37376653333337,472.37376653333337,26343.032497232005,294,272,15,0,1.2851296000008006,coverage_exhausted,user_exit,0,0,2,e9471a826ca773cf62f223e2f669d1a49e31a1cee26992d8f2f5c3909bd0e5ba,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,f4f34db6344c0505716325c50d6ad76e327d6a7b904ff57f371e2f512518b98a,0,core,4615.741300000001,1348.8369420000004,0.0,0.0,1121.0282559999994,17.0,6111.593513,407.43956753333333,7085.606498,747.0393540000005,166.9708330000003,23,10,25,282,2941.7413000000006,1410.0,264.0,87.0,435.0,78.0,70.0,350.0,69.0,125.0,625.0,117.0,True,False,True,,,,,129,True
5,development,native_unconditioned,MYOPIC,FULL_CLEAR,,12,12,10317.958939,859.8299115833333,859.8299115833333,41419.79468879311,332,314,12,0,1.627964500003145,coverage_exhausted,user_exit,0,1,8,fb959885ad15f4d47fdd2b17a19513a43a3dc548262e7c152f8193f5de36b579,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,d1b68e7eb9d5e7118fca8e72cf6ec887287ef5cef5d2770eba3eb0264fd441d4,0,core,8241.727065,1389.6366879999991,160.82995499999925,0.0,525.7652310000017,71.0,3086.645619,257.22046825,10317.958939,6073.9311959999995,1692.4458169999998,194,32,25,318,6348.727065,1590.0,303.0,70.0,350.0,70.0,48.0,240.0,47.0,200.0,1000.0,186.0,True,False,False,,,,,108,True
6,development,native_unconditioned,MYOPIC,FULL_CLEAR,,15,15,10956.068208,730.4045472,730.4045472,46925.341039697916,253,231,15,0,1.4330660999985412,coverage_exhausted,user_exit,0,0,2,e9471a826ca773cf62f223e2f669d1a49e31a1cee26992d8f2f5c3909bd0e5ba,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,d1b68e7eb9d5e7118fca8e72cf6ec887287ef5cef5d2770eba3eb0264fd441d4,0,core,8880.42128,802.270728,0.0,0.0,1273.3762000000004,17.0,3272.173792,218.14491946666666,10956.068208,6890.468772,2724.481296,129,30,25,244,7435.4212800000005,1220.0,225.0,79.0,395.0,74.0,40.0,200.0,39.0,125.0,625.0,112.0,True,False,False,,,,,118,True
3,development,native_unconditioned,TERMINAL,FULL_CLEAR,,16,16,7084.656288,442.791018,442.791018,27503.281451388484,255,229,16,0,3.981666200008476,public_max_cleared,user_exit,0,3,13,2390957f7ebc9b6df815eb54897a4dd758e671163bb91c9df49110160e2f33b0,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,6f9765478195c174c5282232c9e75845d20729b7273d9911eb7ad8ce50b68aaa,0,core,4259.511579000001,1206.7438619999994,592.4927120000002,0.0,1025.9081349999997,23.0,6328.65055,395.540659375,6328.65055,0.0,0.0,0,0,20,233,2874.511579000001,1165.0,220.0,60.0,300.0,56.0,93.0,465.0,92.0,80.0,400.0,72.0,True,True,False,6328.65055,13.0,3.0,756.0057379999998,114,True
7,development,native_unconditioned,R12,FULL_CLEAR,,12,12,6556.576131,546.38134425,546.38134425,23622.880654081004,299,277,12,0,0.9725972000014735,coverage_exhausted,user_exit,0,0,2,26352c389272797e7c3b521bc683f2eae2cf8d88ffe4403fea6cf890aef79133,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,f4f34db6344c0505716325c50d6ad76e327d6a7b904ff57f371e2f512518b98a,0,core,4645.11985,792.1850090000002,0.0,0.0,1119.2712719999995,47.0,4421.961077,368.49675641666664,6556.576131,1819.1292780000003,1277.7616280000002,91,56,25,289,2931.11985,1445.0,269.0,39.0,195.0,39.0,50.0,250.0,44.0,200.0,1000.0,186.0,True,False,True,,,,,73,True
4,development,native_unconditioned,TERMINAL,FULL_CLEAR,,13,13,7977.60966,613.6622815384616,613.6622815384616,29588.048299833532,336,315,13,0,3.164443100002245,coverage_exhausted,user_exit,0,0,11,fdf7e1c823ed118505b9c55a48bd2c46fcb591618b28a86501f00af8dec3c1c4,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,6f9765478195c174c5282232c9e75845d20729b7273d9911eb7ad8ce50b68aaa,0,core,6054.735754,822.6726550000001,0.0,0.0,1100.2012509999997,47.0,7417.26451,570.5588084615384,7755.246653,337.9821430000002,0.0,18,0,25,327,4111.735754,1635.0,308.0,40.0,200.0,38.0,112.0,560.0,100.0,175.0,875.0,170.0,True,False,False,,,,,74,True
8,development,native_unconditioned,R12,FULL_CLEAR,,11,11,6825.004328,620.4549389090909,620.4549389090909,23000.02163415128,365,345,11,0,0.8632227000052808,coverage_exhausted,user_exit,0,1,8,de019f43152e33f9fb9a6d6f974757dc42156db4cf08917388cd9e9b3465997a,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,f4f34db6344c0505716325c50d6ad76e327d6a7b904ff57f371e2f512518b98a,0,core,5391.551471999999,531.132771,227.72824899999978,0.0,674.5918360000007,71.0,4527.370843,411.57916754545454,6450.386891,1586.7817699999996,0.0,84,0,25,356,3273.551471999999,1780.0,338.0,66.0,330.0,63.0,65.0,325.0,61.0,225.0,1125.0,214.0,True,False,True,,,,,97,True
7,development,native_unconditioned,MYOPIC,FULL_CLEAR,,12,12,10338.946333,861.5788610833333,861.5788610833333,43074.731648705056,281,259,12,0,1.300239700009115,coverage_exhausted,user_exit,0,0,2,26352c389272797e7c3b521bc683f2eae2cf8d88ffe4403fea6cf890aef79133,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,d1b68e7eb9d5e7118fca8e72cf6ec887287ef5cef5d2770eba3eb0264fd441d4,0,core,8650.370767000002,684.4352769999995,0.0,0.0,1004.1402889999996,47.0,1997.538802,166.46156683333334,10338.946333,7395.585300000001,4912.41932,191,104,25,272,7038.370767000001,1360.0,252.0,44.0,220.0,41.0,28.0,140.0,27.0,200.0,1000.0,184.0,True,False,False,,,,,77,True
8,development,native_unconditioned,MYOPIC,FULL_CLEAR,,11,11,9596.08394,872.3712672727273,872.3712672727273,37885.419694996555,331,309,11,0,1.208298500001547,coverage_exhausted,user_exit,0,3,8,de019f43152e33f9fb9a6d6f974757dc42156db4cf08917388cd9e9b3465997a,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,d1b68e7eb9d5e7118fca8e72cf6ec887287ef5cef5d2770eba3eb0264fd441d4,0,core,8243.443207,379.0964860000003,241.98427700000002,0.0,731.5599699999993,71.0,5719.315626,519.9377841818182,9596.08394,3448.8990540000013,406.44119500000124,93,9,25,323,6324.443207000001,1615.0,304.0,45.0,225.0,41.0,53.0,265.0,49.0,225.0,1125.0,214.0,True,False,False,,,,,75,True
9,development,native_unconditioned,R12,FULL_CLEAR,,10,10,7232.568064,723.2568064,723.2568064,25647.84031842189,346,323,10,0,0.7934240999893518,coverage_exhausted,user_exit,0,3,7,502029c41ff7e4d7403f869dc53070568440c581ce819584f85e1a5e625fc978,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,f4f34db6344c0505716325c50d6ad76e327d6a7b904ff57f371e2f512518b98a,0,core,5357.622186999998,616.408984,623.927234,0.0,634.6096590000013,5.0,5503.706187,550.3706187,6578.454763,1030.4480699999995,0.0,62,0,25,337,3356.6221869999986,1685.0,316.0,40.0,200.0,40.0,47.0,235.0,46.0,250.0,1250.0,230.0,True,False,True,,,,,69,True
5,development,native_unconditioned,TERMINAL,FULL_CLEAR,,12,12,7671.634982,639.3029151666666,639.3029151666666,28913.174919318968,309,284,12,0,3.6610118000098737,coverage_exhausted,user_exit,0,4,8,fb959885ad15f4d47fdd2b17a19513a43a3dc548262e7c152f8193f5de36b579,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,6f9765478195c174c5282232c9e75845d20729b7273d9911eb7ad8ce50b68aaa,0,core,5772.293489,1053.8946659999988,434.79626600000074,0.0,410.6505610000005,71.0,3979.392882,331.6160735,7671.634982,2844.3728659999997,2472.1186129999996,127,88,25,294,4028.2934889999997,1470.0,274.0,27.0,135.0,25.0,67.0,335.0,66.0,200.0,1000.0,183.0,True,False,False,,,,,66,True
9,development,native_unconditioned,MYOPIC,FULL_CLEAR,,10,10,11317.431217,1131.7431216999998,1131.7431216999998,46052.15608384093,347,322,10,0,1.20117709999613,coverage_exhausted,user_exit,0,1,7,502029c41ff7e4d7403f869dc53070568440c581ce819584f85e1a5e625fc978,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,d1b68e7eb9d5e7118fca8e72cf6ec887287ef5cef5d2770eba3eb0264fd441d4,0,core,9540.530036,431.7294370000002,332.8754800000006,0.0,1012.2962639999976,5.0,5258.740894,525.8740894,11317.431217,5201.183680000001,181.68471099999988,132,10,25,340,7522.530036000001,1700.0,318.0,47.0,235.0,47.0,43.0,215.0,42.0,250.0,1250.0,229.0,True,False,False,,,,,74,True
10,development,native_unconditioned,R12,FULL_CLEAR,,10,10,6860.393114,686.0393114000001,686.0393114000001,22701.965579938726,382,360,10,0,1.0686982999905013,coverage_exhausted,user_exit,0,1,3,dd18fdff923c096a3b668782f553a2a1f3dbb81dc621dc67695ae7e5cad01391,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,f4f34db6344c0505716325c50d6ad76e327d6a7b904ff57f371e2f512518b98a,0,core,5466.245355999999,739.4036670000016,131.0711450000008,0.0,523.6729459999982,11.0,5570.626449,557.0626449,6860.393114,1178.4203269999998,774.4381840000005,59,30,25,372,3254.245356,1860.0,352.0,60.0,300.0,60.0,62.0,310.0,62.0,250.0,1250.0,230.0,True,False,True,,,,,90,True
6,development,native_unconditioned,TERMINAL,FULL_CLEAR,,15,15,7429.956998,495.3304665333333,495.3304665333333,29689.784995321566,240,217,15,0,3.4333887999964645,coverage_exhausted,user_exit,0,2,2,e9471a826ca773cf62f223e2f669d1a49e31a1cee26992d8f2f5c3909bd0e5ba,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,6f9765478195c174c5282232c9e75845d20729b7273d9911eb7ad8ce50b68aaa,0,core,5225.952546,977.8362929999998,150.99385600000005,0.0,1075.174302999999,17.0,3355.209995,223.68066633333333,7429.956998,3105.0534340000004,1457.1690339999996,115,30,25,227,3881.9525460000004,1135.0,209.0,60.0,300.0,54.0,42.0,210.0,41.0,125.0,625.0,114.0,True,False,False,,,,,103,True
10,development,native_unconditioned,MYOPIC,FULL_CLEAR,,10,10,10206.988363,1020.6988363,1020.6988363,40069.94180313361,361,338,10,0,1.3460559000086505,coverage_exhausted,user_exit,0,2,3,dd18fdff923c096a3b668782f553a2a1f3dbb81dc621dc67695ae7e5cad01391,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,d1b68e7eb9d5e7118fca8e72cf6ec887287ef5cef5d2770eba3eb0264fd441d4,0,core,8669.310626,562.5004580000002,205.05135900000096,0.0,770.1259199999985,11.0,5301.851779,530.1851779,10206.988363,4018.958171000001,970.905576000001,115,30,25,352,6578.310626,1760.0,331.0,55.0,275.0,55.0,47.0,235.0,47.0,250.0,1250.0,229.0,True,False,False,,,,,84,True
7,development,native_unconditioned,TERMINAL,FULL_CLEAR,,12,12,7145.236362,595.4363635,595.4363635,26386.18181939721,305,283,12,0,3.5479056000040146,coverage_exhausted,user_exit,0,0,2,26352c389272797e7c3b521bc683f2eae2cf8d88ffe4403fea6cf890aef79133,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,6f9765478195c174c5282232c9e75845d20729b7273d9911eb7ad8ce50b68aaa,0,core,5228.691922999999,1533.485694,0.0,0.0,383.0587450000003,47.0,3409.41199,284.1176658333333,7145.236362,3213.011165999999,972.1131749999995,159,32,25,289,3511.6919229999994,1445.0,272.0,45.0,225.0,44.0,44.0,220.0,43.0,200.0,1000.0,185.0,True,False,False,,,,,85,True
11,development,native_unconditioned,R12,FULL_CLEAR,,12,12,6962.212566,580.1843805,580.1843805,25906.062844293974,291,266,12,0,1.2396895999991102,coverage_exhausted,user_exit,0,1,4,cc08e8cacc68ccb67fa6b86b85d435e925b11e364782069d44a0ee70ed6fe4e3,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,f4f34db6344c0505716325c50d6ad76e327d6a7b904ff57f371e2f512518b98a,0,core,5043.9948970000005,1200.1161579999998,259.10970199999974,0.0,458.99180899999976,11.0,2069.26808,172.43900666666664,6962.212566,3899.716155000001,1092.5967490000003,173,32,25,274,3416.994897000001,1370.0,257.0,33.0,165.0,32.0,41.0,205.0,41.0,200.0,1000.0,184.0,True,False,True,,,,,73,True
12,development,native_unconditioned,R12,FULL_CLEAR,,10,10,6907.830577,690.7830577,690.7830577,22549.15289985534,395,373,10,0,0.9099662999942666,coverage_exhausted,user_exit,0,0,2,c21efde5cf04742e5e4a05487a28d70142c69e6e452ff7576ddab9bdbfa625e0,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,f4f34db6344c0505716325c50d6ad76e327d6a7b904ff57f371e2f512518b98a,0,core,5165.681000999999,1054.2441720000002,0.0,0.0,687.9054040000004,5.0,4407.975151,440.79751509999994,6907.830577,1757.993676,384.78770899999927,104,10,25,386,2868.681000999999,1930.0,367.0,91.0,455.0,91.0,45.0,225.0,44.0,250.0,1250.0,232.0,True,False,True,,,,,120,True
