arm,mean_difference,ci97_5_low,ci97_5_high,relative_improvement,wins,ties,losses,worst_regression,worst_case
MYOPIC,244.11927317765978,217.97861239689337,269.1439082367794,-0.43257557172750705,5,0,123,502.1014418999998,127
TERMINAL,47.611785768940265,36.88130187617338,58.25185353522379,-0.08436734708356353,24,0,104,183.5131338000001,27
