lambda_m_per_s,x_m,y_m,worst_sampled_diameter_m,second_action_time_s
0.0,476.12159321677296,875.333209967908,112.91970641098385,204.28873525616044
0.2,476.12159321677296,875.333209967908,112.91970641098385,204.28873525616044
1.0,326.21778264910716,834.9742261192856,130.44777715039368,184.28747864811976
5.0,336.3139720814413,517.4871130596428,241.8659956850438,128.4341929936758
