cohort,method,id,N,baseline_s,candidate_s,delta_s,improvement_pct,distance_delta_m,measure_delta,post_known16_s,baseline_post_known16_s,trace_path
development,C2,73,13,558.7438217692307,567.0148038461538,8.27098207692302,-1.480281616489898,367.6138351321242,6,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\C2_0073.json.gz
development,C2,74,14,492.9084139285714,508.84214757142854,15.933733642857135,-3.232595182513176,1140.3613544498148,0,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\C2_0074.json.gz
development,C2,75,15,486.9613884666667,486.1414617333333,-0.8199267333333751,0.16837612852943495,-1081.4945167931983,34,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\C2_0075.json.gz
development,C2,76,16,383.2539875,464.632431875,81.37844437500002,-21.23355451715947,4130.275536920959,81,1590.5924770000001,739.6810699999996,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\C2_0076.json.gz
development,C2,77,10,729.8934284,762.5988325999999,32.705404199999975,-4.480846508194158,835.2702110423234,27,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\C2_0077.json.gz
development,C2,78,11,636.9517258181818,747.4035988181819,110.45187300000009,-17.34069765775761,4934.853025152308,38,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\C2_0078.json.gz
development,C2,79,12,617.9080528333333,617.9080528333333,0.0,0.0,0.0,0,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\C2_0079.json.gz
development,C2,80,13,541.456287923077,581.6091258461539,40.15283792307696,-7.415711816201376,839.9344647085636,59,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\C2_0080.json.gz
development,C2,81,14,512.6533212857142,562.5603745,49.907053214285725,-9.735049231539318,1683.493731607232,60,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\C2_0081.json.gz
development,C2,82,15,487.1983116,576.7086777333334,89.51036613333338,-18.372470511930516,3963.2774411147184,92,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\C2_0082.json.gz
development,C2,83,16,427.6910316875,417.5029595625,-10.18807212500002,2.3821103016357204,-865.0457849910708,2,916.9905060000001,474.7520549999999,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\C2_0083.json.gz
development,C2,84,10,720.1298954,768.9602035,48.830308100000025,-6.780763916609378,1786.515398375017,22,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\C2_0084.json.gz
development,C2,85,11,661.5905484545455,717.6138855454545,56.02333709090908,-8.467977243897717,2636.2835363329177,15,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\C2_0085.json.gz
development,C2,86,12,602.0263029166666,602.0263029166666,0.0,0.0,0.0,0,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\C2_0086.json.gz
development,C2,87,13,531.7923856923077,627.8917288461539,96.09934315384623,-18.07083849625648,3066.457317465829,106,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\C2_0087.json.gz
development,C2,88,14,554.4667901428571,582.4869730714286,28.020182928571444,-5.0535367359607175,1311.4128026468716,22,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\C2_0088.json.gz
