method,development_or_holdout,runs,full_clear,safety_pass,mean_s_per_source,improvement_pct,P50,P95,P99,max,normalized_variance,CV,movement_km,measure_count,switch_count,diagnostic_count,fallback_count,confirmed16_s,last_detection_s,route_compute_ms_p95,decision_compute_ms_p95,wins,ties,losses,mean_delta,median_delta,max_regression,N16_mean,N16_P95,N16_max,classification,mean_delta_ci_low,mean_delta_ci_high,P95_change_pct,P99_change_pct,max_change_pct,mean_improvement_ci_low,mean_improvement_ci_high,P95_improvement_ci_low,P95_improvement_ci_high,P99_improvement_ci_low,P99_improvement_ci_high
A1,regression,519,519,True,544.0443526319965,1.0491608659834897,545.073215,719.9468741699999,757.9910685900006,807.3103666,0.0367563046723845,0.1917193382848599,24.834083364761103,318.6107899807322,295.4894026974952,2.030828516377649,0.0462427745664739,5184.358043367647,5068.290050651252,13.899669997772415,2.4511199939297508,284,0,235,-5.7684204513692485,-6.571926500000018,190.4145630625,378.0496601167279,478.46211898125,516.8203255,REGRESSION_ONLY,-9.1129481727334,-2.503269356798846,-0.8382621803718959,-3.4527511942140654,-4.7445979429242,0.458889955938119,1.6489231701525604,-0.1198908408549526,3.4795569655258314,-0.990557731268311,6.119784736315015
D,regression,519,519,True,550.3673764366895,-0.1008713111944503,544.2880755384615,726.03293367,785.0985688000002,847.5218719000001,0.0374089848095298,0.1934140243351807,25.27136796907625,316.8188824662813,293.6107899807322,1.9364161849710984,0.0443159922928709,5224.071955779412,5164.714308333334,10.037580002972389,2.504854996368519,6,481,32,0.5546033533236998,0.0,32.39900087500001,386.03722059283086,497.756176215625,541.2262989375,REGRESSION_ONLY,0.2921026556809978,0.8436322821110311,0.0,0.0,0.0,-0.1540848924788401,-0.0529896876709879,0.0,0.0,0.0,0.0
R12,regression,519,519,True,549.8127730833658,0.0,544.2880755384615,726.03293367,785.0985688000002,847.5218719000001,0.0381033951588506,0.1952009097285425,25.22643130000328,316.8342967244701,293.60693641618496,2.02504816955684,0.0462427745664739,5224.071955779412,5164.714308333334,10.156780005490866,2.3490800027502687,0,519,0,0.0,0.0,0.0,381.8042920579044,494.48763915,541.2262989375,REGRESSION_ONLY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
