id,cohort,family,variant,run_status,error,total,cleared,virtual_time_s,mean_time_per_source,original_time_per_cleared,distance,detect_count,switch_count,clear_attempts,failed_clears,runtime_s,completion_reason,engine_end_reason,fallback_count,diagnostic_count,directional_count,scene_hash,source_hash,config_hash,remaining_tracks,transport,stage_discovery_s,stage_active_localization_s,stage_diagnostic_s,stage_optical_fallback_s,stage_certified_clear_s,first_source_first_seen_s,last_source_first_seen_s,last_source_first_seen_per_source_s,final_discovery_measure_s,post_last_seen_discovery_s,post_all_cleared_discovery_s,post_last_seen_discovery_measures,post_all_cleared_discovery_measures,discovery_nodes,discovery_measures,discovery_travel_s,discovery_measure_s,discovery_switch_s,known_actual_count,known_actual_measure_s,known_actual_switch_s,unseen_actual_count,unseen_actual_measure_s,unseen_actual_switch_s,absent_channel_count,absent_channel_measure_s,absent_channel_switch_s,audit_passed,known16_reached,known16_enabled,known16_time_s,known16_cleared,known16_unresolved,post_known16_s,conservative_set_checks,research_hash,official_calls,formal_test_count,route_compute_ms_p95,decision_compute_ms_p95,support_visits,route_refresh_count
125,development,native_strict_mixed_N_stratified,C2,FULL_CLEAR,,16,16,6823.15276,426.4470475,426.4470475,25630.763814695263,273,252,16,0,2.1729315999982646,public_max_cleared,user_exit,0,2,15,b389a7131ba3ef59550928851fc9ba10e7076a3422d835648c8b6eff9503c2bd,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,d4d0da36f8d80b28bb4d9494352cc2a4c5cb3d24d56ddd292e4ab14cee1fe4fb,0,core,4154.796243000001,942.6081879999997,258.6763839999994,0.0,1467.0719450000006,17.0,5681.949008,355.121813,5681.949008,0.0,0.0,0,0,20,254,2644.7962430000002,1270.0,240.0,63.0,315.0,59.0,114.0,570.0,112.0,77.0,385.0,69.0,True,True,True,5681.949008,11.0,5.0,1141.2037520000003,114,10f6065a0b6f52cf8410aa6078a968517a9b32db77cfd4cb578d09993a8fdd5f,0,0,11.75316000153543,18.9902400074061,0,47
126,development,native_strict_mixed_N_stratified,C2,FULL_CLEAR,,10,10,7361.786083,736.1786083,736.1786083,23068.930421651203,454,428,10,0,1.642005900008371,coverage_exhausted,user_exit,0,0,1,e574c0ee97f70f80a3682103984af69bc0ee5f2ed23c785285248a739bbcadbe,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,d4d0da36f8d80b28bb4d9494352cc2a4c5cb3d24d56ddd292e4ab14cee1fe4fb,0,core,6029.2834459999995,281.0158060000004,0.0,0.0,1051.4868310000006,53.0,5246.639697,524.6639696999999,6685.600765,1330.2376379999996,0.0,93,0,25,448,3365.283445999999,2240.0,424.0,164.0,820.0,153.0,34.0,170.0,34.0,250.0,1250.0,237.0,True,False,True,,,,,190,10f6065a0b6f52cf8410aa6078a968517a9b32db77cfd4cb578d09993a8fdd5f,0,0,8.635229997162238,34.8878000077093,0,35
127,development,native_strict_mixed_N_stratified,C2,FULL_CLEAR,,11,11,7382.875145,671.1704677272727,671.1704677272727,24974.375737199316,393,368,11,0,1.2463672000012593,coverage_exhausted,user_exit,0,1,4,522aeaeb7991f00a15fe3d58a82baaf9571c7d6c0cceef062f19d8e9f4ded932,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,d4d0da36f8d80b28bb4d9494352cc2a4c5cb3d24d56ddd292e4ab14cee1fe4fb,0,core,5626.167882999999,263.84959300000014,224.67132199999924,0.0,1268.1863470000008,11.0,5957.978613,541.6344193636364,6377.643945,419.6653319999996,0.0,31,0,25,388,3322.167883,1940.0,364.0,71.0,355.0,60.0,92.0,460.0,92.0,225.0,1125.0,212.0,True,False,True,,,,,98,10f6065a0b6f52cf8410aa6078a968517a9b32db77cfd4cb578d09993a8fdd5f,0,0,11.298000003444026,14.703610006108645,0,35
0,development,native_strict_mixed_N_stratified,D,FULL_CLEAR,,10,10,7437.616928,743.7616928,743.7616928,26108.08463682446,365,341,10,0,1.0633334000012837,coverage_exhausted,user_exit,0,2,7,5ca4e5d5b5b357cfa2de319d08d344edcb68f83a1e184d6594c19aa7d41356d0,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,9125d7cd752f0f283f9e669f4060757ed2a719944e0b8f4b4c6012f4ec87a0f1,0,core,5513.774751,945.8615240000017,223.30539,0.0,754.6752629999995,53.0,6535.289921,653.5289921,7437.616928,760.8351990000001,368.8530559999999,37,10,25,352,3420.774750999999,1760.0,333.0,27.0,135.0,26.0,75.0,375.0,74.0,250.0,1250.0,233.0,True,False,True,,,,,60,10f6065a0b6f52cf8410aa6078a968517a9b32db77cfd4cb578d09993a8fdd5f,0,0,5.604499991022749,1.4813250018050894,0,46
1,development,native_strict_mixed_N_stratified,D,FULL_CLEAR,,11,11,7592.537866,690.230715090909,690.230715090909,27257.689356557148,352,326,11,0,1.4437198000086937,coverage_exhausted,user_exit,0,3,8,72ad836b15df6782b9be129feeafb8d0f7eb7f7282aa8260efe297efac923231,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,9125d7cd752f0f283f9e669f4060757ed2a719944e0b8f4b4c6012f4ec87a0f1,0,core,5527.628074,980.2365600000002,415.3673749999998,0.0,669.3058569999995,23.0,3703.732458,336.7029507272727,7592.537866,2776.429172,2390.91245,126,90,25,338,3518.628074,1690.0,319.0,52.0,260.0,49.0,61.0,305.0,60.0,225.0,1125.0,210.0,True,False,True,,,,,88,10f6065a0b6f52cf8410aa6078a968517a9b32db77cfd4cb578d09993a8fdd5f,0,0,7.184750010492277,2.4843099963618434,0,47
2,development,native_strict_mixed_N_stratified,D,FULL_CLEAR,,12,12,7139.006527,594.9172105833333,594.9172105833333,25635.032642477683,329,307,12,0,1.038196000008611,coverage_exhausted,user_exit,0,2,4,dd71e9e82b09cf682481a425e20e13f660343cf8dfd5e81213af1a921fa11d91,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,9125d7cd752f0f283f9e669f4060757ed2a719944e0b8f4b4c6012f4ec87a0f1,0,core,5351.255539,1033.6286450000005,131.70805699999983,0.0,622.4142859999997,17.0,5339.116063,444.92633858333335,7139.006527,1512.7561369999994,257.4415889999991,63,8,25,316,3472.2555389999998,1580.0,299.0,46.0,230.0,46.0,70.0,350.0,69.0,200.0,1000.0,184.0,True,False,True,,,,,83,10f6065a0b6f52cf8410aa6078a968517a9b32db77cfd4cb578d09993a8fdd5f,0,0,7.380255003226917,1.3776600011624394,0,48
3,development,native_strict_mixed_N_stratified,D,FULL_CLEAR,,13,13,7272.271716,559.4055166153846,559.4055166153846,25221.358595228434,364,343,13,0,0.9569268000050215,coverage_exhausted,user_exit,0,0,3,b3d31e6f53cde2340e0d3719da87d91736f816449d2e83c6edf867268be76ba2,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,9125d7cd752f0f283f9e669f4060757ed2a719944e0b8f4b4c6012f4ec87a0f1,0,core,5571.266409999999,817.5941879999999,0.0,0.0,883.4111180000008,47.0,7005.761565,538.9047357692308,7035.761565,30.0,0.0,5,0,25,356,3455.2664099999993,1780.0,336.0,90.0,450.0,77.0,91.0,455.0,87.0,175.0,875.0,172.0,True,False,True,,,,,124,10f6065a0b6f52cf8410aa6078a968517a9b32db77cfd4cb578d09993a8fdd5f,0,0,5.5436850045225565,1.9279750049463473,0,42
4,development,native_strict_mixed_N_stratified,D,FULL_CLEAR,,14,14,6950.077242,496.43408871428574,496.43408871428574,25660.386209656906,295,273,14,0,1.1981888000009349,coverage_exhausted,user_exit,0,6,5,75a30ac5d7d468ce92198bb84fc945627b80c1353ab9b27b07f18534d6076f0c,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,9125d7cd752f0f283f9e669f4060757ed2a719944e0b8f4b4c6012f4ec87a0f1,0,core,4976.180841,885.2468999999995,561.2393800000004,0.0,527.4101209999994,17.0,4293.481724,306.67726600000003,6950.077242,2047.0243320000009,560.6660790000005,76,12,25,281,3308.180841000001,1405.0,263.0,90.0,450.0,87.0,41.0,205.0,37.0,150.0,750.0,139.0,True,False,True,,,,,132,10f6065a0b6f52cf8410aa6078a968517a9b32db77cfd4cb578d09993a8fdd5f,0,0,6.581090002146084,2.4641100026201452,0,47
5,development,native_strict_mixed_N_stratified,D,FULL_CLEAR,,15,15,6861.400472,457.42669813333333,457.42669813333333,25517.002372629246,284,263,15,0,1.379264699993655,coverage_exhausted,user_exit,0,0,4,7bc2efcf7ca9f0f9fc27db5666c65c7d517e967913e0cbdf989100980fe1181d,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,9125d7cd752f0f283f9e669f4060757ed2a719944e0b8f4b4c6012f4ec87a0f1,0,core,5067.466449000001,1064.4549840000018,0.0,0.0,729.4790389999978,47.0,3955.822695,263.721513,6861.400472,2218.299110000001,345.23513300000013,76,5,25,270,3464.466449000001,1350.0,253.0,74.0,370.0,64.0,71.0,355.0,71.0,125.0,625.0,118.0,True,False,True,,,,,118,10f6065a0b6f52cf8410aa6078a968517a9b32db77cfd4cb578d09993a8fdd5f,0,0,12.429874994995748,2.094320003379835,0,54
6,development,native_strict_mixed_N_stratified,D,FULL_CLEAR,,16,16,7617.65836,476.1036475,476.1036475,28728.291800668674,302,282,16,0,1.5430975000053877,public_max_cleared,user_exit,0,1,15,147d73c16e226df5acd5e8eadf7ccdffa1c446805934f3d4f9d7f40a3e54b2b3,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,9125d7cd752f0f283f9e669f4060757ed2a719944e0b8f4b4c6012f4ec87a0f1,0,core,4605.363395,1987.782181,68.56633299999976,0.0,955.9464509999998,11.0,6716.292376,419.7682735,6716.292376,0.0,0.0,0,0,23,281,2932.3633950000008,1405.0,268.0,87.0,435.0,83.0,102.0,510.0,98.0,92.0,460.0,87.0,True,True,True,6716.292376,14.0,2.0,901.365984,140,10f6065a0b6f52cf8410aa6078a968517a9b32db77cfd4cb578d09993a8fdd5f,0,0,6.145620001188941,1.8177400022977963,2,55
7,development,native_strict_mixed_N_stratified,D,FULL_CLEAR,,10,10,7384.458083,738.4458083000001,738.4458083000001,26132.29042156988,357,323,10,0,1.5023655999975745,coverage_exhausted,user_exit,0,2,9,eb82928e30f95991ac94e43889af9467f021015249bc0d6cfa04a4ec80c4b92a,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,9125d7cd752f0f283f9e669f4060757ed2a719944e0b8f4b4c6012f4ec87a0f1,0,core,5221.347986000002,1722.2087009999996,196.35401400000046,0.0,244.54738199999917,11.0,5380.457411,538.0457411,7384.458083,1256.83705,1220.83705,66,60,25,333,3242.347986000001,1665.0,314.0,34.0,170.0,33.0,49.0,245.0,46.0,250.0,1250.0,235.0,True,False,True,,,,,78,10f6065a0b6f52cf8410aa6078a968517a9b32db77cfd4cb578d09993a8fdd5f,0,0,9.77642000070773,1.3596400065580367,0,57
8,development,native_strict_mixed_N_stratified,D,FULL_CLEAR,,11,11,7359.220915,669.0200831818182,669.0200831818182,26386.10456967759,341,319,12,1,1.0932655000069644,coverage_exhausted,user_exit,1,3,7,caea317aac700a8a67a43fdca59ef6a2fc2fd9287126ba498ef6871dee783490,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,9125d7cd752f0f283f9e669f4060757ed2a719944e0b8f4b4c6012f4ec87a0f1,0,core,5421.770385,1139.830987,267.967318,29.969778000000133,499.682447,5.0,5645.731116,513.2482832727272,7359.220915,1595.706252,1212.0409199999995,70,45,25,328,3470.770385,1640.0,311.0,36.0,180.0,36.0,67.0,335.0,66.0,225.0,1125.0,209.0,True,False,True,,,,,72,10f6065a0b6f52cf8410aa6078a968517a9b32db77cfd4cb578d09993a8fdd5f,0,0,8.556299995689187,1.5428999904543161,0,46
9,development,native_strict_mixed_N_stratified,D,FULL_CLEAR,,12,12,6903.166109,575.2638424166666,575.2638424166666,25325.830538764243,300,278,12,0,1.1188931000069715,coverage_exhausted,user_exit,0,0,2,8415d2c1605e737823f3fdfd0eb23fdcbfc0516912cae06a55ff51ae2a58fef5,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,9125d7cd752f0f283f9e669f4060757ed2a719944e0b8f4b4c6012f4ec87a0f1,0,core,4950.044921999999,1140.1009500000005,0.0,0.0,813.0202370000002,29.0,3402.424055,283.53533791666666,6903.166109,3120.062053999999,2797.6227789999994,115,104,25,287,3246.044921999999,1435.0,269.0,50.0,250.0,50.0,37.0,185.0,37.0,200.0,1000.0,182.0,True,False,True,,,,,87,10f6065a0b6f52cf8410aa6078a968517a9b32db77cfd4cb578d09993a8fdd5f,0,0,9.614709994639268,1.6338200046448033,0,50
10,development,native_strict_mixed_N_stratified,D,FULL_CLEAR,,13,13,7098.089753,546.0069040769231,546.0069040769231,25650.448779134855,321,298,13,0,1.4188372000062373,coverage_exhausted,user_exit,0,2,3,fbac408966c2c8db6fb1b274375766163aa9727974a61770e77e71bc39f4df39,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,9125d7cd752f0f283f9e669f4060757ed2a719944e0b8f4b4c6012f4ec87a0f1,0,core,5125.660288000001,1392.355603,189.97970799999985,0.0,390.09415399999966,11.0,2617.570966,201.3516127692308,7098.089753,3407.4046230000004,675.4579030000004,163,28,25,304,3318.660288000001,1520.0,287.0,85.0,425.0,85.0,44.0,220.0,40.0,175.0,875.0,162.0,True,False,True,,,,,128,10f6065a0b6f52cf8410aa6078a968517a9b32db77cfd4cb578d09993a8fdd5f,0,0,9.39641999430023,2.16429999563843,0,53
11,development,native_strict_mixed_N_stratified,D,FULL_CLEAR,,14,14,7181.4764,512.9626,512.9626,26717.382001646747,299,273,14,0,1.8178997999930289,coverage_exhausted,user_exit,0,3,7,52259ff92b398ecb753e2f205592e6e852ac5327af45ce91c0375c46d46795d0,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,9125d7cd752f0f283f9e669f4060757ed2a719944e0b8f4b4c6012f4ec87a0f1,0,core,4819.990781999998,1329.1045460000012,418.6684520000008,0.0,613.7126199999998,17.0,4717.586089,336.9704349285715,7181.4764,1872.4008809999978,612.9845149999992,74,18,25,278,3168.990781999998,1390.0,261.0,72.0,360.0,71.0,56.0,280.0,51.0,150.0,750.0,139.0,True,False,True,,,,,121,10f6065a0b6f52cf8410aa6078a968517a9b32db77cfd4cb578d09993a8fdd5f,0,0,13.285139997606164,2.001159999053925,0,57
