cohort,method,id,kind,time_s,remaining_nodes,remaining_targets,nearest_node_m,accepted,index,point,estimated_cost,direct_cost,estimated_value_s,travel_m
regression,D,9,support_decision,4699.054106,,,,False,2.0,"[0.0, 1870.0]",608.6756200917712,484.21318344559927,-124.46243664617191,988.4159449855244
regression,D,9,support_decision,4891.566627,,,,False,1.0,"[0.0, 1680.0892833418109]",365.05911518097,257.8206905829391,-107.23842459803092,421.3599186212234
regression,D,9,support_decision,5130.661221,,,,False,5.0,"[1455.0, 840.0446416709054]",581.6361750585226,549.1520890976631,-32.48408596085949,1031.9329566386107
regression,D,9,support_decision,5396.229654,,,,False,4.0,"[485.0, 840.0446416709054]",675.5714330164373,668.1179075719343,-7.4535254445029295,245.22033488663484
regression,D,9,support_decision,5523.36391,,,,True,0.0,"[-485.0, 840.0446416709054]",484.61921589161284,485.916439961139,1.2972240695261803,609.1416211187199
regression,D,9,support_decision,5835.869965,,,,False,0.0,"[0.0, 1680.0892833418109]",2469.5765760290633,1223.9204077256,-1245.6561683034633,1805.6949704941499
regression,D,9,support_decision,6009.228683,,,,False,0.0,"[0.0, 1680.0892833418109]",683.9492502841242,202.1060905766019,-481.8431597075223,1526.0292745809772
regression,D,11,release,6360.731608,4.0,2.0,969.9999999999999,,,,,,,
regression,D,11,support_decision,6360.731608,,,,False,0.0,"[485.0, -840.0446416709054]",602.7593544395089,471.07696405214733,-131.68239038736158,969.9999999999999
regression,D,11,support_decision,6496.198677,,,,False,0.0,"[485.0, -840.0446416709054]",155.86700943212662,109.26069000130225,-46.60631943082437,326.8602413208
regression,D,11,support_decision,6565.645401,,,,False,1.0,"[1455.0, 840.0446416709054]",901.1838086836574,881.5921211386801,-19.591687544977276,2336.756443024095
regression,D,24,release,5815.010399,6.0,3.0,189.91071665818893,,,,,,,
regression,D,24,support_decision,5815.010399,,,,False,0.0,"[1619.4675050769001, 935.0]",395.5052392593659,261.35850836189724,-134.14673089746867,189.91071665818893
regression,D,24,support_decision,6055.239532,,,,True,5.0,"[970.0, 0.0]",754.8448177835177,989.4878992215008,234.64308143798314,902.7201949570247
regression,D,24,support_decision,6391.788854,,,,False,2.0,"[1455.0, -840.0446416709054]",717.3972371661998,680.2755863219859,-37.121650844213946,1661.1195545133003
regression,D,30,release,4006.191103,10.0,5.0,189.91071665818913,,,,,,,
regression,D,30,support_decision,4006.191103,,,,False,0.0,"[0.0, -1870.0]",413.6132525981387,354.9938731976001,-58.61937940053855,189.91071665818913
regression,D,30,support_decision,4016.587846,,,,False,0.0,"[0.0, -1870.0]",225.90346991070805,177.16607037763808,-48.737399533069976,211.88046234686658
regression,D,30,support_decision,4183.448288,,,,True,1.0,"[-970.0, -1680.0892833418109]",705.9324015886039,1294.3461600487376,588.4137584601337,1749.559181622177
regression,D,30,support_decision,4670.176107,,,,False,1.0,"[-1455.0, -840.0446416709054]",572.0693198967509,325.6245140292535,-246.44480586749745,981.1464559822191
regression,D,30,support_decision,4833.067999,,,,False,1.0,"[-1455.0, -840.0446416709054]",695.0715462517057,530.3133673366988,-164.75817891500697,360.7186863502147
regression,D,30,support_decision,5019.542809,,,,False,8.0,"[-970.0, 0.0]",186.59428492070364,185.68428043571237,-0.9100044849912763,451.97865628910824
regression,D,38,release,5509.955588,4.0,3.0,969.9999999999999,,,,,,,
regression,D,38,support_decision,5509.955588,,,,False,1.0,"[0.0, -1680.0892833418109]",372.01586771664734,208.15779151108669,-163.85807620556065,970.0
regression,D,38,support_decision,5682.677359,,,,True,2.0,"[0.0, -1870.0]",1008.1399910899958,1150.4152901380776,142.27529904808182,706.7951455782883
regression,D,38,support_decision,5830.036388,,,,False,1.0,"[0.0, -1680.0892833418109]",235.24335639318514,130.97139549019101,-104.27196090299412,189.91071665818913
regression,D,38,support_decision,5946.845304,,,,False,0.0,"[485.0, -840.0446416709054]",343.33757202209995,342.3588718822331,-0.9787001398668735,844.3755602749754
regression,D,38,support_decision,6086.725337,,,,True,0.0,"[485.0, -840.0446416709054]",223.30014803625178,242.93698534646032,19.636837310208534,252.76045010651558
regression,D,44,release,3302.356951,13.0,7.0,969.9999999999999,,,,,,,
regression,D,44,support_decision,3415.777784,,,,False,6.0,"[-485.0, 840.0446416709054]",412.60416872069976,243.06871378642595,-169.53545493427382,438.19410770063564
regression,D,44,support_decision,3601.216562,,,,False,3.0,"[1940.0, 0.0]",518.1447399970289,229.34006997065387,-288.804670026375,1412.8786474925055
regression,D,44,support_decision,3681.368339,,,,False,3.0,"[1940.0, 0.0]",438.28334706065687,154.55412910033488,-283.729217960322,1188.252179550266
regression,D,44,support_decision,3821.441996,,,,False,6.0,"[-485.0, 840.0446416709054]",1002.2179606660538,936.2871781967497,-65.93078246930418,2073.6100047645477
regression,D,44,support_decision,4195.810749,,,,False,7.0,"[0.0, 1680.0892833418109]",228.5056669275113,149.82892443294384,-78.67674249456746,629.6124242683054
regression,D,44,support_decision,4301.985329,,,,False,6.0,"[-485.0, 840.0446416709054]",629.2730613751762,574.9645212388909,-54.30854013628527,795.8308670243357
regression,D,44,support_decision,4641.242443,,,,False,10.0,"[-1455.0, 840.0446416709054]",481.2204547663608,340.8016672091924,-140.4187875571684,113.4555037907009
regression,D,44,support_decision,4790.540524,,,,True,6.0,"[-485.0, 840.0446416709054]",572.3448617711032,625.5595774137291,53.21471564262595,936.0676611563238
regression,D,50,release,4822.717276,9.0,5.0,969.9999999999999,,,,,,,
regression,D,50,support_decision,4822.717276,,,,False,4.0,"[1455.0, 840.0446416709054]",509.3413618266437,400.42156052712267,-108.91980129952105,969.9999999999999
regression,D,50,support_decision,4873.715941,,,,False,4.0,"[1455.0, 840.0446416709054]",291.4280442783198,166.80266186505244,-124.62538241326737,746.9782257050105
regression,D,50,support_decision,4992.589578,,,,False,4.0,"[1455.0, 840.0446416709054]",629.1486362871301,486.42506071783157,-142.72357556929853,472.5739082017739
regression,D,50,support_decision,5017.153689,,,,False,4.0,"[1455.0, 840.0446416709054]",277.5592469489018,225.9864530934408,-51.572793855460986,390.88362253209226
