question,new_run,time_s,radius_m,field,old,new,new_minus_old
q1,EXP101_B_Q1__cuda001,100.0,0.0,T,28.000056894541125,28.000068799645305,1.1905104180698345e-05
q1,EXP101_B_Q1__cuda001,100.0,0.0,C,2.5500000000000003,2.55,-4.440892098500626e-16
q1,EXP101_B_Q1__cuda001,100.0,0.005,T,28.00034864008114,28.000401130614364,5.2490533224869296e-05
q1,EXP101_B_Q1__cuda001,100.0,0.005,C,2.5500000000000003,2.55,-4.440892098500626e-16
q1,EXP101_B_Q1__cuda001,100.0,0.01,T,28.00395819405296,28.004297891908777,0.0003396978558178887
q1,EXP101_B_Q1__cuda001,100.0,0.01,C,2.55,2.549999999971682,-2.8317792555299093e-11
q1,EXP101_B_Q1__cuda001,100.0,0.015,T,28.032135672122006,28.0334529287436,0.0013172566215935433
q1,EXP101_B_Q1__cuda001,100.0,0.015,C,2.5499998241478274,2.5499720348208252,-2.778932700220338e-05
q1,EXP101_B_Q1__cuda001,100.0,0.02,T,28.17974993532245,28.181400162547448,0.0016502272249958594
q1,EXP101_B_Q1__cuda001,100.0,0.02,C,2.249148688567357,2.2173931000771523,-0.031755588490204545
q1,EXP101_B_Q1__cuda001,300.0,0.0,T,28.04102248184172,28.041620354517818,0.0005978726760993425
q1,EXP101_B_Q1__cuda001,300.0,0.0,C,2.5500000000000003,2.55,-4.440892098500626e-16
q1,EXP101_B_Q1__cuda001,300.0,0.005,T,28.063780403762554,28.06432171485119,0.0005413110886358652
q1,EXP101_B_Q1__cuda001,300.0,0.005,C,2.5500000000000003,2.5499999999914333,-8.566924947217558e-12
q1,EXP101_B_Q1__cuda001,300.0,0.01,T,28.151726518547036,28.15237826359845,0.0006517450514138545
q1,EXP101_B_Q1__cuda001,300.0,0.01,C,2.5499999972958407,2.5499996155059503,-3.817898903690775e-07
q1,EXP101_B_Q1__cuda001,300.0,0.015,T,28.367742421177443,28.369361713416993,0.0016192922395497078
q1,EXP101_B_Q1__cuda001,300.0,0.015,C,2.5491435530250817,2.547757467945747,-0.0013860850793347979
q1,EXP101_B_Q1__cuda001,300.0,0.02,T,28.848938408893318,28.850481873316028,0.001543464422709917
q1,EXP101_B_Q1__cuda001,300.0,0.02,C,2.051800987794077,2.0404446522854167,-0.01135633550866011
q1,EXP101_B_Q1__cuda001,600.0,0.0,T,28.454169042153513,28.455504459249994,0.0013354170964809953
q1,EXP101_B_Q1__cuda001,600.0,0.0,C,2.5500000000000003,2.549999999990346,-9.654055332930511e-12
q1,EXP101_B_Q1__cuda001,600.0,0.005,T,28.536851023975032,28.5377830342606,0.0009320102855667756
q1,EXP101_B_Q1__cuda001,600.0,0.005,C,2.5499999995792044,2.549999969555074,-3.0024130293071494e-08
q1,EXP101_B_Q1__cuda001,600.0,0.01,T,28.804598115745993,28.80540462713543,0.0008065113894382137
q1,EXP101_B_Q1__cuda001,600.0,0.01,C,2.5499868360745213,2.5499433483080134,-4.34877665078659e-05
q1,EXP101_B_Q1__cuda001,600.0,0.015,T,29.316124492914184,29.317167057787685,0.0010425648735008508
q1,EXP101_B_Q1__cuda001,600.0,0.015,C,2.5351782049584637,2.5310182269636154,-0.004159977994848241
q1,EXP101_B_Q1__cuda001,600.0,0.02,T,30.164473348007594,30.16618570572416,0.0017123577165669701
q1,EXP101_B_Q1__cuda001,600.0,0.02,C,1.8775069988061546,1.8727878088158973,-0.004719189990257222
q1,EXP101_B_Q1__cuda001,900.0,0.0,T,29.325267764861078,29.32734322862109,0.0020754637600113313
q1,EXP101_B_Q1__cuda001,900.0,0.0,C,2.549999999895626,2.549999994984343,-4.9112829358932686e-09
q1,EXP101_B_Q1__cuda001,900.0,0.005,T,29.459249543777055,29.460523989374565,0.0012744455975095548
q1,EXP101_B_Q1__cuda001,900.0,0.005,C,2.549999746804207,2.549998196951063,-1.549853144044988e-06
q1,EXP101_B_Q1__cuda001,900.0,0.01,T,29.876539904331423,29.877067335410857,0.0005274310794334269
q1,EXP101_B_Q1__cuda001,900.0,0.01,C,2.5496699263201887,2.5493842804741274,-0.00028564584606138865
q1,EXP101_B_Q1__cuda001,900.0,0.015,T,30.617020488818326,30.6172352074866,0.000214718668274827
q1,EXP101_B_Q1__cuda001,900.0,0.015,C,2.5044934538974433,2.499454524601367,-0.005038929296076411
q1,EXP101_B_Q1__cuda001,900.0,0.02,T,31.72995664631644,31.73103396940587,0.0010773230894294272
q1,EXP101_B_Q1__cuda001,900.0,0.02,C,1.755087121844075,1.7528852136536806,-0.0022019081903943416
q1,EXP101_B_Q1__cuda001,1200.0,0.0,T,30.543807553900955,30.546160956900337,0.002353402999382581
q1,EXP101_B_Q1__cuda001,1200.0,0.0,C,2.5499999741534594,2.5499997779537984,-1.961996609622929e-07
q1,EXP101_B_Q1__cuda001,1200.0,0.005,T,30.71081433061591,30.71223553561481,0.0014212049988984177
q1,EXP101_B_Q1__cuda001,1200.0,0.005,C,2.5499922904552172,2.5499778082228906,-1.4482232326695765e-05
q1,EXP101_B_Q1__cuda001,1200.0,0.01,T,31.22331415384371,31.2240396411205,0.0007254872767887832
q1,EXP101_B_Q1__cuda001,1200.0,0.01,C,2.5481476590639587,2.547435683467741,-0.0007119755962174956
q1,EXP101_B_Q1__cuda001,1200.0,0.015,T,32.113645136780534,32.113715517996525,7.038121599123315e-05
q1,EXP101_B_Q1__cuda001,1200.0,0.015,C,2.46456632697982,2.4595874957308954,-0.004978831248924731
q1,EXP101_B_Q1__cuda001,1200.0,0.02,T,33.42990797943017,33.428350080690734,-0.0015578987394349042
q1,EXP101_B_Q1__cuda001,1200.0,0.02,C,1.658835448489275,1.65795684746211,-0.0008786010271650824
q1,EXP101_B_Q1__cuda001,1500.0,0.0,T,31.99680034606281,31.999411691175453,0.002611345112644159
q1,EXP101_B_Q1__cuda001,1500.0,0.0,C,2.549999203376448,2.549997059756859,-2.143619588945711e-06
q1,EXP101_B_Q1__cuda001,1500.0,0.005,T,32.18784283887078,32.18926523857431,0.0014223997035287539
q1,EXP101_B_Q1__cuda001,1500.0,0.005,C,2.5499347185364845,2.5498770422234998,-5.767631298470022e-05
q1,EXP101_B_Q1__cuda001,1500.0,0.01,T,32.767353836999334,32.767571702813825,0.000217865814491347
q1,EXP101_B_Q1__cuda001,1500.0,0.01,C,2.544493037715331,2.5433237794656693,-0.001169258249661631
q1,EXP101_B_Q1__cuda001,1500.0,0.015,T,33.7480809789457,33.74702391963797,-0.0010570593077332546
