path,stage,position,channel,response,rng_before,travel_m,travel_s,switch_s,measure_s,clear_s,total_s,actions
/measure,discovery,"[-485.0, -840.0446416709054]",2.0,"{'accepted': True, 'virtual_time_s': 330.0, 'measure_result': 'no_signal'}",1c475307f68ea116a3a1cfc91b1cecc1ed732e532be25644e264286c6dc6c213,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[-485.0, -840.0446416709054]",3.0,"{'accepted': True, 'virtual_time_s': 336.0, 'measure_result': 'direction', 'svd_deg': 167.09}",1c475307f68ea116a3a1cfc91b1cecc1ed732e532be25644e264286c6dc6c213,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[-485.0, -840.0446416709054]",4.0,"{'accepted': True, 'virtual_time_s': 342.0, 'measure_result': 'no_signal'}",02b652e62d39a1b76bf2ba639b75cf68576b1311948cda49b309c41a9a49039c,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[-485.0, -840.0446416709054]",5.0,"{'accepted': True, 'virtual_time_s': 348.0, 'measure_result': 'direction', 'svd_deg': 95.73}",02b652e62d39a1b76bf2ba639b75cf68576b1311948cda49b309c41a9a49039c,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[-485.0, -840.0446416709054]",6.0,"{'accepted': True, 'virtual_time_s': 354.0, 'measure_result': 'no_signal'}",fd55a0ea99e42bedab1053f90275438703336fd6d5dee5abe791f59c34cff4f9,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[-485.0, -840.0446416709054]",7.0,"{'accepted': True, 'virtual_time_s': 360.0, 'measure_result': 'no_signal'}",fd55a0ea99e42bedab1053f90275438703336fd6d5dee5abe791f59c34cff4f9,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[-485.0, -840.0446416709054]",8.0,"{'accepted': True, 'virtual_time_s': 366.0, 'measure_result': 'no_signal'}",fd55a0ea99e42bedab1053f90275438703336fd6d5dee5abe791f59c34cff4f9,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[-485.0, -840.0446416709054]",9.0,"{'accepted': True, 'virtual_time_s': 372.0, 'measure_result': 'no_signal'}",fd55a0ea99e42bedab1053f90275438703336fd6d5dee5abe791f59c34cff4f9,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[-485.0, -840.0446416709054]",10.0,"{'accepted': True, 'virtual_time_s': 378.0, 'measure_result': 'no_signal'}",fd55a0ea99e42bedab1053f90275438703336fd6d5dee5abe791f59c34cff4f9,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[-485.0, -840.0446416709054]",11.0,"{'accepted': True, 'virtual_time_s': 384.0, 'measure_result': 'direction', 'svd_deg': 189.88}",fd55a0ea99e42bedab1053f90275438703336fd6d5dee5abe791f59c34cff4f9,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[-485.0, -840.0446416709054]",12.0,"{'accepted': True, 'virtual_time_s': 390.0, 'measure_result': 'no_signal'}",fc53bd80977c398e7e407bcd4bb1acdb4926f5107b9b391fe9f5ca5f87f03e16,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[-485.0, -840.0446416709054]",13.0,"{'accepted': True, 'virtual_time_s': 396.0, 'measure_result': 'direction', 'svd_deg': 338.48}",fc53bd80977c398e7e407bcd4bb1acdb4926f5107b9b391fe9f5ca5f87f03e16,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[-485.0, -840.0446416709054]",14.0,"{'accepted': True, 'virtual_time_s': 402.0, 'measure_result': 'no_signal'}",8a3b14011e849ef410c3bc41a02a7c763485fbd5b4f2c5c307265914d10e5254,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[-485.0, -840.0446416709054]",15.0,"{'accepted': True, 'virtual_time_s': 408.0, 'measure_result': 'direction', 'svd_deg': 126.0}",8a3b14011e849ef410c3bc41a02a7c763485fbd5b4f2c5c307265914d10e5254,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[-485.0, -840.0446416709054]",16.0,"{'accepted': True, 'virtual_time_s': 414.0, 'measure_result': 'no_signal'}",8a3b14011e849ef410c3bc41a02a7c763485fbd5b4f2c5c307265914d10e5254,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[-485.0, -840.0446416709054]",17.0,"{'accepted': True, 'virtual_time_s': 420.0, 'measure_result': 'no_signal'}",8a3b14011e849ef410c3bc41a02a7c763485fbd5b4f2c5c307265914d10e5254,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[-485.0, -840.0446416709054]",18.0,"{'accepted': True, 'virtual_time_s': 426.0, 'measure_result': 'direction', 'svd_deg': 60.51}",8a3b14011e849ef410c3bc41a02a7c763485fbd5b4f2c5c307265914d10e5254,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[-485.0, -840.0446416709054]",19.0,"{'accepted': True, 'virtual_time_s': 432.0, 'measure_result': 'no_signal'}",8a3b14011e849ef410c3bc41a02a7c763485fbd5b4f2c5c307265914d10e5254,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,active_localization,"[313.17423281545916, -1185.0824336482374]",13.0,"{'accepted': True, 'virtual_time_s': 611.911838, 'measure_result': 'direction', 'svd_deg': 14.68}",8a3b14011e849ef410c3bc41a02a7c763485fbd5b4f2c5c307265914d10e5254,869.5591893730635,173.911838,1.0,5.0,0.0,179.911838,1.0
/clear,certified_clear,"[346.17118323395414, -1176.6761454777466]",13.0,"{'accepted': True, 'virtual_time_s': 623.72202, 'clear_result': 'success'}",69a781e9b1c1530491e94a686b107133903fffae7b06b52184eea7c63dad58fc,34.050909205569674,6.810182000000054,0.0,0.0,5.0,11.810182000000054,1.0
/measure,discovery,"[485.0, -840.0446416709054]",1.0,"{'accepted': True, 'virtual_time_s': 702.548996, 'measure_result': 'direction', 'svd_deg': 85.59}",5e378016e4425e44239b49cd8228fdbad0fe9d7d22f5f7347dc620dd7d9d0494,364.1348784721338,72.82697599999995,1.0,5.0,0.0,78.82697599999995,1.0
/measure,discovery,"[485.0, -840.0446416709054]",2.0,"{'accepted': True, 'virtual_time_s': 708.548996, 'measure_result': 'no_signal'}",6665144a30013524b936f64853f7b508ae537281abd192b726ba2f88d89675b0,0.0,0.0,1.0,5.0,0.0,6.0,1.0
