mode,region,level,step_m,key,x,y,parent,rank_cumulative,in_Csafe,in_Q0,in_Qvis_Q5,squared_slack_lower_m2,boundary_distance_m,D_lower_m,D_upper_m,inner_gap_m,T_s,J_lower_m,J_upper_m,near_possible,near_upper_m,score_elapsed_s,safety_status
M2,Q0,4,2,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.94464e1ee5338p+8,0x1.c80708186ea2ep+9",404.2746295270513,912.054934553167,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.92464e1ee5338p+8,0x1.c9c26fc6f427bp+9",280,True,True,True,91255915941696890499759415851/19342813113834066795298816,2.361698949957031,112.85530195541483,112.86494755100153,0.009645595586704303,204.5276602100086,153.76083399741657,153.77047959300324,False,0.0,0.02301180000358727,SAFE
M2,Q0,4,2,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.f11bbef5505f2p+9,-0x1.ad90ca8d4f865p+6",994.2167650835456,-107.39139767454033,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.f11bbeaa98ba4p+9,-0x1.ad90e02b1a038p+6",288,True,True,True,553271643451069828444321575/4951760157141521099596496896,5.5866160778350604e-05,112.78342024396807,112.79307222634391,0.00965198237584275,204.99998882676783,153.78341800932162,153.79306999169748,False,0.0,0.021766799996839836,SAFE
M2,Q0,4,2,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.f11bbeaa98ba4p+9,-0x1.ad90e02b1a038p+6",994.2167561765423,-107.39148013445163,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.f11bbeaa98ba4p+9,-0x1.ad90e02b1a038p+6",289,True,True,True,8644869968914861026289343/77371252455336267181195264,5.5866164302642574e-05,112.78342601839451,112.79307800205862,0.009651983664113573,204.99998882676715,153.78342378374793,153.79307576741206,False,0.0,0.019890900002792478,SAFE
M2,Q0,4,2,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.e958549a284eap+8,0x1.b2a6b3219511dp+9",489.3450409267813,869.3023416498069,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.edcf23f733583p+8,0x1.b2c8ff4a524f7p+9",296,True,True,True,187813675469788250896908160159/38685626227668133590597632,2.4303882547991407,112.8942783472636,112.90323660329409,0.008958256030496159,204.51392234904017,153.79706281707163,153.80602107310213,False,0.0,0.026855699994484894,SAFE
M2,Q0,4,2,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.f0ffffcceae42p+9,-0x1.b584b9d4fa175p+6",993.9999939104966,-109.37961514259753,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.f11bbeaa98ba4p+9,-0x1.ad90e02b1a038p+6",301,True,True,True,554088046587098949140832135/4951760157141521099596496896,5.594859658231144e-05,112.80798474504786,112.81686461018154,0.008879865133678777,204.99998881028068,153.807982507104,153.81686237223767,False,0.0,0.023067500005709007,SAFE
M2,Q0,4,2,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.f1d362a6f4525p+9,-0x1.c0d3ffb03c69ap+5",995.6514481251694,-56.10351503071179,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.f331167e3714bp+9,-0x1.c6af3d24688ffp+5",308,True,True,True,27386152471399229201106291033239/4951760157141521099596496896,2.7691287607727872,112.91858430401246,112.92857637862089,0.009992074608433654,204.44617424784545,153.80781915358153,153.81781122818998,False,0.0,0.020585099991876632,SAFE
M2,Q0,4,2,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.8dcf7ec1da29fp+8,0x1.c9a0239e36ea1p+9",397.81052791191354,915.2510869758736,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.92464e1ee5338p+8,0x1.c9c26fc6f427bp+9",310,True,True,True,1257199808882762616117990612027/309485009821345068724781056,2.0331827520147954,112.8941331876527,112.90250638038887,0.008373192736172541,204.59336344959704,153.81280587757212,153.8211790703083,False,0.0,0.03939410000748467,SAFE
M2,Q0,4,2,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.f0f97281db7cap+9,-0x1.9bb5a2b6eddd3p+6",993.9488069841111,-102.92737851931388,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.f11bbeaa98ba4p+9,-0x1.ad90e02b1a038p+6",312,True,True,True,7287623502958240266656128117527/4951760157141521099596496896,0.736132868802315,112.84387565362174,112.8521452454046,0.008269591782863017,204.85277342623954,153.81443033886964,153.8226999306525,False,0.0,0.03641700001026038,SAFE
M2,Q0,4,2,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.f0e3be5b6d05fp+9,-0x1.bd78366b44b6fp+6",993.779246738657,-111.36739509207631,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.f11bbeaa98ba4p+9,-0x1.ad90e02b1a038p+6",327,True,True,True,554903913545042392391677343/4951760157141521099596496896,5.6030977930277004e-05,112.83376044993636,112.84299883786684,0.009238387930480485,204.99998879380442,153.83375820869725,153.84299659662773,False,0.0,0.028934600006323308,SAFE
M2,Q0,4,2,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.918ae6705faebp+8,0x1.c864bbefb1655p+9",401.5425787194824,912.7869853607359,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.92464e1ee5338p+8,0x1.c9c26fc6f427bp+9",332,True,True,True,1728002381993172421330553752419/309485009821345068724781056,2.7956462346185162,112.95466891358018,112.96300188667847,0.008332973098291063,204.4408707530763,153.84284306419545,153.85117603729373,False,0.0,0.046434900010353886,SAFE
M2,Q0,4,2,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.efcf23f733583p+8,0x1.b10d979bcccaap+9",495.809142541919,866.1061892271002,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.edcf23f733583p+8,0x1.b2c8ff4a524f7p+9",336,True,True,True,1248265435439375822182431128423/309485009821345068724781056,2.0187191907643864,112.92958651250588,112.9383397991287,0.008753286622820156,204.59625616184712,153.8488377448753,153.85759103149812,False,0.0,0.021196900008362718,SAFE
M2,Q0,4,2,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.f0be0ad355f7ep+9,-0x1.b87e7ee53016bp+6",993.4847053689734,-110.12353094202051,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.f11bbeaa98ba4p+9,-0x1.ad90e02b1a038p+6",342,True,True,True,4263208651391061519027336346695/4951760157141521099596496896,0.43056675926004573,112.88197520129937,112.89086520467265,0.008890003373281274,204.91388664814798,153.86475253092897,153.87364253430223,False,0.0,0.023252300001331605,SAFE
M2,Q0,4,2,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.beb85aa637d04p+8,0x1.bc3d1186687f8p+9",446.72013319838175,888.4770973215336,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.c02f2a0342d9dp+8,0x1.bef87934ee045p+9",343,True,True,True,213729770019024446923666346351/19342813113834066795298816,5.540131594201625,113.08815799922985,113.0976945277515,0.009536528521650212,203.89197368115967,153.8665527354618,153.87608926398343,False,0.0,0.0284825999988243,SAFE
M2,Q0,4,2,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.f175aecfb18fep+9,-0x1.d6af3d24688ffp+5",994.9193973176004,-58.835565838280665,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.f331167e3714bp+9,-0x1.c6af3d24688ffp+5",352,True,True,True,132187614395608543553663113629183/19807040628566084398385987584,3.342470571597005,113.01216891191793,113.02026045071942,0.00809153880149438,204.3315058856806,153.87847008905405,153.88656162785554,False,0.0,0.0298859999893466,SAFE
