mode,region,level,step_m,key,x,y,parent,rank_cumulative,in_Csafe,in_Q0,in_Qvis_Q5,squared_slack_lower_m2,boundary_distance_m,D_lower_m,D_upper_m,inner_gap_m,T_s,J_lower_m,J_upper_m,near_possible,near_upper_m,score_elapsed_s,safety_status
M2,Q0,0,50,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.85f4177414458p+8,0x1.c06df5c466522p+9",389.95348287100705,896.8590627193082,retained_B_pool,407,True,True,True,842961784232512659778687605755/19342813113834066795298816,22.032772949428136,116.00933550023146,116.01787993117709,0.008544430945633508,200.59344541011438,156.12802458225434,156.13656901319996,False,0.0,0.01977400000032503,SAFE
M2,Q0,0,50,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.9cd200b09f7cdp+8,0x1.ba7cb371049edp+9",412.82032302755107,884.9742261192856,legacy_213,408,True,True,True,14360104455710385869707214630963/309485009821345068724781056,23.475550741303664,116.08644529258714,116.09544942940983,0.009004136822682085,200.30488985173926,156.147423262935,156.1564273997577,False,0.0,0.03302620000613388,SAFE
M2,Q0,0,50,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.4ce7050f47521p+8,0x1.d0f074e516a54p+9",332.9024209546206,929.878567348535,retained_B_pool,409,True,True,True,7582948512765600888522486195071/309485009821345068724781056,12.326890164761494,115.66874370532585,115.67802003384314,0.00927632851728788,202.5346219670477,156.1756680987354,156.18494442725267,False,0.0,0.019949599998653866,SAFE
M2,Q0,0,50,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.4ce7055b43579p+8,0x1.d0f0759ca2234p+9",332.9024254836473,929.878589228791,retained_B_pool,410,True,True,True,7582934985977145291707626373775/309485009821345068724781056,12.32686803830586,115.66871543838077,115.67802281607554,0.009307377694767638,202.53462639233882,156.17564071684853,156.1849480945433,False,0.0,0.019452299995464273,SAFE
M2,Q0,0,50,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.4ce705f33a829p+8,0x1.d0f0770bb6febp+9",332.9024345414969,929.8786329883127,retained_B_pool,411,True,True,True,7582907933011416135664833766027/309485009821345068724781056,12.326823786396062,115.66865890577503,115.6780283804134,0.009369474638361908,202.53463524272078,156.1755859543192,156.18495542895755,False,0.0,0.03547610000532586,SAFE
M2,Q0,0,50,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.e6f912559e152p+9,-0x1.60403310d43fcp+7",973.9458720228088,-176.1253896006673,retained_B_pool,412,True,True,True,1579091981452678043588333953979/77371252455336267181195264,10.257248325477121,115.61443539807742,115.62435102658378,0.00991562850636285,202.94855033490458,156.20414546505833,156.2140610935647,False,0.0,0.02011490000586491,SAFE
M2,Q0,0,50,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.e6c1fa1baa95dp+9,-0x1.5ff77609c70d9p+7",973.515445192617,-175.9833224349484,retained_B_pool,413,True,True,True,26365087650658529949205830216575/1237940039285380274899124224,10.70608421772738,115.67816273876146,115.6874450147759,0.009282276014445756,202.85878315645454,156.24991937005237,156.2592016460668,False,0.0,0.021053100004792213,SAFE
M2,Q0,0,50,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.e70ed45d95811p+9,-0x1.5caa4c4b96676p+6",974.1158558826447,-87.16630666833393,retained_B_pool,414,True,True,True,53850805552051915605564784205399/1237940039285380274899124224,21.99199098362419,116.13398266713752,116.14280608713845,0.008823420000936721,200.60160180327517,156.25430302779256,156.2631264477935,False,0.0,0.023066499998094514,SAFE
M2,Q0,0,50,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.4cb3415b246e4p+8,0x1.d07319cc77059p+9",332.7002160037939,928.899224813572,retained_B_pool,415,True,True,True,2046995474334792253541957739083/77371252455336267181195264,13.317070387743001,115.80820646289841,115.81809510938503,0.009888646486615471,202.3365859224514,156.2755236473887,156.2854122938753,False,0.0,0.02116079999541398,SAFE
M2,Q0,0,50,"228e647c73d7697911cbbf0da871677bf5344cc5a9adc2c0bbe41f28aa545d8c|0x1.dc35f2eedf69bp+8,0x1.ab9d88ae78f8bp+9",476.21073811487594,855.2307336893731,retained_B_pool,416,True,True,True,12937626259903048180785663797315/309485009821345068724781056,21.12499524056784,116.17234428103343,116.1806260824176,0.008281801384171672,200.77500095188643,156.32734447141073,156.33562627279488,False,0.0,0.020308399994974025,SAFE
