mode,region,x,y,D_lower_m,D_upper_m,T_s,lambda_T_m,J_lower_m,J_upper_m,inner_gap_m,boundary_distance_m,in_Csafe,in_Q0,in_Qvis_Q5,displacement_from_legacy_m,worst_sampled_report_deg,near_possible,mode_wall_s,cumulative_points,newly_scored_points,candidate_references,half_step_delta_q_m,delta_J_from_legacy_m,relative_gain
M0,Csafe,476.12159321677296,875.333209967908,112.91967744666047,112.92061338955176,204.28873525616044,40.85774705123209,153.77742449789255,153.77836044078384,0.0009359428912887324,3.5563237191964845,True,True,True,0.0,348.9460754394531,False,1.891130100004375,213,213,213,0.0,0.0,-0.0
M1,Csafe,448.1839686523479,893.9413323786405,112.18221854416718,112.18319207339567,204.99999754918676,40.99999950983735,153.18221805400452,153.18319158323303,0.0009735292284887009,1.225406481353275e-05,True,True,True,33.56744086098267,348.07037353515625,False,4.819526699997368,797,584,834,9.924634561561351e-05,-0.5951688575508172,0.0038703030507338623
M2,Q0,448.1844122542637,893.9411099753213,112.18217988248216,112.18315341078957,204.99999754916092,40.999999509832186,153.18217939231434,153.18315292062175,0.0009735283074121526,1.2254195439709292e-05,True,True,True,33.566948369160414,348.07037353515625,False,7.1096843000123044,1636,839,1717,9.924632965384565e-05,-0.5952075201620914,0.003870554468496176
M3,Q5,456.1294178636005,894.5651129169396,111.5082976510298,111.50925792745828,205.82836324470546,41.1656726489411,152.6739702999709,152.6749305763994,0.0009602764284721843,2.9292542649272946e-05,False,False,True,27.740821299899633,347.93121337890625,False,3.9094219999969937,2108,472,2147,9.561350109264671e-05,-1.1034298643844522,0.007175456034396694
