seed,stress,variant,total,cleared,clear_rate,error,mean_time_per_source,distance,fallback_count,grid_points,clear_attempts,optical_clear_attempts,diagnostic_count,detect_count,switch_count,runtime,config_hash
7,cluster,P4_diagnostic_v1,16,16,1.0,,674.4242894002048,35648.94315201636,0,0,16,0,0,605,556,2.6006808999991335,20e64799f04f01d1fb1b5464620a5f79d1600c80ea31ba792e04019f6bab6949
7,cluster,P4_diagnostic_v2,16,16,1.0,,674.4242894002048,35648.94315201636,0,0,16,0,0,605,556,2.611909300001571,307bdde9bb28e4e31fe57181341b7fbf2ce954ab6927a71e683371dd70a5a695
7,cluster,P4_route_only,16,16,1.0,,674.4242894002048,35648.94315201636,0,0,16,0,0,605,556,2.431238299999677,7137893ecb99cb1d66ea52c4632cb5aa1efd276b6882c4f93f74497d2cbdf232
8,random,P4_current,15,15,1.0,,1879.6293721901027,123227.20291425771,1,308,207,193,0,491,443,2.029568800000561,2fa715e1dcfd6fc70fc744e5c9d93d446823ad806bed0b77d6bace9168105808
8,random,P4_diagnostic_v1,15,15,1.0,,805.2796477296046,45480.97357972035,0,0,15,0,2,493,443,2.1687652000000526,20e64799f04f01d1fb1b5464620a5f79d1600c80ea31ba792e04019f6bab6949
8,random,P4_diagnostic_v2,15,15,1.0,,800.9886998119166,45159.152485893734,0,0,15,0,2,493,443,2.6224679999995715,307bdde9bb28e4e31fe57181341b7fbf2ce954ab6927a71e683371dd70a5a695
8,random,P4_route_only,15,15,1.0,,874.5558395049768,48206.68796287325,1,308,183,169,0,491,443,1.9932828000000882,7137893ecb99cb1d66ea52c4632cb5aa1efd276b6882c4f93f74497d2cbdf232
9,edge,P4_current,12,12,1.0,,1038.7207554745307,42898.245328471865,0,0,12,0,0,645,600,1.9394329999995534,2fa715e1dcfd6fc70fc744e5c9d93d446823ad806bed0b77d6bace9168105808
9,edge,P4_diagnostic_v1,12,12,1.0,,1038.7207554745307,42898.245328471865,0,0,12,0,0,645,600,1.9863005000006524,20e64799f04f01d1fb1b5464620a5f79d1600c80ea31ba792e04019f6bab6949
9,edge,P4_diagnostic_v2,12,12,1.0,,1038.7207554745307,42898.245328471865,0,0,12,0,0,645,600,2.0085875000004307,307bdde9bb28e4e31fe57181341b7fbf2ce954ab6927a71e683371dd70a5a695
9,edge,P4_route_only,12,12,1.0,,1038.7207554745307,42898.245328471865,0,0,12,0,0,645,600,1.914944899999682,7137893ecb99cb1d66ea52c4632cb5aa1efd276b6882c4f93f74497d2cbdf232
10,bias,P4_current,15,15,1.0,,795.4526470298948,45143.94852724209,1,28,27,13,0,472,432,1.7435461999994004,2fa715e1dcfd6fc70fc744e5c9d93d446823ad806bed0b77d6bace9168105808
10,bias,P4_diagnostic_v1,15,15,1.0,,790.9738203288537,44933.03652466402,0,0,15,0,2,474,433,1.8127906999998231,20e64799f04f01d1fb1b5464620a5f79d1600c80ea31ba792e04019f6bab6949
10,bias,P4_diagnostic_v2,15,15,1.0,,791.3453996377568,44935.90497283175,0,0,15,0,3,475,433,3.028849199999968,307bdde9bb28e4e31fe57181341b7fbf2ce954ab6927a71e683371dd70a5a695
10,bias,P4_route_only,15,15,1.0,,793.9128947217267,44968.4671041295,1,28,31,17,0,472,432,1.762167999999292,7137893ecb99cb1d66ea52c4632cb5aa1efd276b6882c4f93f74497d2cbdf232
11,cluster,P4_current,10,10,1.0,,1099.1949797980787,34569.74898990393,0,0,10,0,0,679,633,1.5877574000005552,2fa715e1dcfd6fc70fc744e5c9d93d446823ad806bed0b77d6bace9168105808
11,cluster,P4_diagnostic_v1,10,10,1.0,,1099.1949797980787,34569.74898990393,0,0,10,0,0,679,633,1.660621999999421,20e64799f04f01d1fb1b5464620a5f79d1600c80ea31ba792e04019f6bab6949
