id,cohort,family,variant,run_status,error,total,cleared,virtual_time_s,mean_time_per_source,original_time_per_cleared,distance,detect_count,switch_count,clear_attempts,failed_clears,runtime_s,completion_reason,engine_end_reason,fallback_count,diagnostic_count,directional_count,scene_hash,source_hash,config_hash,remaining_tracks,transport,stage_discovery_s,stage_active_localization_s,stage_diagnostic_s,stage_optical_fallback_s,stage_certified_clear_s,first_source_first_seen_s,last_source_first_seen_s,last_source_first_seen_per_source_s,final_discovery_measure_s,post_last_seen_discovery_s,post_all_cleared_discovery_s,post_last_seen_discovery_measures,post_all_cleared_discovery_measures,discovery_nodes,discovery_measures,discovery_travel_s,discovery_measure_s,discovery_switch_s,known_actual_count,known_actual_measure_s,known_actual_switch_s,unseen_actual_count,unseen_actual_measure_s,unseen_actual_switch_s,absent_channel_count,absent_channel_measure_s,absent_channel_switch_s,audit_passed,known16_reached,known16_enabled,known16_time_s,known16_cleared,known16_unresolved,post_known16_s,conservative_set_checks
293,stress,boundary_outward,R2,FULL_CLEAR,,16,16,10395.422465,649.7139040625,649.7139040625,39147.11234083663,418,390,18,2,5.398944799992023,public_max_cleared,user_exit,2,11,15,3152827c0657f04d57d3fd6888af1b5513b1cffa7349618089cc3dcfa8a4ba18,c8ee7cf0047be6a556716e6110a1887d5b39e30a9a4761165ddadded151cbc63,ad6f6ac36a2f55f3a95b0c23b8acacf0e55549b599af596fed473e92300394c4,0,core,5269.793224999999,1696.0244920000005,2658.1447270000017,39.450096999999914,732.0099239999979,1160.982143,7450.973239,465.6858274375,7486.973239,36.0,0,6,0,25,389,2952.7932249999994,1945.0,372.0,62.0,310.0,60.0,227.0,1135.0,226.0,100.0,500.0,86.0,True,True,False,7450.973239,10,6,2944.4492259999997,125
293,stress,boundary_outward,R12,FULL_CLEAR,,16,16,10391.24345,649.452715625,649.452715625,39201.217263030434,412,384,25,9,5.361368499987293,public_max_cleared,user_exit,3,11,15,3152827c0657f04d57d3fd6888af1b5513b1cffa7349618089cc3dcfa8a4ba18,c8ee7cf0047be6a556716e6110a1887d5b39e30a9a4761165ddadded151cbc63,8b388593ef2e9bdd4e80ec6a5d13f907c92e148dce5ef7b19a5a8078bffe25e0,0,core,5233.793224999999,1695.9816460000002,2643.6269730000013,192.57478299999912,625.2668229999997,1160.982143,7450.973239,465.6858274375,7450.973239,0,0,0,0,25,383,2952.7932249999994,1915.0,366.0,60.0,300.0,58.0,227.0,1135.0,226.0,96.0,480.0,82.0,True,True,True,7450.973239,10,6,2940.270211,130
294,stress,grid_vicinity,R0,FULL_CLEAR,,16,16,8161.952953,510.1220595625,510.1220595625,29524.76476409029,368,337,16,0,2.881104999993113,public_max_cleared,user_exit,0,1,15,966a6a6dbc07c775784b8f0c31c77163603c170f05e94e4238ea4cf490abe57f,c8ee7cf0047be6a556716e6110a1887d5b39e30a9a4761165ddadded151cbc63,a83f9b9046a67008b589df491c3fa79e7c9047910fd773dfff7c4327160acf7c,0,core,5798.125669,1139.7009939999994,71.74878900000022,0.0,1152.3775010000002,11.0,3342.851367,208.9282104375,8017.404766,3781.575506,0,171,0,34,353,3705.125669,1765.0,328.0,133.0,665.0,133.0,84.0,420.0,83.0,136.0,680.0,112.0,True,True,False,3342.851367,9,7,4819.101586,178
294,stress,grid_vicinity,R1,FULL_CLEAR,,16,16,5265.129829,329.0706143125,329.0706143125,19325.64915172754,206,191,49,33,3.2311752999958117,public_max_cleared,user_exit,1,7,15,966a6a6dbc07c775784b8f0c31c77163603c170f05e94e4238ea4cf490abe57f,c8ee7cf0047be6a556716e6110a1887d5b39e30a9a4761165ddadded151cbc63,7b6ab61b38248b4dd3aed2ba1ac0d2b554bb786d5fded8da95698455f218b2e9,0,core,2016.550163,1257.277298999999,914.1745079999996,376.0822079999998,701.045651000002,11.0,3342.851367,208.9282104375,3342.851367,0,0,0,0,12,182,929.5501630000001,910.0,177.0,53.0,265.0,53.0,84.0,420.0,83.0,45.0,225.0,41.0,True,True,True,3342.851367,9,7,1922.2784620000002,140
294,stress,grid_vicinity,R2,FULL_CLEAR,,16,16,6021.911495,376.3694684375,376.3694684375,21769.55748210937,262,239,29,13,2.7629472999979043,public_max_cleared,user_exit,1,1,15,966a6a6dbc07c775784b8f0c31c77163603c170f05e94e4238ea4cf490abe57f,c8ee7cf0047be6a556716e6110a1887d5b39e30a9a4761165ddadded151cbc63,ad6f6ac36a2f55f3a95b0c23b8acacf0e55549b599af596fed473e92300394c4,0,core,3408.4558549999992,1644.3923780000007,375.33694300000025,114.48875399999997,479.237565,11.0,3482.835358,217.677209875,5808.066099,1409.0512169999997,0,63,0,22,243,1964.4558549999992,1215.0,229.0,72.0,360.0,72.0,83.0,415.0,82.0,88.0,440.0,75.0,True,True,False,3482.835358,10,6,2539.0761370000005,131
294,stress,grid_vicinity,R12,FULL_CLEAR,,16,16,5854.058614,365.878663375,365.878663375,22560.293075040583,208,183,29,13,3.5358477999980096,public_max_cleared,user_exit,1,7,15,966a6a6dbc07c775784b8f0c31c77163603c170f05e94e4238ea4cf490abe57f,c8ee7cf0047be6a556716e6110a1887d5b39e30a9a4761165ddadded151cbc63,8b388593ef2e9bdd4e80ec6a5d13f907c92e148dce5ef7b19a5a8078bffe25e0,0,core,1999.4046379999995,2045.240705,1136.3896170000003,114.48875399999997,558.5348999999998,11.0,3482.835358,217.677209875,3482.835358,0,0,0,0,14,180,928.4046379999996,900.0,171.0,44.0,220.0,44.0,83.0,415.0,82.0,53.0,265.0,45.0,True,True,True,3482.835358,10,6,2371.2232559999998,114
295,stress,cluster_mixed,R0,FULL_CLEAR,,16,16,1552.428909,97.0268068125,97.0268068125,5152.14455456669,75,67,16,0,1.9299150000006193,public_max_cleared,user_exit,0,6,15,cf2aacea9acfee007ccb1e95843d3286ff74f6ad4aa75c7414bb68dc5e5153fa,c8ee7cf0047be6a556716e6110a1887d5b39e30a9a4761165ddadded151cbc63,a83f9b9046a67008b589df491c3fa79e7c9047910fd773dfff7c4327160acf7c,0,core,765.991821,79.18460099999993,260.1642079999999,0.0,447.08827900000017,5.0,675.268508,42.20428175,1030.529616,198.51653399999998,0,14,0,4,67,366.99182099999996,335.0,64.0,26.0,130.0,26.0,25.0,125.0,24.0,16.0,80.0,14.0,True,True,False,675.268508,4,12,877.160401,66
295,stress,cluster_mixed,R1,FULL_CLEAR,,16,16,2180.519514,136.282469625,136.282469625,8247.597575231446,74,60,23,7,2.510681999992812,public_max_cleared,user_exit,1,9,15,cf2aacea9acfee007ccb1e95843d3286ff74f6ad4aa75c7414bb68dc5e5153fa,c8ee7cf0047be6a556716e6110a1887d5b39e30a9a4761165ddadded151cbc63,7b6ab61b38248b4dd3aed2ba1ac0d2b554bb786d5fded8da95698455f218b2e9,0,core,567.475287,399.6607299999997,640.1306649999999,114.15373900000009,459.0990930000004,5.0,675.268508,42.20428175,675.268508,0,0,0,0,3,53,252.47528699999998,265.0,50.0,19.0,95.0,19.0,25.0,125.0,24.0,9.0,45.0,7.0,True,True,True,675.268508,4,12,1505.251006,79
295,stress,cluster_mixed,R2,FULL_CLEAR,,16,16,1560.329971,97.5206231875,97.5206231875,5431.649848055243,66,64,16,0,1.0248623000079533,public_max_cleared,user_exit,0,0,15,cf2aacea9acfee007ccb1e95843d3286ff74f6ad4aa75c7414bb68dc5e5153fa,c8ee7cf0047be6a556716e6110a1887d5b39e30a9a4761165ddadded151cbc63,ad6f6ac36a2f55f3a95b0c23b8acacf0e55549b599af596fed473e92300394c4,0,core,831.722837,109.8217010000003,0.0,0.0,618.7854329999996,5.0,878.149297,54.8843310625,1376.831094,230.901339,0,12,0,4,62,461.722837,310.0,60.0,20.0,100.0,20.0,26.0,130.0,25.0,16.0,80.0,15.0,True,True,False,878.149297,6,10,682.1806739999998,56
295,stress,cluster_mixed,R12,FULL_CLEAR,,16,16,2174.265853,135.8916158125,135.8916158125,8561.329254344093,65,57,16,0,1.7648551000020234,public_max_cleared,user_exit,0,7,15,cf2aacea9acfee007ccb1e95843d3286ff74f6ad4aa75c7414bb68dc5e5153fa,c8ee7cf0047be6a556716e6110a1887d5b39e30a9a4761165ddadded151cbc63,8b388593ef2e9bdd4e80ec6a5d13f907c92e148dce5ef7b19a5a8078bffe25e0,0,core,600.821498,219.51151900000025,619.4586600000002,0.0,734.4741759999994,5.0,878.149297,54.8843310625,878.149297,0,0,0,0,3,50,302.821498,250.0,48.0,16.0,80.0,16.0,26.0,130.0,25.0,8.0,40.0,7.0,True,True,True,878.149297,6,10,1296.116556,63
