id,step,candidate,oracle_delta,mean,se,lcb,ucb,loss_cvar90,group
52,11,4,688.8004689999998,101.21187543750004,106.68157463975274,-194.34469243780467,396.7684433128048,322.7253640000001,middle
68,5,17,652.0690960000002,39.05480043749989,212.0590339784357,-548.4453417497934,626.5549426247933,1436.039636125,middle
70,1,14,746.596485,352.15652675,169.52528801072543,-117.50575993556032,821.8188134355603,633.603164,early
102,2,7,99.10305599999992,93.08787531249996,145.43699561393865,-309.83886635685303,496.014616981853,956.0156986249996,early
114,7,8,670.7108439999993,0.9340398125001173,190.87740236294977,-527.8833320518731,529.7514116768734,1189.0815818750002,middle
162,1,21,-486.8956850000004,209.4783710625,161.1631671679332,-237.01703094967576,655.9737730746758,619.3885401249997,early
255,18,3,10.04229000000032,13.141846250000183,75.83150906416837,-196.9459841133426,223.22967661334297,523.2663301249996,late
290,8,10,369.7820329999995,139.63736437500006,190.2160826426659,-387.347850554538,666.6225793045381,793.9297402500005,middle
292,8,9,-401.8775850000002,38.61168781249975,116.23649616137467,-283.41636607887426,360.6397417038738,510.0144258750006,middle
371,5,5,-670.5719980000003,123.44650106250003,153.80996894442242,-302.6771916157398,549.5701937407398,796.7516475000002,early
396,9,14,840.0947980000001,190.82508631250005,152.81771420500533,-232.5496086477136,614.1997812727136,893.8074852499992,middle
416,1,23,-702.4720379999999,103.10406275000004,99.53687214837414,-172.65842396393492,378.866549463935,612.8622186250005,early
431,17,3,110.32684900000004,8.614050874999862,99.27693026225798,-266.4282783800021,283.6563801300019,515.3713968750002,late
484,1,14,-308.45560100000057,442.9079494375,156.70852609242175,8.753932822385309,877.0619660526147,663.1356412499998,early
486,10,8,86.94189000000006,200.51977518749987,186.6931661230597,-316.7053558759905,717.7449062509902,1125.5469441249993,middle
502,4,9,22.518839999998814,52.17653487500013,136.10065775243592,-324.8842971076228,429.237366857623,494.8486582499997,early
531,3,19,324.6795229999998,77.97328356249994,72.90191099277385,-123.99822536333728,279.9447924883372,236.63969349999996,early
556,1,1,141.14010000000053,160.5598738125001,119.75121396227864,-171.20554975862677,492.32529738362695,533.2680506249993,early
586,7,3,31.2221440000003,98.6909253125,92.1521349306187,-156.61247468368487,353.9943253086849,591.0343965000003,early
613,11,6,-78.07334999999966,31.8590762500001,67.17427345474479,-154.24426707657508,217.9624195765753,527.8045281249998,middle
690,15,9,-38.90999000000011,55.122521312500055,75.5096131225587,-154.07351063076493,264.31855325576504,428.5882762499994,middle
698,1,23,552.2229189999998,50.289644499999895,111.93710410631404,-259.8271345153228,360.4064235153226,523.1222541249999,early
824,1,22,435.8041290000001,100.40595725000004,112.59027694084756,-211.5204081147557,412.33232261475575,818.4194908750002,early
909,1,14,622.4969740000006,111.9006145625001,116.4484752709626,-210.7147180440844,434.5159471690846,406.1897801249996,early
923,4,7,9.737664999999652,101.56063493749993,81.45349064704027,-124.10264589048782,327.2239157654876,548.391454,early
962,2,21,-587.3093129999997,143.70301443749997,54.68758063528795,-7.806500608097849,295.2125294830978,270.77339262500004,early
970,0,2,-181.7333410000001,49.698356875,83.88214479152148,-182.69340247350937,282.09011622350937,408.7852793749999,early
982,0,24,106.68454500000009,75.33370181249995,203.13090996562863,-487.43146903882416,638.0988726638241,781.0641806250003,early
