time_s,r_m,Ta_K,Ca_kgkg,Tb_K,Cb_kgkg,abs_dT_K,abs_dC_kgkg
30.0,0.015,301.1510169613333,2.5499998943333333,301.1508975892801,2.5499999999347196,0.0001193720532342013,1.0560138630211213e-07
30.0,0.019,301.1668510720832,2.521699443521436,301.1663554430612,2.537820770214485,0.0004956290219979564,0.01612132669304911
30.0,0.0195,301.17181750730583,2.4969445868231497,301.1720409393715,2.4939039401672782,0.00022343206569530594,0.0030406466558714484
30.0,0.02,301.1799183228002,2.311310544909336,301.179315475737,2.362622394181587,0.0006028470631918026,0.05131184927225085
60.0,0.0,301.1500006331715,2.55,301.1500003516941,2.55,2.814774120452057e-07,0.0
60.0,0.0001,301.1500006349986,2.55,301.1500003527522,2.55,2.822463898155547e-07,0.0
60.0,0.0005,301.1500006788493,2.55,301.15000038108656,2.55,2.977627673317329e-07,0.0
60.0,0.001,301.15000083618423,2.55,301.1500004614185,2.55,3.7476576153494534e-07,0.0
60.0,0.005,301.1500133317053,2.55,301.15000964721736,2.55,3.6844879218733695e-06,0.0
60.0,0.01,301.15046560440555,2.5499999999997716,301.1504111023499,2.55,5.450205566148725e-05,2.282618538629322e-13
60.0,0.015,301.1586531877231,2.549997212737538,301.1583341396059,2.5499999726639144,0.0003190481171486681,2.759926376327826e-06
60.0,0.019,301.2047079499504,2.4942039744835265,301.20404166978733,2.5141722338996986,0.0006662801630454851,0.019968259416172085
60.0,0.0195,301.2158102623407,2.451106744663148,301.2161876767843,2.4454777653140933,0.00037741444356242937,0.005628979349054486
60.0,0.02,301.2312835685621,2.2676442802747485,301.2305439143137,2.301885991285474,0.0007396542483775193,0.034241711010725595
120.0,0.0,301.15026795795956,2.55,301.15023797838006,2.55,2.9979579494465725e-05,0.0
120.0,0.0001,301.15026819845855,2.55,301.1502381954427,2.55,3.000301586553178e-05,0.0
120.0,0.0005,301.1502739704341,2.55,301.15024400789684,2.55,2.9962537269057066e-05,0.0
