path,stage,position,channel,response,rng_before,travel_m,travel_s,switch_s,measure_s,clear_s,total_s,actions
/measure,discovery,"[-485.0, -840.0446416709054]",2.0,"{'accepted': True, 'virtual_time_s': 330.0, 'measure_result': 'no_signal'}",1438b7e8f4b5bbf423bd002c9713bedd337ae12c93929376564d05d2340e729b,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[-485.0, -840.0446416709054]",3.0,"{'accepted': True, 'virtual_time_s': 336.0, 'measure_result': 'direction', 'svd_deg': 322.67}",1438b7e8f4b5bbf423bd002c9713bedd337ae12c93929376564d05d2340e729b,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[-485.0, -840.0446416709054]",4.0,"{'accepted': True, 'virtual_time_s': 342.0, 'measure_result': 'no_signal'}",ca0dc8ea60fcaa8e4adaeeb3698af1feaba30603723deb1155b12887ae950c54,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[-485.0, -840.0446416709054]",5.0,"{'accepted': True, 'virtual_time_s': 348.0, 'measure_result': 'no_signal'}",ca0dc8ea60fcaa8e4adaeeb3698af1feaba30603723deb1155b12887ae950c54,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[-485.0, -840.0446416709054]",6.0,"{'accepted': True, 'virtual_time_s': 354.0, 'measure_result': 'no_signal'}",ca0dc8ea60fcaa8e4adaeeb3698af1feaba30603723deb1155b12887ae950c54,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[-485.0, -840.0446416709054]",7.0,"{'accepted': True, 'virtual_time_s': 360.0, 'measure_result': 'direction', 'svd_deg': 149.57}",ca0dc8ea60fcaa8e4adaeeb3698af1feaba30603723deb1155b12887ae950c54,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[-485.0, -840.0446416709054]",8.0,"{'accepted': True, 'virtual_time_s': 366.0, 'measure_result': 'no_signal'}",a745764105f43f64271a38adb657fcc5d4409393dc780a15cfb7f6a6c0984e93,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[-485.0, -840.0446416709054]",9.0,"{'accepted': True, 'virtual_time_s': 372.0, 'measure_result': 'no_signal'}",a745764105f43f64271a38adb657fcc5d4409393dc780a15cfb7f6a6c0984e93,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[-485.0, -840.0446416709054]",10.0,"{'accepted': True, 'virtual_time_s': 378.0, 'measure_result': 'direction', 'svd_deg': 170.02}",a745764105f43f64271a38adb657fcc5d4409393dc780a15cfb7f6a6c0984e93,0.0,0.0,1.0,5.0,0.0,6.0,1.0
/measure,discovery,"[-485.0, -840.0446416709054]",11.0,"{'accepted': True, 'virtual_time_s': 384.0, 'measure_result': 'no_signal'}",c053f2c0209cda2ce7ed1d19c360131f6b3b3dbbe95397681897dce9965416f3,0.0,0.0,1.0,5.0,0.0,6.0,1.0
