id,variant,channel,adopted,saving_us,planning_wall_s
0,A,9,True,1097967,0.04134700002032332
0,A,19,True,3922227,0.045761700021103024
0,A,16,True,2037496,0.08667690001311712
0,A,14,True,3336996,0.023301900015212595
0,A,12,False,0,0.017643300001509488
0,A,1,True,539789,0.11359960000845604
0,A,6,True,2395517,0.032467200013343245
0,A,3,True,599770,0.024928599974373356
0,A,17,True,3746451,0.025013199978275225
0,A,2,True,131914,0.023576100007630885
0,A,11,True,95687,0.024030500004300848
0,B,3,True,3205681,0.03202060001785867
0,B,17,True,1331378,0.14026829999056645
0,B,2,True,821231,0.02774020002107136
0,B,6,True,2620111,0.06101790000684559
0,B,1,True,1835245,0.10937240000930615
0,B,9,True,686171,0.11538000003201887
0,B,16,True,2904246,0.0990219000086654
0,B,20,True,982659,0.09062920001451857
0,B,19,True,5699107,0.028899199998704717
0,B,14,True,557434,0.0363350999832619
0,B,15,True,634987,0.09984290003194474
0,B,12,True,696805,0.023484300007112324
0,B,11,True,2017830,0.017143999983090907
1,A,16,True,432659,0.0939885999832768
1,A,17,True,1312162,0.10920100001385435
1,A,6,True,4489728,0.0855318000249099
1,A,15,True,813390,0.07811289999517612
1,A,5,True,3202147,0.07223479999811389
1,A,9,True,4894779,0.03102630001376383
1,A,12,True,3381068,0.023568199976580217
1,A,7,True,1399365,0.023261499998625368
1,A,8,True,1550560,0.024269599991384894
1,A,18,False,0,0.03126509999856353
1,A,20,True,3237872,0.0968441000150051
1,A,14,True,1367464,0.12698410003213212
1,A,3,True,4157557,0.02756230000522919
1,A,19,True,1189143,0.02045219999854453
1,A,4,True,661760,0.018360499991104007
1,A,1,True,2527037,0.018826399988029152
1,B,3,True,2123532,0.04813979999744333
1,B,18,True,949129,0.1067386000067927
1,B,20,True,2421344,0.08572640002239496
1,B,14,True,1432499,0.03304879998904653
1,B,19,True,1224115,0.14623630000278354
1,B,4,True,1465608,0.04075340001145378
1,B,6,True,888581,0.036186000012094155
1,B,16,True,5372552,0.03149429996847175
1,B,8,True,1469699,0.03145099998801015
1,B,1,True,2932862,0.03326450000167824
1,B,9,True,2231281,0.028539699997054413
1,B,15,True,802140,0.03314200000022538
1,B,12,True,3676302,0.0908179999969434
1,B,7,True,2489153,0.021833200007677078
2,A,15,True,3012730,0.03470240000751801
2,A,4,True,3605426,0.027354600024409592
2,A,14,True,4921340,0.07654639999964274
2,A,9,True,1422475,0.02074259996879846
2,A,6,True,3322789,0.020281100005377084
2,A,20,True,1384557,0.030953999987104908
2,A,5,True,876228,0.04083929999615066
2,A,16,True,3535166,0.03838119996362366
2,A,1,True,1593038,0.1066063999896869
2,A,19,True,1567534,0.035117799998261034
2,A,18,True,2837039,0.10936549998586997
2,A,11,True,1218816,0.025505300000077114
2,A,12,True,249176,0.02591179998125881
2,A,3,True,3253499,0.026208800001768395
2,A,2,True,859368,0.022630600025877357
2,B,18,True,3874271,0.03850829997099936
2,B,11,True,2500524,0.03953570002340712
2,B,3,True,273148,0.08690190000925213
2,B,12,True,4263919,0.06932099998812191
2,B,5,True,3702642,0.09000959998229519
2,B,16,True,5713478,0.038957400014624
2,B,2,True,227647,0.03888730000471696
2,B,19,True,5852521,0.03320610002265312
2,B,1,True,1121794,0.03060719999484718
2,B,15,True,3137935,0.036782899987883866
2,B,17,True,1169391,0.09729010000592098
2,B,4,True,2894062,0.02433390001533553
2,B,14,True,4558275,0.025312499987194315
2,B,9,True,1608341,0.01973770000040531
2,B,6,True,249152,0.020436799997696653
2,B,20,True,1269140,0.02088039999944158
3,A,13,True,3347877,0.020422000030521303
3,A,11,True,3015298,0.019772300001932308
3,A,4,True,1790269,0.01694339999812655
3,A,10,True,394737,0.02292309998301789
3,A,20,True,739241,0.03842280001845211
3,A,9,True,4173832,0.04543949998333119
3,A,18,True,346389,0.03673829999752343
3,A,7,True,739676,0.10816970001906157
3,A,15,True,1867252,0.034742799995001405
3,A,1,False,0,0.11211240000557154
3,A,5,True,2726700,0.0310944999800995
3,B,9,True,109828,0.019795400003204122
3,B,18,True,2086678,0.039355299988528714
3,B,15,True,1957945,0.023103600018657744
3,B,13,True,1605414,0.02698910000617616
3,B,1,True,2102962,0.07022769999457523
3,B,5,True,3163988,0.02336489997105673
3,B,7,True,5236429,0.02575629999046214
3,B,20,True,3166686,0.027813699969556183
3,B,19,True,1792245,0.029288799967616796
3,B,11,True,368994,0.03034920003847219
3,B,4,True,2204517,0.029179999983171
3,B,10,True,1205809,0.027718399971490726
4,A,13,True,5383520,0.043261899991193786
4,A,11,True,4510143,0.03089429999818094
4,A,9,True,845735,0.09166199999162927
4,A,3,True,4145955,0.08013329998357221
4,A,12,True,3265860,0.026001499994890764
4,A,2,True,3520738,0.03361749998293817
4,A,15,True,2076567,0.03693739997106604
4,A,8,True,2372076,0.1167565000068862
4,A,19,True,260736,0.030888800014508888
4,A,5,True,2559480,0.03407709999009967
4,A,20,True,1923924,0.10202140000183135
4,A,14,True,1174178,0.029138400015654042
4,A,16,True,294621,0.026339000003645197
4,B,9,True,999508,0.10791400002199225
4,B,3,True,4240765,0.1000653000373859
4,B,12,True,4945448,0.030895300005795434
4,B,17,True,288262,0.0815510000102222
4,B,13,True,2017466,0.030034600000362843
4,B,2,True,50962,0.03382350000902079
4,B,20,True,4446103,0.13833630000590347
4,B,5,True,130807,0.02371780000976287
4,B,14,True,3049395,0.030799000029219314
4,B,16,True,2290615,0.027303500013658777
4,B,11,True,3826437,0.09022450001793914
4,B,15,True,4246001,0.0218890999967698
4,B,8,True,3496230,0.02517690000240691
4,B,19,True,914196,0.0219379999616649
5,A,6,True,2657269,0.05075130000477657
5,A,5,True,411035,0.06554400001186877
5,A,18,True,5424476,0.030670999985886738
5,A,11,True,1910603,0.04306539997924119
5,A,7,True,3134221,0.04162830000859685
5,A,9,True,63069,0.11713810000219382
5,A,2,True,1883779,0.12078420000034384
5,A,15,True,4475106,0.03924760001245886
5,A,14,True,282969,0.036776899971300736
5,A,16,True,503081,0.03842280001845211
5,A,17,True,3988662,0.11784190003527328
5,A,8,True,532643,0.10373500001151115
5,A,1,True,2050100,0.03696649998892099
5,A,20,True,6387741,0.03034050000132993
5,B,16,True,2461466,0.02287149999756366
5,B,8,True,826767,0.02601689999573864
5,B,2,True,2027820,0.018414499994833022
5,B,6,True,594205,0.023523000010754913
5,B,7,True,3720414,0.019647199980681762
5,B,20,True,921240,0.02907039999263361
5,B,17,True,3178086,0.030153100000461563
5,B,15,True,4871284,0.10198220002348535
5,B,1,True,1219664,0.035427199967671186
5,B,14,True,90581,0.02799070000764914
5,B,18,True,572067,0.027654600009554997
5,B,11,True,3112564,0.08453019999433309
5,B,5,True,3931363,0.028088799997931346
5,B,12,True,924132,0.1378429999749642
