id,total,saved_total_s,saved_s_per_source,both_success,baseline_exact_match
0,10,761.5982800000002,76.15982800000002,True,True
1,14,903.1418060000005,64.51012900000003,True,True
2,10,419.48335199999974,41.948335199999974,True,True
3,12,181.15287100000023,15.096072583333353,True,True
4,16,385.5423659999997,24.09639787499998,True,True
5,10,455.82456200000024,45.582456200000024,True,True
6,11,0.0,0.0,True,True
7,13,368.1617130000004,28.3201317692308,True,True
8,15,32.53197100000034,2.1687980666666893,True,True
9,11,688.2454510000002,62.56776827272729,True,True
10,12,329.70634100000007,27.475528416666673,True,True
11,16,959.8956059999996,59.993475374999974,True,True
12,13,89.44697799999994,6.880536769230765,True,True
13,11,753.7720869999998,68.52473518181817,True,True
14,11,626.1652350000004,56.92411227272731,True,True
15,14,682.7043220000005,48.76459442857146,True,True
16,11,740.374292,67.30675381818182,True,True
17,11,399.95813799999996,36.35983072727272,True,True
18,12,384.4427559999999,32.036896333333324,True,True
19,11,107.31326399999989,9.755751272727263,True,True
20,13,612.1418829999998,47.08783715384614,True,True
21,12,-1232.1464389999996,-102.67886991666664,True,True
22,11,844.6809900000003,76.78918090909093,True,True
23,10,444.08638199999996,44.4086382,True,True
24,11,385.05216199999995,35.00474199999999,True,True
25,11,52.01800099999991,4.728909181818174,True,True
26,15,872.6324239999999,58.175494933333326,True,True
27,13,-531.1099820000004,-40.85461400000003,True,True
28,15,190.9926690000002,12.732844600000014,True,True
29,14,-11.370672999999897,-0.8121909285714212,True,True
30,14,932.3357020000003,66.5954072857143,True,True
31,14,360.54388199999994,25.753134428571425,True,True
