arm,n,mean,p95,p99,max,normalized_variance
MYOPIC,128,808.4582907573168,1097.9424293149998,1179.0821870910002,1229.9335268999998,0.06823888111213587
R12,128,564.3390175796569,730.44279947,743.9927499340001,760.323520090909,0.036052430286940794
TERMINAL,128,611.9508033485972,819.952886045,903.7497555010002,928.0549426363636,0.04819259100596794
