x,y,worst_sampled_diameter_m,action_time_s,safe
616.3139720814413,32.512886940357106,242.45488318197008,128.4341929936758,True
596.3139720814413,67.15390309173466,269.58279259579865,125.01666550941998,True
576.3139720814413,101.79491924311219,305.11941982288585,122.04699910719626,True
556.3139720814413,136.43593539448975,353.3447215610316,119.5600279329575,True
536.3139720814413,171.0769515458673,422.02281019144,117.58774356030058,True
516.3139720814413,205.71796769724483,526.8554029407134,116.15754585272202,True
496.3139720814413,240.3589838486224,705.1133555402869,115.29052543169789,True
476.3139720814413,274.99999999999994,951.9251552633132,115.0,True
456.3139720814413,309.64101615137747,703.7367463960952,115.29052543169789,True
436.3139720814413,344.28203230275506,525.707170779967,116.15754585272202,True
416.3139720814413,378.9230484541326,421.05079209886264,117.58774356030055,True
396.3139720814413,413.5640646055101,352.50605173762796,119.5600279329575,True
376.3139720814413,448.2050807568877,304.3836355189255,122.04699910719626,True
356.3139720814413,482.8460969082652,268.9282882357535,125.01666550941998,True
336.3139720814413,517.4871130596428,241.8659956850438,128.4341929936758,True
719.6152422706632,-46.41016151377556,179.3401610923025,149.22205101855957,True
699.6152422706632,-11.769145362397978,192.2189242989324,144.94284547628723,True
679.6152422706632,22.87187078897955,208.08254489307956,141.0,True
659.6152422706632,57.512886940357106,227.95449918606536,137.4235628579748,True
639.6152422706632,92.15390309173466,253.37978466921206,134.24395537122808,True
619.6152422706632,126.79491924311219,286.80554229917976,131.49110640673518,True
599.6152422706632,161.43593539448975,332.3523399321516,129.1933975700802,True
579.6152422706632,196.0769515458673,397.5404950412446,127.37646832622684,True
559.6152422706632,230.71796769724483,497.7099130224297,126.06196760337245,True
539.6152422706632,265.3589838486224,669.7595036153922,125.26637102698325,True
519.6152422706632,299.99999999999994,901.9427394694599,125.0,True
499.6152422706632,334.64101615137747,668.3890491023199,125.26637102698325,True
479.6152422706632,369.28203230275506,496.5746668305957,126.06196760337245,True
459.6152422706632,403.9230484541326,396.5839393182489,127.37646832622684,True
439.6152422706632,438.5640646055101,331.5297614094775,129.19339757008018,True
419.6152422706632,473.2050807568877,286.08569725476735,131.49110640673518,True
399.6152422706632,507.8460969082652,252.7407378778451,134.24395537122808,True
379.6152422706632,542.4871130596428,227.38045730329927,137.4235628579748,True
359.6152422706632,577.1281292110203,207.56182256139977,141.0,True
339.6152422706632,611.7691453623979,191.7426556985191,144.94284547628723,True
319.6152422706632,646.4101615137754,178.90146886442082,149.22205101855957,True
802.9165124598852,-90.69219381653062,150.85140048532375,166.60445538412608,True
782.9165124598852,-56.05117766515309,158.94316700139223,161.98407562552325,True
762.9165124598852,-21.410161513775563,168.69992721706677,157.64337522473753,True
742.9165124598852,13.230854637602022,180.59514899165555,153.6068639060794,True
722.9165124598852,47.87187078897955,195.29619467921742,149.89996549343965,True
702.9165124598852,82.5128869403571,213.77452946959994,146.54857823376398,True
682.9165124598852,117.15390309173466,237.5008859389519,143.57849761056008,True
662.9165124598852,151.7949192431122,268.8131090154092,141.01470508735446,True
642.9165124598852,186.43593539448975,311.66583481348556,138.8805437694365,True
622.9165124598852,221.0769515458673,373.32123268483986,137.19682295728595,True
602.9165124598852,255.71796769724483,468.7236943112613,135.98091464026353,True
582.9165124598852,290.3589838486224,634.3173911565779,135.2459212413195,True
562.9165124598852,324.99999999999994,851.9623872802474,135.0,True
542.9165124598852,359.64101615137747,632.9533200368035,135.2459212413195,True
522.9165124598852,394.28203230275506,467.60204799291773,135.98091464026353,True
502.9165124598852,428.9230484541326,372.3807841303553,137.19682295728595,True
482.9165124598852,463.5640646055101,310.8599471084797,138.88054376943649,True
462.9165124598852,498.2050807568877,268.1097472850972,141.01470508735446,True
442.9165124598852,532.8460969082653,236.87778994809446,143.57849761056008,True
422.9165124598852,567.4871130596428,213.215782207183,146.54857823376398,True
402.9165124598852,602.1281292110203,194.79007700569184,149.89996549343965,True
382.9165124598852,636.7691453623979,180.13280173127376,153.6068639060794,True
362.9165124598852,671.4101615137754,168.2744973062344,157.64337522473747,True
342.9165124598852,706.051177665153,158.54924691263352,161.98407562552325,True
322.9165124598852,740.6921938165306,150.48464975610014,166.60445538412608,True
886.217782649107,-134.97422611928573,130.7589752682553,184.28747864811976,True
866.217782649107,-100.3332099679082,135.9205352889089,179.40183485273312,True
846.2177826491071,-65.69219381653062,142.0678226694041,174.75276139138356,True
826.2177826491071,-31.05117766515309,149.44198051087432,170.36021286875513,True
806.2177826491071,3.589838486224437,158.36707860485222,166.245154965971,True
786.2177826491071,38.23085463760202,169.2886988615712,162.42934923323543,True
766.2177826491071,72.87187078897955,182.8363092824488,158.93505123915085,True
746.2177826491071,107.5128869403571,199.92853401791302,155.78461459976612,True
726.2177826491071,142.15390309173466,221.9602472123851,153.0,True
706.2177826491071,176.7949192431122,251.15680893808326,150.60219778561037,True
686.2177826491071,211.43593539448975,291.300223852244,148.61058456812992,True
666.2177826491071,246.0769515458673,349.37955084196545,147.04224723651765,True
646.2177826491071,280.71796769724483,439.90766866413645,145.9113196304683,True
626.2177826491071,315.3589838486224,598.7819375484356,145.22838514366484,True
606.2177826491071,349.99999999999994,801.9844845125423,145.0,True
586.2177826491071,384.64101615137747,597.4244971817355,145.22838514366484,True
566.2177826491071,419.28203230275506,438.80029016014964,145.9113196304683,True
546.2177826491071,453.9230484541326,348.4559088354134,147.04224723651762,True
526.2177826491071,488.5640646055101,290.5116782973521,148.61058456812992,True
506.2177826491071,523.2050807568877,250.47052395754224,150.60219778561037,True
486.2177826491071,557.8460969082653,221.3536424137739,153.0,True
466.2177826491071,592.4871130596428,199.38557512607346,155.78461459976612,True
446.2177826491071,627.1281292110203,182.34524848496184,158.93505123915085,True
426.2177826491071,661.7691453623979,168.84068724440237,162.42934923323543,True
406.2177826491071,696.4101615137754,157.9552899261546,166.24515496597098,True
386.2177826491071,731.051177665153,149.0610403739998,170.3602128687551,True
366.2177826491071,765.6921938165306,141.7134253801495,174.75276139138356,True
346.21778264910716,800.333209967908,135.58917953103705,179.40183485273312,True
326.21778264910716,834.9742261192856,130.44777715039368,184.28747864811976,True
949.5190528383289,-144.61524227066326,119.5371725761822,197.09372712298543,True
929.5190528383289,-109.97422611928573,123.42349893339716,192.20042734993956,True
909.5190528383289,-75.3332099679082,128.04848782125555,187.52671037412577,True
889.519052838329,-40.69219381653062,133.58242487609698,183.08986495586996,True
869.519052838329,-6.051177665153091,140.25021562773492,178.90802166662698,True
849.519052838329,28.589838486224437,148.35476958246795,175.0,True
829.519052838329,63.23085463760202,158.3135157587749,171.38509548634457,True
809.519052838329,97.87187078897955,170.71756964081422,168.0828010551695,True
789.519052838329,132.5128869403571,186.4318805882232,165.11246047700348,True
769.519052838329,167.15390309173466,206.77386599898193,162.49285698088025,True
749.519052838329,201.7949192431122,233.85317997277662,160.24174696260025,True
729.519052838329,236.43593539448975,271.2723398996033,158.37535656030275,True
709.519052838329,271.0769515458673,325.7317060319035,156.90786681406595,True
689.519052838329,305.71796769724483,411.27419492920586,155.8509197850646,True
669.519052838329,340.3589838486224,563.1479198483878,155.21318184500322,True
649.519052838329,374.99999999999994,752.0095195258065,155.0,True
629.519052838329,409.64101615137747,561.7973805399738,155.21318184500322,True
609.519052838329,444.28203230275506,410.18181602370623,155.8509197850646,True
589.519052838329,478.9230484541326,324.8256353284238,156.90786681406595,True
569.519052838329,513.5640646055101,270.5018509613733,158.37535656030275,True
549.519052838329,548.2050807568877,233.18462604820633,160.24174696260025,True
529.519052838329,582.8460969082653,206.1843511750016,162.49285698088025,True
509.519052838329,617.4871130596428,185.90525911397162,165.11246047700348,True
489.519052838329,652.1281292110203,170.24206937789393,168.0828010551695,True
469.519052838329,686.7691453623979,157.88030097328542,171.38509548634457,True
449.519052838329,721.4101615137754,147.95704286512432,175.0,True
429.519052838329,756.051177665153,139.88263729994515,178.90802166662698,True
409.519052838329,790.6921938165306,133.24072550898873,183.08986495586996,True
389.51905283832906,825.333209967908,127.72920204294986,187.5267103741258,True
369.51905283832906,859.9742261192856,123.12377772276284,192.20042734993956,True
349.51905283832906,894.6152422706632,119.2546477534953,197.09372712298548,True
972.820323027551,-84.97422611928573,116.37468182658161,200.30488985173926,True
952.820323027551,-50.3332099679082,120.47520753672207,195.82976707002504,True
932.820323027551,-15.692193816530619,125.40806670357712,191.59046063504962,True
912.820323027551,18.94882233484691,131.38179573325024,187.60339536821328,True
892.820323027551,53.58983848622444,138.67795429142458,183.88543819998318,True
872.820323027551,88.23085463760202,147.68552800879598,180.45369759569047,True
852.820323027551,122.87187078897955,158.95680096964125,177.32527382830415,True
832.820323027551,157.5128869403571,173.30219805268862,174.51696080333676,True
812.820323027551,192.15390309173466,191.96006684621895,172.0449041425688,True
792.820323027551,226.7949192431122,216.9210964026725,169.92422502470643,True
772.820323027551,261.4359353944898,251.60130281895545,168.16862443496913,True
752.820323027551,296.0769515458673,302.3961160961559,166.7899873292535,True
732.820323027551,330.71796769724483,382.83742897610654,165.79800993793427,True
712.820323027551,365.3589838486224,527.4100856553349,165.1998751560063,True
692.820323027551,399.99999999999994,800.000000000004,165.0,True
672.820323027551,434.64101615137747,526.0667469185375,165.19987515600627,True
652.820323027551,469.28203230275506,381.7608584599965,165.79800993793424,True
632.820323027551,503.9230484541326,301.5084615502346,166.78998732925348,True
612.820323027551,538.5640646055101,250.84966361767326,168.1686244349691,True
592.820323027551,573.2050807568877,216.27100437188335,169.92422502470643,True
572.820323027551,607.8460969082653,191.38831427315546,172.0449041425688,True
552.820323027551,642.4871130596428,172.79253226562605,174.51696080333673,True
532.820323027551,677.1281292110203,158.49742862973378,177.32527382830415,True
512.820323027551,711.7691453623979,147.26762850952238,180.45369759569047,True
492.820323027551,746.4101615137754,138.29476045548805,183.88543819998318,True
472.820323027551,781.051177665153,131.02800395080465,187.60339536821323,True
452.820323027551,815.6921938165306,125.07944540428205,191.59046063504962,True
432.82032302755107,850.333209967908,120.16832924850611,195.829767070025,True
412.82032302755107,884.9742261192856,116.08673472058726,200.30488985173926,True
996.1215932167729,-25.333209967908203,113.21380805534845,204.28873525616044,True
976.1215932167729,9.307806183469381,117.55920508412281,200.23319389898842,True
956.1215932167729,43.94882233484691,122.85252446315597,196.4262259984248,True
936.1215932167729,78.58983848622444,129.35375136249218,192.88294228055938,True
916.1215932167729,113.23085463760202,137.4230987956027,189.61852561430555,True
896.1215932167729,147.87187078897955,147.5735015374115,186.64801127455263,True
876.1215932167729,182.5128869403571,160.55997448647892,183.98603297464302,True
856.1215932167729,217.15390309173466,177.54014888621086,181.64653973401235,True
836.1215932167729,251.7949192431122,200.3824375580328,179.64249196572982,True
816.1215932167729,286.4359353944898,232.30917455734195,177.9855485293497,True
796.1215932167729,321.0769515458673,279.3939636940888,176.68575945604806,True
776.1215932167729,355.71796769724483,354.6138267722358,175.75128110793196,True
756.1215932167729,390.3589838486224,491.5633446167338,175.18813119603846,True
736.1215932167729,424.99999999999994,850.0000000000041,175.0,True
716.1215932167729,459.64101615137747,490.2275444568646,175.18813119603846,True
696.1215932167729,494.28203230275506,353.5539686636686,175.75128110793196,True
676.1215932167729,528.9230484541326,278.525670887289,176.68575945604806,True
656.1215932167729,563.5640646055101,231.57727861339842,177.9855485293497,True
636.1215932167729,598.2050807568877,199.75163649834462,179.6424919657298,True
616.1215932167729,632.8460969082653,176.98692488999973,181.64653973401235,True
596.1215932167729,667.4871130596428,160.06797038600862,183.98603297464302,True
576.1215932167729,702.1281292110203,147.13090410759227,186.64801127455263,True
556.1215932167729,736.7691453623979,137.02110325636224,189.61852561430558,True
536.1215932167729,771.4101615137754,128.98562154739614,192.88294228055935,True
516.1215932167729,806.051177665153,122.51299413508289,196.42622599842477,True
496.1215932167729,840.6921938165306,117.24408253710091,200.23319389898842,True
476.12159321677296,875.333209967908,112.91970641098385,204.28873525616044,True
979.4228634059948,103.58983848622444,120.4018783937587,201.9771560359221,True
959.4228634059948,138.23085463760202,127.54758310757741,198.86593305684215,True
939.4228634059948,172.87187078897955,136.59052327997532,196.03926298015284,True
919.4228634059948,207.5128869403571,148.22935114745803,193.50994668717084,True
899.4228634059948,242.15390309173466,163.53926865125717,191.29009635512028,True
879.4228634059948,276.7949192431122,184.26301977417455,189.39088914585776,True
859.4228634059948,311.4359353944898,213.42188738404613,187.82231811242303,True
839.4228634059948,346.0769515458673,256.7500594817497,186.59295140505867,True
819.4228634059948,380.71796769724483,326.62286729928667,185.7097119692243,True
799.4228634059948,415.3589838486224,510.3304143909229,185.1776900728833,True
779.4228634059948,449.99999999999994,900.0000000000031,185.0,True
759.4228634059948,484.64101615137747,510.3304143909194,185.1776900728833,True
739.4228634059948,519.282032302755,325.58074692919615,185.7097119692243,True
719.4228634059948,553.9230484541326,255.9022044586433,186.59295140505867,True
699.4228634059948,588.5640646055101,212.71075978445722,187.82231811242303,True
679.4228634059948,623.2050807568877,183.65246760333488,189.39088914585776,True
659.4228634059948,657.8460969082653,163.0054618985562,191.29009635512028,True
639.4228634059948,692.4871130596428,147.75582718471964,193.50994668717084,True
619.4228634059948,727.1281292110203,136.16544779988848,196.03926298015284,True
599.4228634059948,761.7691453623979,127.16216641842024,198.86593305684215,True
579.4228634059948,796.4101615137754,120.04941570198969,201.97715603592206,True
962.7241335952168,232.5128869403571,136.33918069907287,203.08079159777205,True
942.7241335952168,267.15390309173466,149.98765607963475,200.96938536414305,True
922.7241335952168,301.7949192431122,168.59391631821998,199.164878389476,True
902.7241335952168,336.4359353944898,194.97058777508278,197.67589366602147,True
882.7241335952168,371.0769515458673,235.35046585982553,196.50979087242513,True
862.7241335952168,405.71796769724483,329.8351435343081,195.67249408344142,True
842.7241335952168,440.3589838486224,559.694311561506,195.16834647227705,True
822.7241335952168,474.99999999999994,950.0000000000052,195.0,True
802.7241335952168,509.64101615137747,559.6943115615047,195.16834647227705,True
782.7241335952168,544.282032302755,329.8351435343115,195.67249408344142,True
762.7241335952168,578.9230484541326,235.3504658598237,196.50979087242513,True
742.7241335952168,613.5640646055101,194.28143089810033,197.67589366602144,True
722.7241335952168,648.2050807568877,168.00474365508398,199.164878389476,True
702.7241335952168,682.8460969082653,149.47431689257388,200.96938536414305,True
