cohort,method,decisions,disagreement_rate,decision_P50,decision_P95,decision_P99,decision_max,route_P50,route_P95,route_P99,route_max,changed_decisions_in_faster_scenes,changed_decisions_in_slower_scenes
development,A1,6418,0.0,0.9807499955059029,2.6375150016974658,3.6478129991155583,42.31739998795092,4.145099999732338,15.879859996493904,20.91021599946544,869.2034999985481,0,0
development,B-lite,6287,0.11118180372196595,2.68099999811966,19.604600002639923,31.23183199670172,52.871100007905625,2.6310500034014694,11.404679990664594,15.71883700045874,19.836200008285232,71,628
development,C1,6476,0.0,1.7331999988527969,4.908224997052457,6.581650002772221,43.83289998804685,2.9348499956540763,11.837999996350835,16.07324800308561,21.40240000153426,0,0
development,C2,6306,0.11290834126228988,3.2255499972961843,19.895049998012837,30.668149994744457,52.38810001173988,2.766599995084107,11.394650005968279,15.389424000168221,20.19270000164397,52,660
development,D,6483,0.003239241092086997,0.9545000066282228,2.709649989265015,91.90081001172075,181.64599999727216,2.9668999995919876,11.615380001603619,15.489528998878088,21.16790000582114,4,17
development,E-H2,5422,0.41903356694946514,102.76499999599764,579.9563100095838,686.5817890001927,870.5947999987984,2.671499998541549,11.744899995392188,15.002859992091564,20.21339999919292,104,2168
development,R12,6476,0.0,0.9122499905060977,2.5872750084090512,3.4677750008995645,4.638699989300221,2.9042999958619475,11.79142000255524,16.00133999643731,20.75160000822507,0,0
holdout,A1,12707,0.0,1.0719999991124496,2.8061599950888176,3.771339994855228,41.06010000396054,4.209500009892508,16.29374999611172,20.623606004228332,610.7713999954285,0,0
holdout,R12,12846,0.0,1.0283999945386313,2.710525004658848,3.592420008499169,14.23080000677146,3.223649997380562,12.65483000606763,16.55185600116965,21.86249999795109,0,0
regression,A1,26150,0.0,0.847650007926859,2.4511199939297508,3.3047069956955872,33.71350000088569,3.4057500088238157,13.899669997772417,19.241755993280083,638.5475999995833,0,0
regression,D,26322,0.0018995517057974318,0.8054499994614162,2.504854996368519,63.62366200279242,210.4966000042623,2.525900003092829,10.037580002972387,15.154003007046398,29.4236999907298,6,44
regression,R12,26284,0.0,0.7943500022520311,2.3490800027502687,3.234684994095004,36.05789999710396,2.534750004997477,10.156780005490866,14.888463993702308,52.29809999582358,0,0
