id,cohort,family,variant,run_status,error,total,cleared,virtual_time_s,mean_time_per_source,original_time_per_cleared,distance,detect_count,switch_count,clear_attempts,failed_clears,runtime_s,completion_reason,engine_end_reason,fallback_count,diagnostic_count,directional_count,scene_hash,source_hash,config_hash,remaining_tracks,transport,stage_discovery_s,stage_active_localization_s,stage_diagnostic_s,stage_optical_fallback_s,stage_certified_clear_s,first_source_first_seen_s,last_source_first_seen_s,last_source_first_seen_per_source_s,final_discovery_measure_s,post_last_seen_discovery_s,post_all_cleared_discovery_s,post_last_seen_discovery_measures,post_all_cleared_discovery_measures,discovery_nodes,discovery_measures,discovery_travel_s,discovery_measure_s,discovery_switch_s,known_actual_count,known_actual_measure_s,known_actual_switch_s,unseen_actual_count,unseen_actual_measure_s,unseen_actual_switch_s,absent_channel_count,absent_channel_measure_s,absent_channel_switch_s,audit_passed,known16_reached,known16_enabled,known16_time_s,known16_cleared,known16_unresolved,post_known16_s,conservative_set_checks,research_hash,official_calls,formal_test_count,route_compute_ms_p95,decision_compute_ms_p95,support_visits,route_refresh_count
96,regression,one_bit,A1,FULL_CLEAR,,16,16,3891.733483,243.2333426875,243.2333426875,15713.667421066357,113,104,16,0,1.8251172000018412,public_max_cleared,user_exit,0,2,4,06a0f6d120d6a355a4cf9e27456a7cfa0bd7f4b79f8c97eeb27eb98c69734172,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,185cb00c8b4412f5c06cc66aa6bf5c5914fc170362261b66fa62622e42cc80de,0,core,1102.177947,1505.5547189999988,190.71159399999988,0.0,1093.2892230000014,5.0,1873.020956,117.06380975,1873.020956,0.0,0.0,0,0,6,96,530.1779469999999,480.0,92.0,35.0,175.0,34.0,39.0,195.0,36.0,22.0,110.0,22.0,True,True,True,1873.020956,7.0,9.0,2018.712527,84,10f6065a0b6f52cf8410aa6078a968517a9b32db77cfd4cb578d09993a8fdd5f,0,0,15.62221999774919,3.956659996765665,0,19
103,regression,one_bit,A1,FULL_CLEAR,,16,16,5576.468228,348.52926425,348.52926425,21157.341131467667,214,195,16,0,1.9567508000036469,public_max_cleared,user_exit,0,5,7,db9419ab16a5d3d859259d729a61b97f1ad8d1476d26df8804fb875b0f1dd77c,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,185cb00c8b4412f5c06cc66aa6bf5c5914fc170362261b66fa62622e42cc80de,0,core,2774.853919,1302.9899290000003,403.6285639999997,0.0,1094.9958159999996,11.0,4859.916912,303.744807,4859.916912,0.0,0.0,0,0,16,198,1596.853919,990.0,188.0,85.0,425.0,83.0,51.0,255.0,51.0,62.0,310.0,54.0,True,True,True,4859.916912,13.0,3.0,716.551316,132,10f6065a0b6f52cf8410aa6078a968517a9b32db77cfd4cb578d09993a8fdd5f,0,0,20.8623400045326,3.729005002969643,0,37
110,regression,one_bit,A1,FULL_CLEAR,,16,16,6858.047292,428.62795575,428.62795575,24315.23647220451,322,305,16,0,2.2315263000054983,public_max_cleared,user_exit,0,3,9,76155e18db4530aa5707a5572d3377571426fdb73ea57d17073abccc408cf359,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,185cb00c8b4412f5c06cc66aa6bf5c5914fc170362261b66fa62622e42cc80de,0,core,4289.528031000002,1448.6436559999993,398.3692630000005,0.0,721.5063419999992,17.0,6292.889801,393.3056125625,6292.889801,0.0,0.0,0,0,21,304,2477.528031000001,1520.0,292.0,66.0,330.0,65.0,154.0,770.0,143.0,84.0,420.0,84.0,True,True,True,6292.889801,13.0,3.0,565.1574909999999,115,10f6065a0b6f52cf8410aa6078a968517a9b32db77cfd4cb578d09993a8fdd5f,0,0,16.416710003977634,2.449049999995623,0,47
122,regression,one_bit,A1,FULL_CLEAR,,16,16,5508.103801,344.2564875625,344.2564875625,20890.51900864236,212,190,16,0,1.9036599999963075,public_max_cleared,user_exit,0,3,10,9c3df4fcc0268595e7337dc53eebf5db541e3fc95f51c35398b823795906685c,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,185cb00c8b4412f5c06cc66aa6bf5c5914fc170362261b66fa62622e42cc80de,0,core,3186.53299,1450.7632169999997,210.8582610000003,0.0,659.9493329999998,17.0,4962.662377,310.1663985625,4962.662377,0.0,0.0,0,0,18,188,2069.53299,940.0,177.0,50.0,250.0,49.0,67.0,335.0,63.0,71.0,355.0,65.0,True,True,True,4962.662377,14.0,2.0,545.4414240000006,106,10f6065a0b6f52cf8410aa6078a968517a9b32db77cfd4cb578d09993a8fdd5f,0,0,14.324320003652243,2.549169998383149,0,50
142,regression,one_bit,A1,FULL_CLEAR,,16,16,5791.312119,361.9570074375,361.9570074375,21111.560603375565,252,229,16,0,1.6498649999994086,public_max_cleared,user_exit,0,5,8,6db625d706dbc48aea31f22a67d62dc56c4d135dc9b02fbe2b384ebc64e5f094,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,185cb00c8b4412f5c06cc66aa6bf5c5914fc170362261b66fa62622e42cc80de,0,core,3353.747620999999,1023.1523410000008,508.9698880000005,0.0,905.4422689999994,5.0,4797.69331,299.855831875,4797.69331,0.0,0.0,0,0,18,234,1962.7476209999995,1170.0,221.0,76.0,380.0,75.0,90.0,450.0,78.0,68.0,340.0,68.0,True,True,True,4797.69331,12.0,4.0,993.6188090000004,125,10f6065a0b6f52cf8410aa6078a968517a9b32db77cfd4cb578d09993a8fdd5f,0,0,12.936799999442878,2.4465250025969,0,37
155,regression,one_bit,A1,FULL_CLEAR,,16,16,5242.712385,327.6695240625,327.6695240625,19298.5619317663,220,203,16,0,1.4660426000045843,public_max_cleared,user_exit,0,2,3,880e3422b814078122390f8bf4f81b87fa3ddbac1f2c913b7bfc76952e15df83,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,185cb00c8b4412f5c06cc66aa6bf5c5914fc170362261b66fa62622e42cc80de,0,core,2837.088951,820.8351199999989,216.9490879999994,0.0,1367.8392260000014,17.0,4356.021534,272.251345875,4356.021534,0.0,0.0,0,0,16,206,1612.0889510000002,1030.0,195.0,71.0,355.0,70.0,74.0,370.0,73.0,61.0,305.0,52.0,True,True,True,4356.021534,12.0,4.0,886.6908509999994,117,10f6065a0b6f52cf8410aa6078a968517a9b32db77cfd4cb578d09993a8fdd5f,0,0,14.680025004054189,3.219234995049192,0,36
161,regression,one_bit,A1,FULL_CLEAR,,16,16,4915.737467,307.2335916875,307.2335916875,19358.68733915505,163,149,16,0,1.6858598999970127,public_max_cleared,user_exit,0,5,1,1c492ef2495b1bf5ac3bde98b97013d5a685c10d450b2af2fd3d1880c733e9f0,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,185cb00c8b4412f5c06cc66aa6bf5c5914fc170362261b66fa62622e42cc80de,0,core,1794.4978969999995,2001.923272,549.7470490000005,0.0,569.5692489999996,5.0,3233.964649,202.1227905625,3233.964649,0.0,0.0,0,0,10,141,953.4978969999996,705.0,136.0,45.0,225.0,44.0,57.0,285.0,53.0,39.0,195.0,39.0,True,True,True,3233.964649,11.0,5.0,1681.772818,98,10f6065a0b6f52cf8410aa6078a968517a9b32db77cfd4cb578d09993a8fdd5f,0,0,13.096000000950877,2.042005003022495,0,32
191,regression,one_bit,A1,FULL_CLEAR,,16,16,6840.045626,427.502851625,427.502851625,27030.228124418616,230,204,16,0,2.201544600000489,public_max_cleared,user_exit,0,7,13,0f257b6cf70289d242d1cabd9c1a598f8a4fbccf52a1b32782cb78e9e413f406,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,185cb00c8b4412f5c06cc66aa6bf5c5914fc170362261b66fa62622e42cc80de,0,core,3638.786374,1385.382516,593.3610519999999,0.0,1222.5156840000004,5.0,5990.915699,374.4322311875,5990.915699,0.0,0.0,0,0,19,205,2420.7863740000003,1025.0,193.0,54.0,270.0,51.0,78.0,390.0,76.0,73.0,365.0,66.0,True,True,True,5990.915699,14.0,2.0,849.129927,111,10f6065a0b6f52cf8410aa6078a968517a9b32db77cfd4cb578d09993a8fdd5f,0,0,15.47588999819708,2.947799998219125,0,47
194,regression,one_bit,A1,FULL_CLEAR,,16,16,7259.406635,453.7129146875,453.7129146875,25652.033169075432,347,314,16,0,2.516612199993688,public_max_cleared,user_exit,0,8,12,7665ef9713d81fce71d32c44ab50d750cdaae96a00c211c819c8a16a6e3e975a,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,185cb00c8b4412f5c06cc66aa6bf5c5914fc170362261b66fa62622e42cc80de,0,core,4282.266436,1412.990558000001,1021.946402,0.0,542.2032389999999,5.0,5653.103963,353.3189976875,5653.103963,0.0,0.0,0,0,20,316,2400.266435999999,1580.0,302.0,86.0,430.0,79.0,151.0,755.0,144.0,79.0,395.0,79.0,True,True,True,5653.103963,8.0,8.0,1606.3026720000007,149,10f6065a0b6f52cf8410aa6078a968517a9b32db77cfd4cb578d09993a8fdd5f,0,0,11.473240010673182,2.049690004787407,0,39
201,regression,one_bit,A1,FULL_CLEAR,,16,16,5746.016179,359.1260111875,359.1260111875,20450.080908448424,266,246,16,0,1.656468200002564,public_max_cleared,user_exit,0,1,9,10011cc15e087c41bf580e7f79f5dc330e0eb220d31e1773de92221f72cc10b1,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,185cb00c8b4412f5c06cc66aa6bf5c5914fc170362261b66fa62622e42cc80de,0,core,3779.935316999999,1044.783445,52.642022,0.0,868.655395000001,17.0,5565.649684,347.85310525,5565.649684,0.0,0.0,0,0,19,247,2309.9353169999995,1235.0,235.0,58.0,290.0,54.0,115.0,575.0,114.0,74.0,370.0,67.0,True,True,True,5565.649684,15.0,1.0,180.3664950000002,109,10f6065a0b6f52cf8410aa6078a968517a9b32db77cfd4cb578d09993a8fdd5f,0,0,11.9230299940682,1.7986599996220318,0,50
203,regression,one_bit,A1,FULL_CLEAR,,16,16,6463.622263,403.9763914375,403.9763914375,25218.111315358,226,210,16,0,1.7931869000021834,public_max_cleared,user_exit,0,4,3,5466fd3bf0680dad981c0230c68149bb3c5cd80413460a13615c373a7eba53f6,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,185cb00c8b4412f5c06cc66aa6bf5c5914fc170362261b66fa62622e42cc80de,0,core,3153.7918540000005,1675.106804999999,944.600539,0.0,690.1230650000005,11.0,5402.390787,337.6494241875,5402.390787,0.0,0.0,0,0,17,205,1931.791854000001,1025.0,197.0,88.0,440.0,87.0,53.0,265.0,47.0,64.0,320.0,63.0,True,True,True,5402.390787,14.0,2.0,1061.231476,141,10f6065a0b6f52cf8410aa6078a968517a9b32db77cfd4cb578d09993a8fdd5f,0,0,13.378699998429504,2.8072000008251043,0,47
215,regression,one_bit,A1,FULL_CLEAR,,16,16,5900.467881,368.7792425625,368.7792425625,20912.339405085524,276,258,16,0,2.0932892999990145,public_max_cleared,user_exit,0,5,4,dba8a3e75eea04e7f52497001a658fbbde931e81d93209498b0156c37c2852a9,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,185cb00c8b4412f5c06cc66aa6bf5c5914fc170362261b66fa62622e42cc80de,0,core,3444.229671,1386.4845899999998,544.1262759999995,0.0,525.6273440000007,11.0,5154.123881,322.1327425625,5154.123881,0.0,0.0,0,0,18,256,1920.229671,1280.0,244.0,108.0,540.0,108.0,77.0,385.0,77.0,71.0,355.0,59.0,True,True,True,5154.123881,12.0,4.0,746.3439999999991,160,10f6065a0b6f52cf8410aa6078a968517a9b32db77cfd4cb578d09993a8fdd5f,0,0,10.702999996283324,3.34383999579586,0,42
216,regression,one_bit,A1,FULL_CLEAR,,16,16,5245.605254,327.850328375,327.850328375,20343.02627407757,181,165,25,9,1.9417863999988183,public_max_cleared,user_exit,1,13,3,59ec0fdcf76998b1c44ee7b876e277c56aee28fb1d5d046056e9f66134bbdeff,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,185cb00c8b4412f5c06cc66aa6bf5c5914fc170362261b66fa62622e42cc80de,0,core,1973.053474,891.1850040000004,1457.2440920000015,92.31307100000004,831.8096129999982,5.0,3260.986795,203.8116746875,3260.986795,0.0,0.0,0,0,11,160,1020.0534739999996,800.0,153.0,59.0,295.0,55.0,60.0,300.0,57.0,41.0,205.0,41.0,True,True,True,3260.986795,8.0,8.0,1984.6184590000005,120,10f6065a0b6f52cf8410aa6078a968517a9b32db77cfd4cb578d09993a8fdd5f,0,0,19.398380009806704,3.565054998762207,0,25
217,regression,one_bit,A1,FULL_CLEAR,,16,16,3513.368035,219.5855021875,219.5855021875,14571.840186100842,88,79,16,0,1.6103401000000304,public_max_cleared,user_exit,0,0,1,a8483d3e96d7c2c899b2573beb5fd89b773176db95c385e58180292bf26918eb,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,185cb00c8b4412f5c06cc66aa6bf5c5914fc170362261b66fa62622e42cc80de,0,core,885.423747,1618.4335860000003,0.0,0.0,1009.5107019999996,5.0,1559.320758,97.457547375,1559.320758,0.0,0.0,0,0,4,69,473.4237470000001,345.0,67.0,25.0,125.0,24.0,28.0,140.0,27.0,16.0,80.0,16.0,True,True,True,1559.320758,7.0,9.0,1954.047277,76,10f6065a0b6f52cf8410aa6078a968517a9b32db77cfd4cb578d09993a8fdd5f,0,0,14.294139994308352,3.6445199948502713,0,18
218,regression,one_bit,A1,FULL_CLEAR,,16,16,6444.796926,402.799807875,402.799807875,24193.98464564223,258,236,16,0,1.7345602999994298,public_max_cleared,user_exit,0,2,8,2997946677a174195973c6cc7e4757ccd47e743f2bb2b70d5835abe8bff6499f,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,185cb00c8b4412f5c06cc66aa6bf5c5914fc170362261b66fa62622e42cc80de,0,core,3969.082069,1739.7207649999996,134.7805589999998,0.0,601.2135330000008,11.0,6241.248496,390.078031,6241.248496,0.0,0.0,0,0,22,239,2549.082069,1195.0,225.0,69.0,345.0,65.0,83.0,415.0,80.0,87.0,435.0,80.0,True,True,True,6241.248496,15.0,1.0,203.54842999999985,119,10f6065a0b6f52cf8410aa6078a968517a9b32db77cfd4cb578d09993a8fdd5f,0,0,14.694050005346073,2.5223200012987927,0,51
235,regression,one_bit,A1,FULL_CLEAR,,16,16,7435.006584,464.6879115,464.6879115,27745.03292525696,306,276,16,0,2.216512300001341,public_max_cleared,user_exit,0,7,16,2e1bf59f8d5c1abe4792751d0a99c9137a6a401d380c3de3d1137a7d07e81a99,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,185cb00c8b4412f5c06cc66aa6bf5c5914fc170362261b66fa62622e42cc80de,0,core,4837.979097,1572.8471210000014,469.37396799999897,0.0,554.8063980000001,53.0,7220.877936,451.304871,7220.877936,0.0,0.0,0,0,22,276,3194.9790969999995,1380.0,263.0,46.0,230.0,43.0,146.0,730.0,140.0,84.0,420.0,80.0,True,True,True,7220.877936,15.0,1.0,214.12864799999988,108,10f6065a0b6f52cf8410aa6078a968517a9b32db77cfd4cb578d09993a8fdd5f,0,0,15.972160007368071,1.7272999975830317,0,58
238,regression,one_bit,A1,FULL_CLEAR,,16,16,5522.305367,345.1440854375,345.1440854375,21436.52683559322,195,180,16,0,1.5119245999958366,public_max_cleared,user_exit,0,4,6,2dba7196f2eae00640140118f60a156aade886e8a5cda4409486c2addb9dce4d,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,185cb00c8b4412f5c06cc66aa6bf5c5914fc170362261b66fa62622e42cc80de,0,core,3023.816913000001,1249.8978399999996,508.64960299999984,0.0,739.9410109999997,5.0,5018.720446,313.670027875,5018.720446,0.0,0.0,0,0,15,177,1969.8169130000008,885.0,169.0,67.0,335.0,65.0,53.0,265.0,52.0,57.0,285.0,52.0,True,True,True,5018.720446,14.0,2.0,503.58492099999967,117,10f6065a0b6f52cf8410aa6078a968517a9b32db77cfd4cb578d09993a8fdd5f,0,0,11.253584991936805,2.9257600021082903,0,42
246,regression,one_bit,A1,FULL_CLEAR,,16,16,6026.022798,376.626424875,376.626424875,22320.11400968485,251,227,16,0,1.9198195000062697,public_max_cleared,user_exit,0,0,6,5c802006966ff6064100e46578797b88465297b78117ff62df9d3925fea75f81,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,185cb00c8b4412f5c06cc66aa6bf5c5914fc170362261b66fa62622e42cc80de,0,core,3824.0141370000006,1325.9015060000015,0.0,0.0,876.1071549999978,17.0,5635.238863,352.2024289375,5635.238863,0.0,0.0,0,0,20,229,2464.0141370000006,1145.0,215.0,65.0,325.0,60.0,84.0,420.0,77.0,80.0,400.0,78.0,True,True,True,5635.238863,13.0,3.0,390.7839350000004,119,10f6065a0b6f52cf8410aa6078a968517a9b32db77cfd4cb578d09993a8fdd5f,0,0,13.060349992883856,2.200334994995501,0,51
253,regression,one_bit,A1,FULL_CLEAR,,16,16,7094.29621,443.393513125,443.393513125,27721.481053730087,251,215,16,0,2.311191600005259,public_max_cleared,user_exit,0,3,9,1bb8ddcd7057fdee51d9392f2e5c459f0f21f2a59dbcf70729ab50a4a160376d,31563bf61255651dcf43874105133a1fa2c72756a45c01bbdf33d62e38e8af30,185cb00c8b4412f5c06cc66aa6bf5c5914fc170362261b66fa62622e42cc80de,0,core,4386.220081,1219.3193609999998,550.108682,0.0,938.648086000001,11.0,6748.664541,421.7915338125,6748.664541,0.0,0.0,0,0,23,222,3072.2200809999995,1110.0,204.0,45.0,225.0,42.0,89.0,445.0,74.0,88.0,440.0,88.0,True,True,True,6748.664541,14.0,2.0,345.6316690000004,106,10f6065a0b6f52cf8410aa6078a968517a9b32db77cfd4cb578d09993a8fdd5f,0,0,12.589329996262672,2.640740002971142,0,59
