arm,decisions,deviations,deviation_pct,mean_probability_gain,max_planned_detour_s
B0,3136,209,6.6645408163265305,0.21557822654075262,3.637978807091713e-13
B5,3140,218,6.942675159235669,0.2123200433355589,4.9380613529683615
B10,3134,229,7.306955966815571,0.21503952190595388,9.971898853607126
B20,3125,269,8.608,0.23397418961568842,19.712714675105598
